name,bus,carrier,p_nom,shift_factor,mw_on_monitored_at_full_output,station,monitored_line,in_group
68195-1,5361,wind,4.0,-0.03858983220521536,-0.15435932882086145,5361 TRILLICK,3691-4041-1,False
53672-2,5361,wind,4.8,-0.03858983220521536,-0.18523119458503373,5361 TRILLICK,3691-4041-1,False
53671-1,5361,wind,5.0,-0.03858983220521536,-0.19294916102607682,5361 TRILLICK,3691-4041-1,False
35875-1,3581,wind,15.0,-0.03858983220521307,-0.5788474830781961,3581 LETTERKENNY,3691-4041-1,False
68204-1,3581,wind,20.0,-0.03858983220521307,-0.7717966441042614,3581 LETTERKENNY,3691-4041-1,False
35873-3,3581,wind,3.4,-0.03858983220521307,-0.13120542949772446,3581 LETTERKENNY,3691-4041-1,False
35872-2,3581,wind,2.45,-0.03858983220521307,-0.09454508890277204,3581 LETTERKENNY,3691-4041-1,False
35871-1,3581,wind,2.55,-0.03858983220521307,-0.09840407212329333,3581 LETTERKENNY,3691-4041-1,False
35877-6,3581,wind,4.99,-0.03858983220521307,-0.19256326270401325,3581 LETTERKENNY,3691-4041-1,False
35876-3,3581,wind,11.88,-0.03858983220521307,-0.45844720659793137,3581 LETTERKENNY,3691-4041-1,False
