hour,eligible,n_widen,rbar,cut_MW
2030-01-01 20:00:00,57,0,0.0,103.66628997858868
2030-01-01 22:00:00,48,0,0.0329027366404726,106.6602370246911
2030-01-02 00:00:00,52,0,0.058483392034895484,17.496464861827505
2030-01-02 02:00:00,50,0,0.057571960314024374,245.8941526992245
2030-01-02 04:00:00,50,0,0.10360579292673729,327.51270514072735
2030-01-02 06:00:00,50,0,0.15323646612500516,289.46660104742597
2030-01-02 08:00:00,50,0,0.1875782665473187,193.4094802475071
2030-01-02 10:00:00,47,0,0.1990050342995967,304.2237888407915
2030-01-02 12:00:00,53,0,0.22284672330114094,385.92892149937046
2030-01-02 14:00:00,47,0,0.2536638397594713,395.6218426143373
2030-01-02 16:00:00,45,0,0.2809818841792408,60.5021092548826
2030-01-02 20:00:00,55,0,0.2641983605451815,132.4185171314051
2030-01-02 22:00:00,45,0,0.26471207628719456,77.35675256565722
2030-01-03 00:00:00,43,0,0.261041610163167,187.9587033109116
2030-01-03 02:00:00,49,0,0.263584093722785,105.25864758365994
2030-01-03 04:00:00,42,0,0.25759719677674414,36.0023713226834
2030-01-03 06:00:00,37,0,0.24955705147805896,58.0069920707619
2030-01-03 20:00:00,47,0,0.20321487067572042,172.8504864244199
2030-01-03 22:00:00,45,0,0.20608478924655066,130.11824365908873
2030-01-04 00:00:00,44,0,0.2055802086294348,108.41267912424473
2030-01-04 02:00:00,40,0,0.2039172113064853,162.92077051352268
2030-01-04 04:00:00,43,0,0.20632352221880437,346.500713612407
2030-01-04 06:00:00,48,0,0.2177393895984168,300.4274585039117
2030-01-04 08:00:00,51,0,0.22593078091514956,305.2435795486575
2030-01-04 10:00:00,40,0,0.23443736329611387,106.0789463323162
2030-01-04 12:00:00,47,0,0.23449600807374402,154.1937308786837
2030-01-04 14:00:00,44,0,0.23659584885936752,147.465200677513
2030-01-04 16:00:00,41,0,0.23804501326177233,159.6754532722463
2030-01-04 18:00:00,44,0,0.24014966882927283,125.46737791749247
2030-01-04 20:00:00,40,0,0.24076194377499813,214.4010591700598
2030-01-04 22:00:00,45,0,0.24486442091689553,313.4471656408499
2030-01-05 00:00:00,51,0,0.2527094697079856,330.92233733958545
2030-01-05 02:00:00,47,0,0.2607150777828511,333.5168632652796
2030-01-05 04:00:00,49,0,0.26885989778126856,377.5708501952807
2030-01-05 06:00:00,51,0,0.2783770219896035,319.27084299234576
2030-01-05 08:00:00,47,0,0.28531512059447883,355.92677247213516
2030-01-05 10:00:00,56,0,0.2929986705925426,126.71089266419176
2030-01-05 12:00:00,49,0,0.29141706622850916,133.40764061940783
2030-01-05 14:00:00,53,0,0.29015391923384865,418.75358951456906
2030-01-05 16:00:00,46,2,0.29914721114373755,404.3284991541265
2030-01-05 20:00:00,56,0,0.30256029872079526,210.71887141097665
2030-01-06 06:00:00,51,0,0.29539379682427724,79.71288660407805
2030-01-06 08:00:00,54,0,0.2944511983446552,112.90375542762611
2030-01-06 14:00:00,50,0,0.28662557130030913,9.026397741649308
2030-01-06 20:00:00,50,0,0.278665565812509,20.059747906074
2030-01-08 08:00:00,51,0,0.26238499561241924,19.835663408265077
2030-01-08 10:00:00,50,0,0.25950522788303965,39.303489965465026
2030-01-08 12:00:00,51,0,0.25776563925603074,33.951905887655094
2030-01-08 20:00:00,50,0,0.2495949138219618,4.508352739629474
2030-01-10 04:00:00,50,0,0.23088827140549767,15.787835005155495
2030-01-10 16:00:00,50,0,0.22141700471577827,96.53871152770624
2030-01-10 18:00:00,50,0,0.2216630870432691,167.32786101421948
2030-01-10 20:00:00,52,0,0.22327853735838268,221.03615837150164
2030-01-10 22:00:00,52,0,0.22593706881288506,337.55309337932215
2030-01-11 00:00:00,52,0,0.23090236944070613,406.1046167273499
2030-01-11 02:00:00,53,0,0.2370354275625761,365.8668659596984
2030-01-11 04:00:00,53,0,0.2424201367956641,253.29011140753127
2030-01-11 06:00:00,54,0,0.24491967224144212,238.3197136320191
2030-01-11 08:00:00,52,0,0.24699203750426543,313.751319267251
2030-01-11 10:00:00,52,0,0.25084058978701684,225.88197944703091
2030-01-11 14:00:00,51,0,0.24967440953649,183.69421001424823
2030-01-11 18:00:00,52,0,0.24721767000644415,209.49978274171627
2030-01-11 20:00:00,51,0,0.24833948103361564,276.02352674307673
2030-01-11 22:00:00,52,0,0.250625874446124,207.21333479926693
2030-01-12 00:00:00,51,0,0.2516255280847226,188.57931817161244
2030-01-12 02:00:00,48,0,0.2521178316678655,327.09774490352197
2030-01-12 04:00:00,50,0,0.2552534426717331,239.91897081947528
2030-01-12 06:00:00,50,0,0.2566710916710468,332.32180571179254
2030-01-12 08:00:00,50,0,0.25968951518932865,251.51616930128435
2030-01-12 10:00:00,50,0,0.2611101943340063,299.5023437367929
2030-01-12 12:00:00,50,0,0.2634390968203711,348.0524580105428
2030-01-12 14:00:00,57,0,0.26655123598442493,60.66341598560267
2030-01-12 16:00:00,52,0,0.2644120144824111,329.39707321045836
2030-01-12 18:00:00,49,0,0.26717700866781713,495.3255308589922
2030-01-12 20:00:00,52,0,0.27293906770646464,426.37534953232506
2030-01-12 22:00:00,57,0,0.27751723609497764,372.32135512948065
2030-01-13 00:00:00,56,0,0.28130617447241923,341.60335321633113
2030-01-13 02:00:00,53,0,0.2840060865628589,431.45777115317844
2030-01-13 04:00:00,48,0,0.2884927053440701,349.6986881561206
2030-01-13 06:00:00,55,0,0.29172886729894826,343.8388511066764
2030-01-13 08:00:00,56,0,0.2948544494069317,534.1025675435122
2030-01-13 10:00:00,56,0,0.3003906011323952,378.6022320043012
2030-01-13 12:00:00,51,0,0.30355213195784403,286.1672998239785
2030-01-13 14:00:00,54,0,0.3056654002345389,33.14778902576106
2030-01-13 16:00:00,52,0,0.30380570216446645,495.3062505988837
2030-01-13 18:00:00,57,0,0.3085943788668215,460.89449952420716
2030-01-13 20:00:00,52,0,0.3125909998000675,348.5600347519005
2030-01-14 12:00:00,51,0,0.3079445234019929,179.07627497330202
2030-01-14 14:00:00,54,0,0.3085998650016979,100.03555895191398
2030-01-15 00:00:00,51,0,0.30458100110839603,134.0717769660166
2030-01-15 02:00:00,46,5,0.3048304374505123,483.3376759110546
2030-01-15 04:00:00,53,0,0.3092167090380324,407.7893708196332
2030-01-15 06:00:00,57,0,0.31260313569878456,222.48722526265587
2030-01-15 08:00:00,52,0,0.31391706771560135,228.23508767495474
2030-01-15 10:00:00,53,0,0.31529656992490046,479.63625876367314
2030-01-15 12:00:00,55,0,0.319281079089401,110.6862782833882
2030-01-15 14:00:00,52,0,0.3179146722151895,499.3894329121613
2030-01-15 16:00:00,55,0,0.32203100237503923,469.98366814089746
2030-01-15 18:00:00,57,0,0.32571698875840155,268.6887335246436
2030-01-15 20:00:00,45,6,0.32664131329519913,496.02329934987665
2030-01-15 22:00:00,50,0,0.3305229698449418,197.50797251764928
2030-01-16 00:00:00,54,0,0.3304581073321281,171.20350931991933
2030-01-16 02:00:00,47,0,0.3298052377351035,210.36804954064417
2030-01-16 04:00:00,49,0,0.3296529348305956,306.9880469527591
2030-01-16 06:00:00,52,0,0.3309248684672933,276.42436280260813
2030-01-16 08:00:00,50,0,0.33178569282470427,224.24814860702327
2030-01-16 10:00:00,50,0,0.3319318848122553,226.69022080082038
2030-01-16 12:00:00,50,0,0.3320072738403744,224.9951182425659
2030-01-16 14:00:00,47,0,0.33206812778128747,235.85817109849575
2030-01-16 16:00:00,43,0,0.33243373113600133,328.3588680180755
2030-01-16 18:00:00,54,0,0.33409500022317623,234.1367050683968
2030-01-16 20:00:00,50,0,0.3348396113977479,70.07518102285782
2030-01-18 06:00:00,50,0,0.31996505146355286,85.09605087452447
2030-01-18 08:00:00,45,0,0.31934681527230857,102.51815829698137
2030-01-18 10:00:00,54,0,0.3185318298320707,106.86581162702154
2030-01-18 12:00:00,44,0,0.3175168748689326,64.94046280790009
2030-01-18 14:00:00,44,0,0.31591819492590073,104.57656753711854
2030-01-18 18:00:00,50,0,0.31351824606074147,160.79374139359123
2030-01-18 20:00:00,46,0,0.3132262349321079,106.82635260157778
2030-01-18 22:00:00,42,0,0.3120997721976138,82.10703925266534
2030-01-19 00:00:00,47,0,0.3107769717734424,18.664646434811207
2030-01-19 02:00:00,44,0,0.3087747933860055,51.06076256290667
2030-01-19 04:00:00,46,0,0.3071069255480888,49.601669812073496
2030-01-19 06:00:00,47,0,0.30578396472124647,32.99693730360876
2030-01-19 08:00:00,45,0,0.303965806526987,83.84172355501701
2030-01-19 10:00:00,51,0,0.302658462685219,47.33943649917538
2030-01-19 12:00:00,45,0,0.3010171319924523,117.7858986451108
2030-01-19 14:00:00,47,0,0.3001572774810801,100.80738740280587
2030-01-19 16:00:00,46,0,0.299256632815923,100.26940235081435
2030-01-19 18:00:00,45,0,0.2983215752669041,136.95907502136197
2030-01-19 20:00:00,50,0,0.2976515530380131,126.28720675045184
2030-01-19 22:00:00,42,0,0.29687869559046237,36.17523258127141
2030-01-20 00:00:00,44,0,0.2951901182926006,208.29556432707855
2030-01-20 02:00:00,49,0,0.2952833186077323,215.63381512026425
2030-01-20 04:00:00,47,0,0.29544354367120995,223.20182200997476
2030-01-20 06:00:00,47,0,0.29569415826224227,174.89497378677436
2030-01-20 08:00:00,47,0,0.29544798650409754,335.4232591246633
2030-01-20 10:00:00,47,0,0.29679350789558395,344.0494396265213
2030-01-20 12:00:00,54,0,0.29820740960923126,231.51881147165665
2030-01-20 14:00:00,48,0,0.29850962241221424,245.73117980190585
2030-01-20 16:00:00,54,0,0.29909121222958457,195.32944668597986
2030-01-20 18:00:00,44,0,0.2991370766935295,124.09073295071137
2030-01-20 22:00:00,42,0,0.2973326073471639,5.794596510092569
2030-01-21 00:00:00,39,0,0.2960485803141387,43.55024566088548
2030-01-28 02:00:00,42,0,0.2555768318759005,64.6680017324117
2030-01-28 06:00:00,42,0,0.25343818707346594,16.793198673607172
2030-01-28 08:00:00,42,0,0.2521938063212224,69.08462786377801
2030-01-28 12:00:00,42,0,0.250299231704573,118.3043476975755
2030-01-28 14:00:00,43,0,0.24989332557521887,140.3562983583286
2030-01-28 16:00:00,41,0,0.24966834748995748,203.1597353338418
2030-01-28 18:00:00,43,0,0.24993922887932038,155.4966016433639
2030-01-28 20:00:00,43,0,0.24990852224782287,144.36824969926118
2030-01-29 02:00:00,51,0,0.24806238308335896,6.410436654203723
2030-01-29 04:00:00,51,0,0.2470893166868018,194.96660519799647
2030-01-29 06:00:00,52,0,0.24738626445385242,213.26588009923415
2030-01-29 08:00:00,53,0,0.24776096957652247,285.78360147417374
2030-01-29 10:00:00,49,0,0.24866921280624774,163.9028041228348
2030-01-29 12:00:00,49,0,0.248643721185003,196.07901013577654
2030-01-29 14:00:00,49,0,0.24896637072758782,137.38064634007767
2030-01-29 16:00:00,48,0,0.24893973482838463,222.41220771378727
2030-01-29 18:00:00,53,0,0.2494256759471836,210.2810075694141
2030-01-29 20:00:00,46,0,0.24981422190547073,126.00519157045703
2030-01-29 22:00:00,45,0,0.24975259513687756,19.754522588496144
2030-01-30 02:00:00,52,0,0.24828367907119042,104.69826218539023
2030-01-30 04:00:00,46,0,0.24792669742277176,1.906856600713544
2030-01-30 06:00:00,49,0,0.24679887003454448,107.8153436682075
2030-01-30 08:00:00,48,0,0.24641182913536439,108.59503003213226
2030-01-30 10:00:00,48,0,0.24601573852329991,100.04828117815532
2030-01-31 00:00:00,49,0,0.2406598521469806,87.1541756945132
2030-01-31 08:00:00,50,0,0.23817550158702472,1.160233875338277
2030-01-31 14:00:00,53,0,0.2360495999206835,57.79605385737071
2030-01-31 16:00:00,49,0,0.23544412501631937,44.06765752347063
2030-01-31 18:00:00,51,0,0.23473846717248495,134.90857383998042
2030-01-31 20:00:00,52,0,0.23464652504039082,36.445962538798405
2030-02-01 00:00:00,55,0,0.2331303937912784,78.30206918591281
2030-02-01 02:00:00,52,0,0.23268638317377283,63.50518337150574
2030-02-01 04:00:00,52,0,0.23215604214048619,75.0026545274028
2030-02-01 06:00:00,54,0,0.23163185763126273,104.57837319048389
2030-02-01 08:00:00,52,0,0.23131025277751596,177.07584453021934
2030-02-01 10:00:00,49,0,0.231491218207526,54.68802792329955
2030-02-01 12:00:00,49,0,0.2308857668040616,44.1176412917016
2030-02-01 14:00:00,54,0,0.23022647152840497,75.06634583280007
2030-02-01 16:00:00,54,0,0.22988493433570598,40.1478458202084
2030-02-01 18:00:00,51,0,0.22934323808482643,89.00359205005357
2030-02-01 20:00:00,47,0,0.22917827457087886,8.953692222344884
2030-02-02 08:00:00,56,0,0.2260485280905272,108.38166097925455
2030-02-02 10:00:00,48,0,0.22588346467605572,101.69724678390911
2030-02-04 06:00:00,56,0,0.2144479344019147,17.007464215256455
2030-02-05 08:00:00,56,0,0.21128472512977692,46.94186498126999
2030-02-17 12:00:00,55,0,0.19596527163554978,3.767245289355748
2030-02-17 16:00:00,57,0,0.1952158169266388,75.00691793771152
2030-02-17 20:00:00,55,0,0.1947614764322629,183.48317035467647
2030-02-17 22:00:00,56,0,0.19525461687170984,4.573397077839703
2030-02-20 12:00:00,57,0,0.19153312453811483,15.216016380956734
2030-02-20 14:00:00,57,0,0.1912388161638275,57.766472971349394
2030-02-21 20:00:00,57,0,0.18925772815859399,9.747241407673625
2030-02-21 22:00:00,57,0,0.18896130172371517,224.1145078088549
2030-02-22 00:00:00,56,0,0.18964269948448592,213.45763419191888
2030-02-22 02:00:00,56,0,0.19009531211358355,330.0989339769473
2030-02-22 04:00:00,56,0,0.19114507216663554,209.03821896586192
2030-02-22 06:00:00,57,0,0.19155835179804676,355.3660946222983
2030-02-22 08:00:00,49,0,0.19272273749820562,307.03304285761124
2030-02-22 10:00:00,56,0,0.19363141171600623,128.98412520706404
2030-02-22 12:00:00,48,0,0.19362111005681973,268.5848363383687
2030-02-22 14:00:00,57,0,0.1943372853565361,138.35855749405826
2030-02-22 16:00:00,54,0,0.19437637900600974,227.7022261000511
2030-02-22 18:00:00,53,0,0.1948812571469414,198.61463863302978
2030-02-22 20:00:00,51,0,0.19529475451593625,156.13082011087317
2030-02-22 22:00:00,48,0,0.19553843566421517,79.49298614511872
2030-02-23 00:00:00,51,0,0.19546247995727628,124.52247249610095
2030-02-23 02:00:00,50,0,0.19560930534274823,100.44889396177508
2030-02-23 04:00:00,51,0,0.1957437998882245,169.2879701543053
2030-02-23 06:00:00,54,0,0.1961759067108712,277.73053245564853
2030-02-23 08:00:00,52,0,0.19705801256494843,152.99175779396285
2030-02-23 20:00:00,54,0,0.19589759995414724,23.500942430804763
2030-02-24 18:00:00,50,0,0.1944042827866495,74.88130130923072
2030-02-26 22:00:00,45,0,0.1908566976760202,26.37367322355047
2030-02-27 00:00:00,45,0,0.19062758810052802,128.65427754817182
2030-02-27 02:00:00,47,0,0.19075665913420684,107.98909916086906
2030-02-27 06:00:00,47,0,0.19054110918633832,84.4075521868665
2030-02-27 10:00:00,46,0,0.19010715964031355,170.495012570608
2030-02-27 12:00:00,54,0,0.19038560549076045,224.27871130599573
2030-02-27 14:00:00,47,0,0.19097956534900715,114.75205927287466
2030-02-27 16:00:00,52,0,0.1911274737604567,87.75718190213955
2030-02-27 18:00:00,44,0,0.19114197026552351,160.05954914176283
2030-02-28 04:00:00,55,0,0.1898415423966698,76.04132275292245
2030-02-28 06:00:00,51,0,0.18966449927559623,92.52360922666895
2030-02-28 08:00:00,47,0,0.18950643020495242,176.0357587516552
2030-02-28 10:00:00,46,0,0.18973324960905996,95.28240960575377
2030-02-28 16:00:00,56,0,0.18845165955500642,219.84311496927924
2030-02-28 18:00:00,48,0,0.1888872385551647,252.82355878988238
2030-02-28 20:00:00,52,0,0.18945772854986376,194.1550092496179
2030-02-28 22:00:00,48,0,0.1897588669661504,111.09967888115231
2030-03-01 00:00:00,44,0,0.18971063727339663,133.09995015462655
2030-03-01 02:00:00,51,0,0.18975814269669178,17.038460818758583
2030-03-01 04:00:00,51,0,0.18928211932325323,21.068810221730683
2030-03-01 06:00:00,53,0,0.18889622511484175,164.29198784352883
2030-03-01 12:00:00,50,0,0.1882454730174661,56.947938982600085
2030-03-01 16:00:00,50,0,0.187404898769898,106.08406497725022
2030-03-01 18:00:00,48,0,0.1873157282301029,112.77411847890905
2030-03-01 20:00:00,44,0,0.18725438762702862,103.20973133800088
2030-03-01 22:00:00,50,0,0.18715164481331029,9.412690103450666
2030-03-02 00:00:00,50,0,0.18664174218606044,55.217268237468886
2030-03-02 02:00:00,51,0,0.1863333506899143,58.4201038909748
2030-03-02 04:00:00,52,0,0.18604168813972483,58.05106213302609
2030-03-02 06:00:00,46,0,0.185749360510702,50.36591446790308
2030-03-02 08:00:00,49,0,0.1854255710034579,19.621796126548603
2030-03-02 14:00:00,54,0,0.1839082091221751,21.76889064772623
2030-03-02 18:00:00,56,0,0.1829658673795666,71.16707280958298
2030-03-02 20:00:00,49,0,0.18275467919672198,14.194351975212731
2030-03-02 22:00:00,53,0,0.18229673906312552,26.524238808872845
2030-03-03 00:00:00,50,0,0.18190012036449954,17.885088716127704
2030-03-03 02:00:00,51,0,0.18148928625604258,28.595106057795434
2030-03-03 06:00:00,51,0,0.18072942392607597,26.89481174885216
2030-03-03 10:00:00,51,0,0.1800201110939009,42.578538811032985
2030-03-03 12:00:00,55,0,0.1797632372427672,21.255198730268496
2030-03-03 16:00:00,54,0,0.17895036782568932,2.995535513878433
2030-03-03 18:00:00,54,0,0.17846870975858833,111.11081219606
2030-03-03 20:00:00,49,0,0.17843033373373324,19.39974367990071
2030-03-03 22:00:00,49,0,0.17801614654234282,35.87305007338741
2030-03-04 00:00:00,54,0,0.17767351001767043,114.968308223082
2030-03-04 02:00:00,52,0,0.17766548531653,85.95871101932934
2030-03-04 04:00:00,49,0,0.1775679922346913,90.67081016255578
2030-03-04 06:00:00,49,0,0.17750202545242905,130.1587765040412
2030-03-04 12:00:00,55,0,0.1768626768061243,105.47581950987227
2030-03-04 14:00:00,47,0,0.17682932531250226,122.27921567569075
2030-03-04 18:00:00,51,0,0.17637080434199032,212.8726853339565
2030-03-04 20:00:00,50,0,0.17674946250019508,140.2032154926982
2030-03-04 22:00:00,46,0,0.1768367494905056,162.20333075770498
2030-03-05 00:00:00,49,0,0.1770090851373053,179.37588291688996
2030-03-05 02:00:00,50,0,0.17725373377212958,59.43355835544736
2030-03-05 04:00:00,44,0,0.1770169701833972,46.44246390527864
2030-03-05 06:00:00,49,0,0.17677674600130133,115.0792573059879
2030-03-05 08:00:00,51,0,0.17677537448402517,117.03104577250626
2030-03-05 10:00:00,47,0,0.17677652663023763,140.29802780907815
2030-03-05 12:00:00,45,0,0.17686358056565166,148.2410111835436
2030-03-05 14:00:00,53,0,0.17698144883112685,154.77118599154647
2030-03-05 16:00:00,50,0,0.17711985275009626,197.79077754920036
2030-03-05 18:00:00,46,0,0.17745140195521103,116.10437753533517
2030-03-05 20:00:00,49,0,0.17752324638562755,200.79389927185355
2030-03-05 22:00:00,50,0,0.17786192619968313,47.132239514352655
