rule,D_pct,D_ratio,PoF_eff,PoF_nodal,Jain_farm,Jain_station,Gini,worst_over_mean,max_over_min,residual_hours,postcut_violations,monitored_rows_newly_over,cut_MWh,avail_MWh,hours_with_cut,N_farms,r_max,r_min,farm_r_max,farm_r_min,farms_r_zero,cut_MWh_N,cut_MWh_P,label
rule1,9.414709820397862,1.0,0.1207637173883436,0.12434985213022083,0.9783598420579418,0.9899092756041609,0.08321126823716252,1.1307428896136313,1.519853551074295,0,0,0,195159.78574625964,2072924.0674357,718,57,0.10645616187190511,0.070043697168492,40971-1,13471-1,0,40075.93182448227,155083.8539217774,
rule2,8.400262851421049,0.89224872690405,0.0,0.0031997241579463376,0.2984294421171662,0.37651212922162836,0.6991520989834943,4.213427584548309,inf,0,8,0,174131.07037496733,2072924.0674357,718,57,0.3539389921563388,0.0,49871-1,40471-1,2,27760.673343505518,146370.39703146182,
rule3,8.373470056993845,0.8894028830131258,-0.0031895185782991353,0.0,0.30322478589808677,0.38177337736459394,0.7061380119698571,4.375525554770582,inf,0,7,0,173575.67609094724,2072924.0674357,718,57,0.3663833221648285,0.0,68101-1,40471-1,2,27597.903815949503,145977.77227499773,
rule1N,9.664721568253782,1.0265554385238986,0.15052608938526585,0.15420745550781942,0.48996951793680493,0.6955149767916077,0.42110991149006244,3.414436838111879,7.816196662373652,0,0,0,200342.33943898167,2072924.0674357,718,57,0.3299958135274012,0.042219487019302664,68268-1,16373-3,0,118509.97685150863,81832.36258747304,"SEM-24-044 stated intent, not live"
band0,9.42864944205335,1.0014806214871632,0.12242314423034183,0.12601458868037374,0.9999774696398883,0.9999464076562299,0.0022265062111023605,1.0063069307446009,1.0274140639024043,0,4,0,195448.74351846575,2072924.0674357,718,57,0.09488115281099502,0.0923494783112176,26773-1,67059-1,0,42261.901231808224,153186.8422866575,
band1,9.12708057632172,0.9694489528022451,0.08652321216088112,0.08999978673100173,0.9553956893024672,0.8958183210319297,0.07457480183491237,1.1153551957979084,4.9814912432873975,0,1,0,189197.44992082193,2072924.0674357,718,57,0.101799367432666,0.020435520702729637,40773-3,67059-1,0,37422.900269283266,151774.54965153866,
band2,9.000491797634641,0.9560031025209319,0.07145359101614937,0.0748819469554421,0.9167436519864517,0.8461073263379217,0.13942049040953922,1.224624834288368,8.52434198397089,0,3,0,186573.36066074454,2072924.0674357,718,57,0.11022225776192139,0.012930295144092356,40972-2,67059-1,0,33896.921873711806,152676.4387870327,
band3,8.873605318287158,0.9425256314391816,0.05634853042557293,0.05972855433758675,0.854269717604065,0.781548921472896,0.21155852661688462,1.343060618385715,26.24012839279804,0,4,0,183943.10029202874,2072924.0674357,718,57,0.11917789846089519,0.0045418184193643345,49871-1,67059-1,0,30987.300832832414,152955.7994591964,
band5,8.767403245912439,0.9312451911069025,0.04370582218499052,0.04704539291802508,0.7221045004943484,0.7024779043847439,0.34278833760075444,1.574095956241253,76.30586982947217,0,6,0,181741.6119736577,2072924.0674357,718,57,0.13800733996127207,0.001808607126420155,49871-1,67059-1,0,26968.06871232082,154773.54326133683,
band10,8.631507290655364,0.9168107626593424,0.02752823849972694,0.030816045427426563,0.46468846887553106,0.5281873240322765,0.5535668201337246,2.1569185912821385,inf,0,7,0,178924.59201046213,2072924.0674357,718,57,0.18617458546001872,0.0,49871-1,40471-1,2,26198.29803490811,152726.29397555403,
bandinf,8.400262851421049,0.89224872690405,0.0,0.0031997241579463376,0.2984294421171662,0.37651212922162836,0.6991520989834943,4.213427584548309,inf,0,8,0,174131.07037496733,2072924.0674357,718,57,0.3539389921563388,0.0,49871-1,40471-1,2,27760.673343505518,146370.39703146182,
