rule,postcut_violations,hours_with_cut,nw_branches,monitored_rows_newly_over,max_abs_df_MW,residual_hours
rule1,0,1308,56,0,108.42323569149862,0
rule2,0,1308,56,0,103.07343678640655,0
rule3,0,1308,56,0,103.07343678640655,0
rule1N,0,1308,56,0,107.9687300649322,0
band0,0,1308,56,0,114.81734799200713,0
band1,0,1308,56,0,111.70088758108808,0
band2,0,1308,56,0,111.88705956456373,0
band3,0,1308,56,0,111.01028795629092,0
band5,0,1308,56,0,109.16963813397544,0
band10,0,1308,56,0,107.82293508470448,0
bandinf,0,1308,56,0,103.07343678640655,0
