hour,success,status,nit,cut_MW,max_residual
2030-01-05 19:00:00,True,Optimization terminated successfully. (HiGHS Status 7: Optimal),1,174.26886465161053,0.0
2030-01-05 20:00:00,True,Optimization terminated successfully. (HiGHS Status 7: Optimal),1,177.5834036012537,0.0
2030-01-05 21:00:00,True,Optimization terminated successfully. (HiGHS Status 7: Optimal),1,150.63837570907387,0.0
2030-01-05 22:00:00,True,Optimization terminated successfully. (HiGHS Status 7: Optimal),1,154.18352193892514,0.0
2030-01-05 23:00:00,True,Optimization terminated successfully. (HiGHS Status 7: Optimal),1,150.92262063722387,0.0
2030-01-06 00:00:00,True,Optimization terminated successfully. (HiGHS Status 7: Optimal),1,106.90884232708547,0.0
2030-01-06 01:00:00,True,Optimization terminated successfully. (HiGHS Status 7: Optimal),1,134.2677972511042,0.0
2030-01-06 02:00:00,True,Optimization terminated successfully. (HiGHS Status 7: Optimal),1,101.50459282909415,3.552713678800501e-15
2030-01-06 03:00:00,True,Optimization terminated successfully. (HiGHS Status 7: Optimal),1,111.16931927027642,3.552713678800501e-15
2030-01-06 04:00:00,True,Optimization terminated successfully. (HiGHS Status 7: Optimal),1,129.19738129328107,0.0
2030-01-06 05:00:00,True,Optimization terminated successfully. (HiGHS Status 7: Optimal),1,151.2236481007675,0.0
2030-01-06 06:00:00,True,Optimization terminated successfully. (HiGHS Status 7: Optimal),1,167.0447363258122,0.0
2030-01-06 07:00:00,True,Optimization terminated successfully. (HiGHS Status 7: Optimal),1,39.894231959462715,0.0
2030-01-06 08:00:00,True,Optimization terminated successfully. (HiGHS Status 7: Optimal),1,17.54046244270908,0.0
2030-01-06 09:00:00,True,Optimization terminated successfully. (HiGHS Status 7: Optimal),1,116.71824491413939,0.0
2030-01-06 10:00:00,True,Optimization terminated successfully. (HiGHS Status 7: Optimal),1,194.60770501057607,0.0
2030-01-06 11:00:00,True,Optimization terminated successfully. (HiGHS Status 7: Optimal),1,130.8939010328409,0.0
2030-01-06 12:00:00,True,Optimization terminated successfully. (HiGHS Status 7: Optimal),1,85.33499681844162,0.0
2030-01-06 13:00:00,True,Optimization terminated successfully. (HiGHS Status 7: Optimal),1,71.15907442104076,0.0
2030-01-06 14:00:00,True,Optimization terminated successfully. (HiGHS Status 7: Optimal),1,165.62820171887404,0.0
2030-01-06 15:00:00,True,Optimization terminated successfully. (HiGHS Status 7: Optimal),1,176.50843073458333,0.0
2030-01-06 16:00:00,True,Optimization terminated successfully. (HiGHS Status 7: Optimal),1,121.87211625529568,0.0
2030-01-06 17:00:00,True,Optimization terminated successfully. (HiGHS Status 7: Optimal),1,176.3905245788583,0.0
2030-01-06 18:00:00,True,Optimization terminated successfully. (HiGHS Status 7: Optimal),1,152.22881975512516,0.0
2030-01-06 19:00:00,True,Optimization terminated successfully. (HiGHS Status 7: Optimal),1,129.0305343161032,0.0
2030-01-06 20:00:00,True,Optimization terminated successfully. (HiGHS Status 7: Optimal),1,92.8352418553347,0.0
2030-01-06 21:00:00,True,Optimization terminated successfully. (HiGHS Status 7: Optimal),1,31.463848663877236,0.0
2030-01-06 22:00:00,True,Optimization terminated successfully. (HiGHS Status 7: Optimal),1,66.48026153457376,0.0
2030-01-06 23:00:00,True,Optimization terminated successfully. (HiGHS Status 7: Optimal),1,103.27204342590066,0.0
2030-01-07 00:00:00,True,Optimization terminated successfully. (HiGHS Status 7: Optimal),1,208.83695523444032,7.105427357601002e-15
2030-01-07 01:00:00,True,Optimization terminated successfully. (HiGHS Status 7: Optimal),1,189.0747523570407,7.105427357601002e-15
2030-01-07 02:00:00,True,Optimization terminated successfully. (HiGHS Status 7: Optimal),1,137.78785848030154,0.0
2030-01-07 03:00:00,True,Optimization terminated successfully. (HiGHS Status 7: Optimal),1,75.71870990129274,0.0
2030-01-07 04:00:00,True,Optimization terminated successfully. (HiGHS Status 7: Optimal),1,197.9222489715882,7.105427357601002e-15
2030-01-07 05:00:00,True,Optimization terminated successfully. (HiGHS Status 7: Optimal),1,81.32357282212169,3.552713678800501e-15
2030-01-07 06:00:00,True,Optimization terminated successfully. (HiGHS Status 7: Optimal),1,0.8458912479657901,0.0
2030-01-07 07:00:00,True,Optimization terminated successfully. (HiGHS Status 7: Optimal),1,100.11871615701901,0.0
2030-01-07 08:00:00,True,Optimization terminated successfully. (HiGHS Status 7: Optimal),1,96.91991117978377,0.0
2030-01-07 09:00:00,True,Optimization terminated successfully. (HiGHS Status 7: Optimal),1,61.83300343619079,0.0
2030-01-07 10:00:00,True,Optimization terminated successfully. (HiGHS Status 7: Optimal),1,60.26593291740099,0.0
2030-01-07 12:00:00,True,Optimization terminated successfully. (HiGHS Status 7: Optimal),1,4.281453318395315,0.0
2030-01-07 16:00:00,True,Optimization terminated successfully. (HiGHS Status 7: Optimal),1,47.24990223213076,1.7763568394002505e-15
2030-01-07 17:00:00,True,Optimization terminated successfully. (HiGHS Status 7: Optimal),1,2.2070416910033592,0.0
2030-01-07 18:00:00,True,Optimization terminated successfully. (HiGHS Status 7: Optimal),1,25.66608158099947,0.0
2030-01-17 02:00:00,True,Optimization terminated successfully. (HiGHS Status 7: Optimal),1,63.36409864339875,0.0
2030-01-17 03:00:00,True,Optimization terminated successfully. (HiGHS Status 7: Optimal),1,5.231251135517644,0.0
2030-01-17 05:00:00,True,Optimization terminated successfully. (HiGHS Status 7: Optimal),1,0.5558944320506675,0.0
2030-01-18 23:00:00,True,Optimization terminated successfully. (HiGHS Status 7: Optimal),1,64.57362358337157,0.0
2030-01-19 00:00:00,True,Optimization terminated successfully. (HiGHS Status 7: Optimal),1,53.28579641942483,0.0
2030-01-19 01:00:00,True,Optimization terminated successfully. (HiGHS Status 7: Optimal),1,33.02929297193148,0.0
2030-01-19 02:00:00,True,Optimization terminated successfully. (HiGHS Status 7: Optimal),1,79.7790594333097,0.0
2030-01-19 03:00:00,True,Optimization terminated successfully. (HiGHS Status 7: Optimal),1,44.30837718238021,0.0
2030-01-19 04:00:00,True,Optimization terminated successfully. (HiGHS Status 7: Optimal),1,21.53937511699764,0.0
2030-01-19 05:00:00,True,Optimization terminated successfully. (HiGHS Status 7: Optimal),1,2.6778085878383773,0.0
2030-01-20 11:00:00,True,Optimization terminated successfully. (HiGHS Status 7: Optimal),1,99.73396438133159,3.552713678800501e-15
2030-01-20 12:00:00,True,Optimization terminated successfully. (HiGHS Status 7: Optimal),1,106.0770067581086,0.0
2030-01-20 13:00:00,True,Optimization terminated successfully. (HiGHS Status 7: Optimal),1,127.25295938679608,0.0
2030-01-20 14:00:00,True,Optimization terminated successfully. (HiGHS Status 7: Optimal),1,98.84130693934262,0.0
2030-01-20 15:00:00,True,Optimization terminated successfully. (HiGHS Status 7: Optimal),1,24.43064465520312,0.0
2030-01-20 16:00:00,True,Optimization terminated successfully. (HiGHS Status 7: Optimal),1,103.86240114834115,0.0
2030-01-20 17:00:00,True,Optimization terminated successfully. (HiGHS Status 7: Optimal),1,161.86478119199828,0.0
2030-01-20 18:00:00,True,Optimization terminated successfully. (HiGHS Status 7: Optimal),1,163.31457407416818,7.105427357601002e-15
2030-01-20 19:00:00,True,Optimization terminated successfully. (HiGHS Status 7: Optimal),1,172.94915794129403,0.0
2030-01-20 20:00:00,True,Optimization terminated successfully. (HiGHS Status 7: Optimal),1,130.8188643535871,7.105427357601002e-15
2030-01-20 21:00:00,True,Optimization terminated successfully. (HiGHS Status 7: Optimal),1,134.21118181825946,0.0
2030-01-20 22:00:00,True,Optimization terminated successfully. (HiGHS Status 7: Optimal),1,149.89259633010124,0.0
2030-01-20 23:00:00,True,Optimization terminated successfully. (HiGHS Status 7: Optimal),1,99.95750737822627,0.0
2030-01-21 00:00:00,True,Optimization terminated successfully. (HiGHS Status 7: Optimal),1,130.15261930437708,0.0
