check,row,hour1,hour2,dF_from_PTDF,dF_from_flows,abs_diff,bus,F,sign_F,SF_raw,SF_eff,dF_for_1MW_cut,d_absF,relieves,consistent,d_absF_plus_SF_eff
finite_difference,FLG_SLIGO_N1,2030-10-21 18:00:00,2030-07-02 12:00:00,-194.03181987904935,-194.03181987892685,1.2249756764504127e-10,,,,,,,,,,
finite_difference,T25221_N1,2030-10-21 18:00:00,2030-07-02 12:00:00,155.2575049750725,155.2575049751127,4.021671884402167e-11,,,,,,,,,,
finite_difference,T25222_N1,2030-10-21 18:00:00,2030-07-02 12:00:00,149.30849464169304,149.30849464173133,3.82840426027542e-11,,,,,,,,,,
finite_difference,FLG_SLIGO_N0,2030-10-21 18:00:00,2030-07-02 12:00:00,-115.97100812619334,-115.97100812609274,1.0059864052891498e-10,,,,,,,,,,
unit_cut,FLG_SLIGO_N1,2030-10-21 18:00:00,,,,,1341,-219.46702219489185,-1.0,-0.2095902009888539,0.2095902009888539,0.2095902009888539,-0.20959020098885617,True,True,-2.275957200481571e-15
unit_cut,FLG_SLIGO_N1,2030-10-21 18:00:00,,,,,1571,-219.46702219489185,-1.0,-0.2095933736194097,0.2095933736194097,0.2095933736194097,-0.20959337361941266,True,True,-2.9698465908722937e-15
unit_cut,FLG_SLIGO_N1,2030-10-21 18:00:00,,,,,1631,-219.46702219489185,-1.0,-0.1831223967411449,0.1831223967411449,0.18312239674114492,-0.1831223967411404,True,True,4.496403249731884e-15
unit_cut,FLG_SLIGO_N1,2030-10-21 18:00:00,,,,,17010,-219.46702219489185,-1.0,-0.209622281835699,0.209622281835699,0.20962228183569906,-0.2096222818356921,True,True,6.9111383282915995e-15
unit_cut,FLG_SLIGO_N1,2030-10-21 18:00:00,,,,,1931,-219.46702219489185,-1.0,-0.242650732565758,0.242650732565758,0.24265073256575806,-0.24265073256574965,True,True,8.354428260304303e-15
unit_cut,FLG_SLIGO_N1,2030-10-21 18:00:00,,,,,2671,-219.46702219489185,-1.0,-0.1831223967411281,0.1831223967411281,0.18312239674112815,-0.1831223967411404,True,True,-1.2295719997723609e-14
unit_cut,FLG_SLIGO_N1,2030-10-21 18:00:00,,,,,3591,-219.46702219489185,-1.0,-0.20959790712023,0.20959790712023,0.20959790712023008,-0.20959790712024073,True,True,-1.074140776324839e-14
unit_cut,FLG_SLIGO_N1,2030-10-21 18:00:00,,,,,4041,-219.46702219489185,-1.0,-0.09003684084852,0.09003684084852,0.09003684084852005,-0.09003684084851216,True,True,7.840950111415168e-15
unit_cut,FLG_SLIGO_N1,2030-10-21 18:00:00,,,,,4071,-219.46702219489185,-1.0,-0.2096001742006303,0.2096001742006303,0.20960017420063037,-0.20960017420063082,True,True,-5.273559366969494e-16
unit_cut,FLG_SLIGO_N1,2030-10-21 18:00:00,,,,,4091,-219.46702219489185,-1.0,-0.2096021557744789,0.2096021557744789,0.2096021557744789,-0.20960215577449048,True,True,-1.1574075031717257e-14
unit_cut,FLG_SLIGO_N1,2030-10-21 18:00:00,,,,,4371,-219.46702219489185,-1.0,-0.1489190966310668,0.1489190966310668,0.14891909663106687,-0.14891909663106162,True,True,5.190292640122607e-15
unit_cut,FLG_SLIGO_N1,2030-10-21 18:00:00,,,,,4981,-219.46702219489185,-1.0,-0.3180158733296525,0.3180158733296525,0.3180158733296525,-0.3180158733296423,True,True,1.0158540675320182e-14
unit_cut,FLG_SLIGO_N1,2030-10-21 18:00:00,,,,,4991,-219.46702219489185,-1.0,-0.2095995795147028,0.2095995795147028,0.20959957951470284,-0.20959957951470187,True,True,9.159339953157541e-16
unit_cut,FLG_SLIGO_N1,2030-10-21 18:00:00,,,,,5241,-219.46702219489185,-1.0,-0.0900368408485194,0.0900368408485194,0.09003684084851948,-0.09003684084851216,True,True,7.244205235679146e-15
unit_cut,FLG_SLIGO_N1,2030-10-21 18:00:00,,,,,5361,-219.46702219489185,-1.0,-0.2095995795147037,0.2095995795147037,0.20959957951470373,-0.20959957951470187,True,True,1.8318679906315083e-15
