hour,phi_N,phi_P,tier
2030-01-07 04:00:00,1.0,0.27967132069170475,N_then_P
2030-01-07 05:00:00,1.0,0.08486579172313213,N_then_P
2030-01-07 06:00:00,0.028016671538352966,0.0,N_only
2030-01-07 07:00:00,1.0,0.11057927832007408,N_then_P
2030-01-07 08:00:00,1.0,0.11625586822628975,N_then_P
2030-01-07 09:00:00,1.0,0.04952528513967991,N_then_P
2030-01-07 10:00:00,1.0,0.03528691083192825,N_then_P
2030-01-07 12:00:00,0.13129980862140656,0.0,N_only
2030-01-07 16:00:00,1.0,0.007933596149086952,N_then_P
2030-01-07 17:00:00,0.06408879160881042,0.0,N_only
2030-01-07 18:00:00,0.6308740973472595,0.0,N_only
2030-01-17 02:00:00,1.0,0.007308376953005791,N_then_P
2030-01-17 03:00:00,0.11413803696632385,0.0,N_only
2030-01-17 05:00:00,0.01232987642288208,0.0,N_only
2030-01-18 23:00:00,0.9832813665270805,0.0,N_only
2030-01-19 00:00:00,0.8440407663583755,0.0,N_only
2030-01-19 01:00:00,0.5795093104243279,0.0,N_only
2030-01-19 02:00:00,1.0,0.035358380526304245,N_then_P
2030-01-19 03:00:00,0.7510789260268211,0.0,N_only
2030-01-19 04:00:00,0.3833518996834755,0.0,N_only
2030-01-19 05:00:00,0.05330416560173035,0.0,N_only
2030-01-20 11:00:00,1.0,0.07149738818407059,N_then_P
2030-01-20 12:00:00,1.0,0.08111592009663582,N_then_P
2030-01-20 13:00:00,1.0,0.12472253851592541,N_then_P
2030-01-20 14:00:00,1.0,0.06636792421340942,N_then_P
2030-01-20 15:00:00,0.4301649108529091,0.0,N_only
2030-01-20 16:00:00,1.0,0.08099808916449547,N_then_P
2030-01-20 17:00:00,1.0,0.18379494175314903,N_then_P
2030-01-20 18:00:00,1.0,0.18739613704383373,N_then_P
2030-01-20 19:00:00,1.0,0.2047034502029419,N_then_P
2030-01-20 20:00:00,1.0,0.13536715134978294,N_then_P
2030-01-20 21:00:00,1.0,0.1424059495329857,N_then_P
2030-01-20 22:00:00,1.0,0.1715633813291788,N_then_P
2030-01-20 23:00:00,1.0,0.07539203390479088,N_then_P
2030-01-21 00:00:00,1.0,0.13585306517779827,N_then_P
2030-01-21 01:00:00,1.0,0.11367874965071678,N_then_P
2030-01-21 02:00:00,1.0,0.09557957574725151,N_then_P
2030-01-21 03:00:00,1.0,0.10024996101856232,N_then_P
2030-01-21 04:00:00,1.0,0.10359543934464455,N_then_P
2030-01-21 05:00:00,1.0,0.10709591954946518,N_then_P
2030-01-21 06:00:00,1.0,0.18217627331614494,N_then_P
2030-01-21 07:00:00,1.0,0.2169754896312952,N_then_P
2030-01-21 08:00:00,1.0,0.20875009708106518,N_then_P
2030-01-21 09:00:00,1.0,0.20121947675943375,N_then_P
2030-01-21 10:00:00,1.0,0.18969491496682167,N_then_P
2030-01-21 11:00:00,1.0,0.1617635991424322,N_then_P
2030-01-21 12:00:00,0.8255881741642952,0.0,N_only
2030-01-22 05:00:00,0.3414156511425972,0.0,N_only
2030-01-22 06:00:00,1.0,0.14722291007637978,N_then_P
2030-01-22 07:00:00,1.0,0.25123757123947144,N_then_P
2030-01-22 08:00:00,0.11774883419275284,0.0,N_only
2030-01-23 02:00:00,0.5946473702788353,0.0,N_only
2030-01-23 03:00:00,1.0,0.12171057611703873,N_then_P
2030-01-23 18:00:00,0.535696230828762,0.0,N_only
2030-01-23 20:00:00,0.2881522700190544,0.0,N_only
2030-01-24 01:00:00,1.0,0.060926102101802826,N_then_P
2030-01-24 02:00:00,0.981175996363163,0.0,N_only
2030-01-24 03:00:00,1.0,0.18432066589593887,N_then_P
2030-01-24 04:00:00,1.0,0.03661014512181282,N_then_P
2030-01-24 05:00:00,1.0,0.2021679598838091,N_then_P
2030-01-24 06:00:00,1.0,0.1873437948524952,N_then_P
