bus,psse_name,station,in_CG3,in_NW,ws_p_nom,SF_FLG_SLIGO_N1,SF_T25221_N1,SF_T25222_N1,SF_FLG_SLIGO_N0,ratio_to_next,step_change
4981,SLIGO,Sligo,True,True,17.73,0.3180158733296525,0.17231039135779003,0.16570796464160162,0.22431377747706918,1.3105910292006662,False
1931,CUNGHILL,Cunghill,True,True,34.8,0.24265073256575806,0.1658508035170556,0.15949588918244315,0.16549029882724123,1.157561736475832,False
17010,CATH FALL,Cathaleen's Fall,True,True,55.0,0.20962228183569906,0.1438754368357272,0.13836255383150356,0.1252990864909146,1.000096020296861,False
4091,MULREAVY,Mulreavy,True,True,95.25,0.2096021557744789,0.14386639290452463,0.13835385643710896,0.12528618409166042,1.0000001096777362,False
51911,CROAGHONAGH,,False,True,139.2,0.20960213278579146,0.14386638257423168,0.13835384650264243,0.12528616935409106,1.0000093443870863,False
4071,MEENTYCAT,Meentycat,True,True,84.96,0.20960017420063037,0.14386550245618765,0.13835300010812987,0.12528491374588202,1.0000028372476606,False
3581,LETTERKENNY,,False,True,60.27,0.20959957951471372,0.1438652352256324,0.13835274311706247,0.12528453250510957,1.0000000000000477,False
5361,TRILLICK,Trillick,True,True,44.69,0.20959957951470373,0.14386523522562455,0.13835274311705506,0.12528453250510374,1.0000000000000042,False
4991,SORNE HILL,Sorne Hill,True,True,63.25,0.20959957951470284,0.14386523522562367,0.13835274311705428,0.12528453250510327,1.000007979060935,False
3591,LENALEA,Lenalea,True,True,30.5,0.20959790712023008,0.14386448371143506,0.1383520203986758,0.12528346036779037,1.0000216299811882,False
5191,TIEVEBRACK,,False,True,29.9,0.20959337361950153,0.14386244651853997,0.13835006126501262,0.12528055403476587,1.000000000000438,False
1571,ARDNAGAPPARY,Ardnagappary,True,True,22.94,0.2095933736194097,0.14386244651847074,0.13835006126494617,0.12528055403471305,1.0000151373038473,False
1341,BINBANE,Binbane,True,True,89.3,0.2095902009888539,0.1438610208519494,0.13834869022576696,0.12527852012724133,1.144536139318463,False
1631,CORDERRY,Corderry,True,True,79.60300000000001,0.18312239674114492,0.1790393085746012,0.17217904956836208,0.09983200861979953,1.0000000000000915,False
2671,GARVAGH,Garvagh,True,True,82.0,0.18312239674112815,0.17903930857459235,0.17217904956835353,0.0998320086197895,1.0000000000000007,False
