option,label,spill_MWh_window,spill_saving_MWh_window,spill_saving_MWh_annualised,spill_saving_pct,equity_guaranteed_bound_pp,equity_realised_divergence_pp,feasibility_escapes,operator_actions_per_event,security,community_EUR_window,carbon_tCO2_window,consumer_EUR_window_at_40,consumer_EUR_window_at_60,consumer_EUR_window_at_80,consumer_EUR_window_at_100,consumer_EUR_window_at_120
a,Today (pro rata),10818.93441837861,25.524081621389996,105.84187219094741,0.23536520169623956,6.220727437546395,5.801718917338565,100,1,invariant,,,1020.9632648555998,1531.4448972833998,2041.9265297111997,2552.4081621389996,3062.8897945667995
b,Band 2 pp,10519.467756090098,324.99074390990245,1347.6539250417732,2.996836991998286,8.220727437546394,5.801718917338565,7,1,invariant,,,12999.629756396098,19499.444634594147,25999.259512792196,32499.074390990245,38998.889269188294
c,Band 3 pp,10437.830303617407,406.62819638259316,1686.1836687865168,3.7496403935945084,9.220727437546394,6.1316805916996815,2,1,invariant,,,16265.127855303726,24397.69178295559,32530.255710607453,40662.819638259316,48795.38356591118
d,Band 5 pp,10317.210237911226,527.2482620887749,2186.3643909574766,4.861914148030304,11.220727437546394,9.524473332390562,0,1,invariant,,,21089.930483550997,31634.895725326496,42179.860967101995,52724.82620887749,63269.79145065299
e,Pure effectiveness,9915.291306861347,929.1671931386536,3853.019934624666,8.568128995455638,inf,45.237522268774136,0,1,invariant,,,37166.687725546144,55750.031588319216,74333.37545109229,92916.71931386535,111500.06317663843
