case,hours,step,overload_hours,overload_MWh,rule,D_pct,D_ratio,PoF_eff,PoF_nodal,Jain_farm,Jain_station,Gini,worst_over_mean,residual_hours,postcut_violations
WP2024s42,8760,1,1308,34817.14268770898,rule1,8.343417544700966,1.0,0.1683140749132285,0.1683140749132285,0.9918555787541208,0.99737080843889,0.0479800268150107,1.0861989297776535,0,0
WP2024s42,8760,1,1308,34817.14268770898,rule2,7.141416613782246,0.8559342230592152,0.0,0.0,0.2092514077518068,0.2844388098181255,0.8106105565206937,5.44733465335433,0,0
WP2024s42,8760,1,1308,34817.14268770898,rule3,7.141416613782246,0.8559342230592152,0.0,0.0,0.2271580144031058,0.2844388098181255,0.7958220870932291,5.530234579353541,0,0
WP2024s42,8760,1,1308,34817.14268770898,rule1N,8.41613049238696,1.00871500764482,0.1784959410076482,0.1784959410076482,0.3789774385865332,0.5283019210425453,0.4283985120586306,4.1848469081559925,0,0
WP2024s42,8760,1,1308,34817.14268770898,band0,8.343789187492538,1.0000445432329834,0.1683661153992653,0.1683661153992653,0.9999956025130666,0.9999948798278322,0.0010847182424043,1.00341136561573,0,0
WP2024s42,8760,1,1308,34817.14268770898,band1,8.19338069124233,0.982017338500106,0.1473046783785019,0.1473046783785019,0.9589127061210692,0.9589090672032664,0.0758094009325484,1.1255526838412462,0,0
WP2024s42,8760,1,1308,34817.14268770898,band2,8.094499228739679,0.9701659044836636,0.1334584812091868,0.1334584812091868,0.8826716954526366,0.8935739352037587,0.1771404271623056,1.24683473461173,0,0
WP2024s42,8760,1,1308,34817.14268770898,band3,8.026362104815897,0.9619993320259472,0.1239173596630382,0.1239173596630382,0.7889139542844967,0.8106304346232371,0.2792184086353393,1.3695756860427288,0,0
WP2024s42,8760,1,1308,34817.14268770898,band5,7.935880717732941,0.9511546887370084,0.1112474102711576,0.1112474102711576,0.6091578253195719,0.671054236312108,0.4438500695590467,1.6232173400498355,0,0
WP2024s42,8760,1,1308,34817.14268770898,band10,7.742035121265347,0.9279213319705464,0.0841035525534198,0.0841035525534198,0.3811463768711993,0.4645031110688816,0.6454397183366266,2.2730684057411943,0,0
WP2024s42,8760,1,1308,34817.14268770898,bandinf,7.141416613782246,0.8559342230592152,0.0,0.0,0.2092514077518068,0.2844388098181255,0.8106105565206937,5.44733465335433,0,0
WP2033s42,4380,2,718,63271.08334348244,rule1,9.414709820397862,1.0,0.1207637173883436,0.1243498521302208,0.9783598420579418,0.9899092756041608,0.0832112682371625,1.1307428896136311,0,0
WP2033s42,4380,2,718,63271.08334348244,rule2,8.400262851421049,0.89224872690405,0.0,0.0031997241579463,0.2984294421171662,0.3765121292216283,0.6991520989834943,4.213427584548309,0,8
WP2033s42,4380,2,718,63271.08334348244,rule3,8.373470056993845,0.8894028830131258,-0.0031895185782991,0.0,0.3032247858980867,0.3817733773645939,0.7061380119698571,4.375525554770582,0,7
WP2033s42,4380,2,718,63271.08334348244,rule1N,9.664721568253782,1.0265554385238986,0.1505260893852658,0.1542074555078194,0.4899695179368049,0.6955149767916077,0.4211099114900624,3.414436838111879,0,0
WP2033s42,4380,2,718,63271.08334348244,band0,9.42864944205335,1.0014806214871632,0.1224231442303418,0.1260145886803737,0.9999774696398884,0.99994640765623,0.0022265062111023,1.0063069307446009,0,4
WP2033s42,4380,2,718,63271.08334348244,band1,9.12708057632172,0.9694489528022452,0.0865232121608811,0.0899997867310017,0.9553956893024672,0.8958183210319297,0.0745748018349123,1.1153551957979084,0,1
WP2033s42,4380,2,718,63271.08334348244,band2,9.000491797634641,0.956003102520932,0.0714535910161493,0.0748819469554421,0.9167436519864516,0.8461073263379217,0.1394204904095392,1.224624834288368,0,3
WP2033s42,4380,2,718,63271.08334348244,band3,8.873605318287158,0.9425256314391816,0.0563485304255729,0.0597285543375867,0.854269717604065,0.781548921472896,0.2115585266168846,1.343060618385715,0,4
WP2033s42,4380,2,718,63271.08334348244,band5,8.767403245912439,0.9312451911069024,0.0437058221849905,0.047045392918025,0.7221045004943484,0.7024779043847439,0.3427883376007544,1.574095956241253,0,6
