element,contingency,lodf_kit,bodf_pypsa,abs_diff,agree_1e6,denom,P_e_ref
2521-4981-1,2522-5042-1,0.28547513905004374,0.28547513904977495,2.687849942617504e-13,True,0.22652908690923235,0.006882114175815229
T2522-2521-25221-1-w1,2522-5042-1,-0.30109741488321773,-0.3010974148830591,1.5865087021893487e-13,True,0.22652908690923235,-0.007877864655705669
T2522-2521-25222-2-w1,2522-5042-1,-0.2895602487231547,-0.28956024872300185,1.5287771049088406e-13,True,0.22652908690923235,-0.007576008083623957
