rule,generator,bus,station,class,cum_cut_MWh,cum_avail_MWh,r,hours_cut
rule1,13471-1,1341,Binbane,P,135.21281332139307,1879.0562208000001,0.07195783278045124,407
rule1,13473-4,1341,Binbane,P,2046.6303107283588,28442.0782512,0.07195783278045124,407
rule1,13474-1,1341,Binbane,P,1233.5748000955386,17082.329279999998,0.07221350085668989,408
rule1,13475-6,1341,Binbane,P,1573.3986135035457,21779.969832000002,0.07224062409819529,409
rule1,13476-3,1341,Binbane,P,2447.603562293418,33879.953072000004,0.07224341654464195,410
rule1,13478-1,1341,Binbane,P,617.0429148638868,8541.164639999999,0.07224341654464196,410
rule1,13479-9,1341,Binbane,P,699.3153035124051,9679.986592,0.07224341654464196,410
rule1,15771-1,1571,Ardnagappary,P,455.6057649803819,5587.1817804,0.08154482579726696,470
rule1,15772-1,1571,Ardnagappary,P,690.3117651217908,8465.42694,0.08154482579726698,470
rule1,16373-3,1631,Corderry,P,1352.334048279251,17621.16164,0.07674488639894521,472
rule1,16374-4,1631,Corderry,P,1521.3758043141574,19823.806845,0.07674488639894521,472
rule1,16377-1,1631,Corderry,P,1793.3370895950256,23322.1257,0.07689423822953778,473
rule1,16379-2,1631,Corderry,P,57.94093610839875,751.4907169999999,0.07710133312052445,474
rule1,16382-1,1631,Corderry,P,2043.5147273295881,26496.5261425,0.07712387338398385,475
rule1,16385-1,1631,Corderry,N,3309.8180356682406,42368.528355,0.07811973094594497,479
rule1,16392-1,1631,Corderry,P,2431.9575136270173,31044.340654,0.0783381918376696,481
rule1,17075-7,1341,Binbane,P,489.3732605812002,5637.168662399999,0.08681188906858993,507
rule1,17077-8,1341,Binbane,P,4.943164248294952,56.9410976,0.08681188906858993,507
rule1,17078-1,17010,Cathaleen's Fall,N,8866.834262021279,102891.336,0.08617668510030115,510
rule1,19371-1,1931,Cunghill,P,6037.543041183735,65655.72075000001,0.09195760814466018,633
rule1,19372-2,1931,Cunghill,P,2809.046341266538,30547.187970000003,0.0919576081446602,633
rule1,26732-1,2671,Garvagh,N,9744.86816433511,88105.8082,0.1106041515698293,711
rule1,26771-1,2671,Garvagh,P,7452.921077255117,67375.0298,0.11061844572653705,712
rule1,26773-1,2671,Garvagh,P,6313.951978492343,57009.6406,0.11075235542692306,714
rule1,35971-1,3591,Lenalea,P,10181.716640928546,87017.38938000001,0.11700783847313054,777
rule1,40471-1,4041,Moy,P,1666.7974184173456,16387.36008,0.10171238138909228,777
rule1,40771-1,4071,Meentycat,P,17479.033871158772,150654.29511200002,0.11602081346678127,777
rule1,40772-2,4071,Meentycat,P,5967.322338622445,51433.205476799994,0.11602081346678128,777
rule1,40773-3,4071,Meentycat,P,4625.831270249959,39870.70192,0.1160208134667813,777
