StartTime,R_MW,observed_MW,n_units_cut,n_units_available,band0_MW,band1_MW,band2_MW,band3_MW,band4_MW,band5_MW,band6_MW,band7_MW,band8_MW,band10_MW,bandinf_MW
2026-06-09 01:30:00,1.4124719298318873,6.159999999999997,4,15,5.003038342799677,5.003038342799677,5.003038342799677,5.003038342799677,5.003038342799677,5.003038342799677,5.003038342799677,5.003038342799677,5.003038342799677,5.003038342799677,5.003038342799677
2026-06-09 02:00:00,1.2448467007516983,5.581999999999996,4,15,5.158220294931629,5.158220294931629,5.158220294931629,5.158220294931629,5.158220294931629,5.158220294931629,5.158220294931629,5.158220294931629,5.158220294931629,5.158220294931629,4.532229877493074
2026-06-09 02:30:00,1.0790108458342846,4.543999999999998,5,15,4.934166150220339,4.471053054221752,4.471053054221752,4.471053054221752,4.471053054221752,4.471053054221752,4.471053054221752,4.471053054221752,4.471053054221752,4.471053054221752,3.8362178410581715
2026-06-09 03:00:00,2.5132272287627537,10.655999999999995,5,15,10.627846062882462,11.492600397270001,10.413956746120354,10.413956746120354,10.413956746120354,10.413956746120354,10.413956746120354,10.413956746120354,10.413956746120354,10.413956746120354,9.896978435992716
2026-06-09 03:30:00,3.7651846200942214,16.264999999999997,5,15,15.601641318410312,15.601641318410312,17.217603824402463,16.21208371994654,15.601641318410312,15.601641318410312,15.601641318410312,15.601641318410312,15.601641318410312,15.601641318410312,14.983832337017402
2026-06-09 04:00:00,5.859663148837653,24.926999999999996,5,15,26.79534260166096,26.79534260166096,24.280446224861095,24.280446224861095,26.79534260166096,25.310255222433327,24.280446224861095,24.280446224861095,24.280446224861095,23.480434451532695,23.480434451532695
2026-06-09 04:30:00,7.064539826751977,30.083999999999996,5,15,31.134907458680612,29.27304437301423,32.30508611195816,32.30508611195816,29.27304437301423,29.27304437301423,31.07701184771245,31.07701184771245,29.04895571210767,29.27304437301423,28.491827790601505
2026-06-09 05:00:00,6.297542973799643,26.560999999999996,5,15,26.78578115170056,29.49177877203334,26.0948709234976,27.50163018427875,27.501618117261852,27.501618117261852,26.0948709234976,26.0948709234976,26.094870923497602,26.76969755018678,25.27031484203226
2026-06-09 05:30:00,5.6695948107502465,23.651999999999997,5,15,24.799082936694518,22.679588869092647,25.383250108650014,23.492867836008585,23.492867836008585,25.926234143264594,25.926234143264594,23.898158532034,25.926234143264594,22.67958886909265,22.679588869092647
2026-06-09 06:00:00,2.712291778816553,10.911999999999995,5,15,10.972895671479568,11.238812370085057,12.40281740727448,12.40289710994182,12.402930040059918,11.238812370085057,11.238812370085057,10.329125129766362,10.32912512976636,12.402930040059918,10.32912512976636
2026-06-09 06:30:00,3.073065549610857,13.030999999999997,5,15,16.42007661168599,14.052598948794179,12.733735869714737,12.733735869714737,14.052688365042039,13.40852707910832,12.507193719552674,12.733735869714737,14.052686200083158,14.052686200083158,12.160371986840072
2026-06-09 07:00:00,2.788045054590979,11.933999999999997,5,15,12.749214578564429,12.749247032671613,11.552708116662721,11.552708116662721,11.55270811666272,11.552708116662721,11.55270811666272,12.749319529805511,11.552708116662721,11.55270811666272,10.935341375056062
2026-06-09 07:30:00,3.1143067633389756,13.078999999999997,5,15,14.241187900960092,14.241284721870267,14.24122212424864,14.24123771791717,14.24123771791717,13.027770042245102,13.0345747544355,13.358457594504786,12.904625398129388,12.904625398129388,12.132695851227941
2026-06-09 08:00:00,8.879927412485769,38.179,11,15,42.68760948038015,40.606488969164786,39.40255809763123,39.40257590642994,38.36286714357979,40.606558239501275,40.606558239501275,40.606558239501275,40.606558239501275,40.606558239501275,36.009973707868646
2026-06-09 08:30:00,9.968082086001571,42.98599999999998,10,15,41.30726827632751,42.229039720857664,47.59940948222189,44.100415720652705,42.99406787655581,41.3072682681497,45.58255635970499,43.554497899098266,42.44818061525044,40.36147830249077,40.36147830249077
2026-06-09 09:00:00,9.415676010450541,41.08299999999999,9,15,43.05659895754022,39.69694410861217,38.016552536407715,39.292979566039776,41.02844206933028,42.06267671192795,38.016552536407715,39.75093373900656,39.75093373900656,43.05651560984729,38.016552536407715
2026-06-09 09:30:00,8.030321317783375,34.31100000000001,9,15,34.70315871842426,36.72185744805178,36.721275224686984,36.95360291036154,36.72150737252855,35.010268291751686,36.72150737252855,35.451624591194204,36.72150737252855,33.4235409975134,32.18634035285151
2026-06-09 10:00:00,9.432967250317295,40.111,9,15,50.40245397477722,49.19621207082379,46.09766929911732,43.13533884349067,40.1592862049554,41.107527806723766,39.90030186245291,41.10750956836628,41.10750956836628,39.150775393011465,37.96172096006474
2026-06-09 10:30:00,8.206845309169799,35.123999999999995,10,15,35.50062181025875,36.474460863776834,34.44657877724925,33.0329990512658,34.00636882080466,34.54884687760031,34.07271849928639,35.60286023713768,33.032999051265804,37.52869262647321,33.0329990512658
2026-06-09 11:00:00,0.43922532692026417,1.8199999999999967,1,15,2.0085019761501384,1.8199999999999963,1.4904351409274823,1.8199999999999967,2.008528098123306,2.0085121226596936,2.0085121226596936,1.4904351409274823,2.0085121226596936,1.8199999999999965,1.4904351409274823
2026-06-09 11:30:00,0.43922532692026417,1.8199999999999967,1,15,2.0085068513830375,1.819999999999997,1.819999999999997,2.0085016945555387,2.0085128049480394,2.0085128049480394,2.0085128049480394,2.0085128049480394,2.0085128049480394,1.8199999999999965,1.4904351409274823
2026-06-09 12:00:00,0.43922532692026417,1.8199999999999967,1,15,2.008502483331397,2.062058250037214,2.008512209111363,2.008502547180431,2.008513303206787,2.008513303206787,2.008513303206787,1.8199999999999965,2.008513303206787,1.8199999999999965,1.4904351409274823
2026-06-09 12:30:00,0.43922532692026417,1.8199999999999967,1,15,2.0085140526666367,2.3468791672005898,2.0085123665462117,2.0085026588248414,2.0085135192009766,2.0085135192009766,2.0085135192009766,2.0085135192009766,2.0085135192009766,1.8199999999999965,1.490435140927482
2026-06-09 13:00:00,0.43922532692026417,1.8199999999999967,1,15,2.0085157457028004,2.008517907758047,2.0085142803120566,2.0085029847393914,2.0085150495061015,2.0085150495061015,2.0085150495061015,2.0085150495061015,2.0085150495061015,1.8199999999999967,1.490435140927482
2026-06-09 13:30:00,0.43922532692026417,1.8199999999999967,1,15,2.0085159062293982,2.3468791672005898,2.00851434999379,2.0085029196105597,2.008515104759438,2.008515104759438,2.008515104759438,1.4904351409274823,2.008515104759438,1.4904351409274823,1.4904351409274823
2026-06-09 14:00:00,0.43922532692026417,1.8199999999999967,1,15,2.0085123784701984,2.346879167200589,2.0085141230948818,1.8199999999999967,2.008514882931961,2.008514882931961,2.008514882931961,1.819999999999997,1.8199999999999965,1.8199999999999967,1.490435140927482
2026-06-09 14:30:00,0.43922532692026417,1.8199999999999967,1,15,2.0085171066944274,2.008592619034066,2.0085157556974873,2.008507604987597,2.008516186842109,2.008516186842109,1.8199999999999965,1.8199999999999965,1.8199999999999965,1.8199999999999967,1.4904351409274823
2026-06-09 15:00:00,0.43922532692026417,1.8199999999999967,1,15,2.008502647983602,1.8199999999999965,2.0085127080796346,2.0085061797706847,2.0085138267832967,1.4904351409274823,1.8199999999999965,1.8199999999999965,1.8199999999999965,1.8199999999999967,1.4904351409274823
2026-06-09 15:30:00,0.43922532692026417,1.8199999999999967,1,15,2.0085210683435983,2.0085179077580464,2.008510189064267,2.0085057579141465,2.0085117743163,2.0085117743163,1.8199999999999965,1.8199999999999965,1.8199999999999965,1.8199999999999963,1.4904351409274823
2026-06-09 16:00:00,0.43922532692026417,1.8199999999999967,1,15,2.00850404052516,1.8199999999999965,2.0085113544031117,2.008506993564385,2.008512710655614,1.8199999999999965,1.8199999999999965,1.8199999999999965,1.8199999999999965,1.8199999999999963,1.5124222286622955
2026-06-09 16:30:00,1.3784958814095027,5.842,4,15,6.303624427123786,6.303624501019653,6.303643682722503,6.303634360246718,6.303649708666729,5.712016931620937,5.712016931620937,5.712016931620937,5.712016931620937,5.712016931620937,5.654746879301409
2026-06-09 17:00:00,0.008957660365726369,0.03399999999999992,2,15,0.04096369082486504,0.03711749042327323,0.03711749042327324,0.040961919491711254,0.04096202292080557,0.04096202292080557,0.04096202292080557,0.03711749042327323,0.03711749042327323,0.03711749042327323,0.030396270368069127
