generator,bus,station,carrier,p_nom,psse_bus_name,class,matched_name,matched_mec,match_status
53673-3,5361,Trillick,wind,14.0,W_BEAMHIL,P,Beam Hill (1),14.0,matched
53674-4,5361,Trillick,wind,9.99,W_DRUMLOUG,P,Drumlough Hill (2),9.99,matched
67059-1,5241,Tawnaghmore,wind,19.2,W_BS_KILLALA,P,Killala Wind Farm (Phase 1),19.2,matched
68087-1,4981,Sligo,wind,7.65,W_CARRICKEEN,P,Carrickeeney (1),7.65,matched
68101-1,4981,Sligo,wind,6.0,W_FAUGHA_PH1,P,Faughary (1),6.0,matched
68195-1,5361,Trillick,wind,4.0,W_COOLY_PH1,U,Cooly (1),4.0,matched
68223-1,1341,Binbane,wind,0.5,W_ANARGET_PH,P,,,unmatched
68244-1,1341,Binbane,wind,1.9,W_MEENACHU_P,N,Meenachullalan (2),1.9,matched
68254-1,4371,Glenree,wind,2.65,W_CARROWLE_P,N,Carrowleagh (2),2.65,matched
68260-1,1571,Ardnagappary,wind,17.96,W_CRONALAG_P,N,Cronalaght (2),17.96,matched
68268-1,1341,Binbane,wind,4.2,W_KILLYBEGS,N,Bradán Wind Farm (Killybegs Community Wind Turbine),4.2,matched
68269-1,1341,Binbane,wind,20.0,W_CLOGHERA_P,P,,,unmatched
68269-2,1341,Binbane,wind,3.6,W_CLOGHERA_P,N,Clogheravaddy Wind Farm (Phase 3),3.6,matched
68284-1,5361,Trillick,wind,6.9,W_BEAMHILL_P,P,Meenaward,6.9,matched
68308-1,4091,Mulreavy,wind,5.4,W_MEENAD_S_P,P,Mulreavy Ext (Meenadreen South (2)),5.4,matched
68312-1,4371,Glenree,wind,12.5,W_BLACKLOU_P,N,Black Lough (1),12.5,matched
68407-1,1341,Binbane,wind,9.4,W_CORKEMOR_P,P,,,unmatched
69197-1,17010,Cathaleen's Fall,wind,17.5,W_ACRES,P,Spaddan (1),17.5,matched
