generator,bus,station,carrier,p_nom,psse_bus_name,class,matched_name,matched_mec,match_status,SF_FLG_SLIGO_N1,SF_T25221_N1,SF_T25222_N1,SF_FLG_SLIGO_N0
13471-1,1341,Binbane,wind,0.66,W_BURTONPORT,P,,,unmatched,-0.2095902009888539,0.1438610208519494,0.13834869022576696,-0.12527852012724133
13472-DW,1341,Binbane,wind,2.55,W_SHANAGH_KI,U,Shannagh (1) previously Kilcar,2.55,matched_multi,-0.2095902009888539,0.1438610208519494,0.13834869022576696,-0.12527852012724133
13473-4,1341,Binbane,wind,9.99,W_CORKERMO,P,Corkermore (1),9.99,matched,-0.2095902009888539,0.1438610208519494,0.13834869022576696,-0.12527852012724133
13474-1,1341,Binbane,wind,6.0,W_KILLIN_HIL,P,Killin Hill (1),6.0,matched,-0.2095902009888539,0.1438610208519494,0.13834869022576696,-0.12527852012724133
13475-6,1341,Binbane,wind,7.65,W_LOUGHDER,P,Loughderryduff (1),7.65,matched,-0.2095902009888539,0.1438610208519494,0.13834869022576696,-0.12527852012724133
13476-3,1341,Binbane,wind,11.9,W_MEENACHU,P,Meenachullalan (1),11.9,matched,-0.2095902009888539,0.1438610208519494,0.13834869022576696,-0.12527852012724133
13477-2,1341,Binbane,wind,2.55,W_KILLYBEG,U,Killybegs (1),2.55,matched_multi,-0.2095902009888539,0.1438610208519494,0.13834869022576696,-0.12527852012724133
13478-1,1341,Binbane,wind,3.0,W_KILCAR,P,,,unmatched,-0.2095902009888539,0.1438610208519494,0.13834869022576696,-0.12527852012724133
13479-9,1341,Binbane,wind,3.4,W_MEENADREEN,P,,,unmatched,-0.2095902009888539,0.1438610208519494,0.13834869022576696,-0.12527852012724133
15771-1,1571,Ardnagappary,wind,1.98,W_CRONALAGHT,P,,,unmatched,-0.2095933736194097,0.14386244651847074,0.13835006126494617,-0.12528055403471305
15772-1,1571,Ardnagappary,wind,3.0,W_CRONALAGHT,P,,,unmatched,-0.2095933736194097,0.14386244651847074,0.13835006126494617,-0.12528055403471305
