rule,postcut_violations,hours_with_cut,nw_branches,monitored_rows_newly_over,max_abs_df_MW,residual_hours
rule1,0,718,60,0,138.65914270162227,0
rule2,8,718,60,0,140.84488800739234,0
rule3,7,718,60,0,140.84488800739214,0
rule1N,0,718,60,0,138.86137255358548,0
band0,4,718,60,0,138.78367702361342,0
band1,1,718,60,0,142.1300071530506,0
band2,3,718,60,0,142.77737745297208,0
band3,4,718,60,0,141.92108936632985,0
band5,6,718,60,0,140.64790432948786,0
band10,7,718,60,0,138.49675279727956,0
bandinf,8,718,60,0,140.84488800739234,0
