bus,psse_name,station,in_CG3,in_NW,ws_p_nom,SF_FLG_SLIGO_N1,SF_T25221_N1,SF_T25222_N1,SF_FLG_SLIGO_N0,ratio_to_next,step_change
4981,SLIGO,Sligo,True,True,13.65,0.33760303233700917,0.164487665323806,0.15818498243010684,0.23650305964556426,1.1455974695423263,False
1931,CUNGHILL,Cunghill,True,True,34.8,0.2946960353114989,0.1440406876571525,0.13852147272814105,0.20643238317205514,1.2211198931255938,False
4371,GLENREE,Glenree,True,True,77.3,0.24133259720893682,0.11861077872060405,0.11406596300704258,0.16903347870567806,1.103451445293508,False
17010,CATH FALL,Cathaleen's Fall,True,True,17.5,0.21870703802897692,0.13880609764627627,0.13348745678980783,0.12817233586331306,1.000097142160131,False
4091,MULREAVY,Mulreavy,True,True,95.25,0.21868579441851713,0.1387973606162429,0.1334790545370334,0.12815892439560145,1.000000084462815,False
2801,GOLAGH,,False,False,15.0,0.21868577594770092,0.13879735301959975,0.1334790472314713,0.12815891273464827,1.0000000264963504,False
51911,CROAGHONAGH,,False,True,139.2,0.21868577015332613,0.1387973506365029,0.1334790449396876,0.12815890907655644,1.0000094535640698,False
4071,MEENTYCAT,Meentycat,True,True,84.96,0.21868370281293056,0.13879650038484212,0.13347822726716635,0.12815760392793069,1.0000028703972745,False
3581,LETTERKENNY,,False,True,40.27,0.2186830751056278,0.13879624222263434,0.13347797899697406,0.12815720764518615,1.0000000000000122,False
5361,TRILLICK,Trillick,True,True,44.69,0.2186830751056251,0.13879624222263257,0.13347797899697234,0.12815720764518482,1.0000000000000016,False
4991,SORNE HILL,Sorne Hill,True,True,63.25,0.21868307510562476,0.1387962422226325,0.13347797899697222,0.12815720764518465,1.0000080722871922,False
3591,LENALEA,Lenalea,True,True,30.5,0.2186813098472881,0.1387955162106829,0.13347728080366233,0.1281560932063162,1.0000218827083784,False
1571,ARDNAGAPPARY,Ardnagappary,True,True,22.94,0.2186765246126708,0.13879354814891004,0.13347538815221993,0.12815307220290015,1.0000153141732846,False
1341,BINBANE,Binbane,True,True,70.8,0.21867317581376366,0.13879217086147502,0.1334740636383835,0.12815095804682392,1.0266184543826808,False
4041,MOY,Moy,True,True,6.0,0.2130033557065314,0.10511071093518518,0.10108317805938205,0.14917938694875046,1.0000000000000004,False
5241,TAWNAGHMORE,Tawnaghmore,True,True,30.0,0.2130033557065313,0.10511071093518534,0.10108317805938222,0.14917938694875038,1.138124573909693,False
1631,CORDERRY,Corderry,True,True,63.253,0.1871529361454878,0.17695615559933908,0.17017571687990582,0.09835358206321922,1.0000000000000104,False
2671,GARVAGH,Garvagh,True,True,82.0,0.18715293614548587,0.17695615559933944,0.17017571687990596,0.09835358206321779,1.1606853618295132,False
14013,SRAHNAKILLY,,False,False,172.0,0.1612434707115534,0.08044496208559906,0.07736254806128268,0.11290430680122705,1.0000000000000007,False
14010,BELLACORICK,,False,False,33.9,0.1612434707115533,0.08044496208559906,0.07736254806128265,0.11290430680122696,1.0,False
14016,CROAGHAUN,,False,False,50.0,0.1612434707115533,0.08044496208559915,0.07736254806128275,0.11290430680122694,1.0000000000000002,False
1401,BELLACORICK,,False,False,9.0,0.16124347071155326,0.08044496208559909,0.0773625480612827,0.11290430680122694,1.7528358160563284,True
1061,ARIGNA,,False,False,15.6,0.09199005932816448,0.1898812962808767,0.18260560423705693,0.028196280807260325,1.0763760779861657,False
1661,CASTLEBAR,,False,False,50.44,0.08546274969272105,0.044332280759639145,0.04263359832632489,0.0597946113515174,1.4012437057582396,False
2281,DALTON_A1,,False,False,40.8,0.06099063948799365,0.027442132771839007,0.02639063106532987,0.043579809460219866,1.0004203270778533,False
22811,DALTON_A2,,False,False,2.55,0.060965014241706146,0.027424446753003665,0.026373622722648277,0.04356283061007203,1.0880212457093166,False
2821,GORTAWEE,,False,False,3.0,0.05603292627062725,0.07955984251630902,0.07651134366707424,0.02399659029796561,1.5759476641687387,False
79010,ENNISKIL,,False,False,16.9,0.03555506794077632,0.03388511714154059,0.03258673924956576,0.018251971429536683,1.000000000000019,False
70010,AGHYOULE,,False,False,82.5,0.03555506794077564,0.033885117141539675,0.0325867392495648,0.01825197142953629,1.45447987729216,False
77210,DRUMQUIN,,False,False,67.9,0.02444521130603014,0.020420049033808577,0.019637612895022517,0.01295350245732926,1.204172170692464,False
87510,OMAH1-,,False,False,95.7,0.020300428710267257,0.015396601677238057,0.014806649246329613,0.010976789102495228,1.0000000000000724,False
85510,MAKL1-CL,,False,False,70.6,0.020300428710265786,0.015396601677237033,0.014806649246328478,0.010976789102494361,,False
1821,CLOON,,False,False,4.25,0.01940940415899308,0.02368369668385263,0.022776207179062057,0.011563373829441257,,False
80710,GORT,,False,False,67.5,0.017499504698699077,0.012001901473601312,0.01154202395658125,0.009640983479010342,,False
90210,TREM,,False,False,77.15,0.015782401668140142,0.009920784676633685,0.009540649426064023,0.008822069479612293,,False
89510,STRABANE,,False,False,28.1,0.01457228904794672,0.00845413669145929,0.008130199072177274,0.008244947345477843,,False
81810,KILL1-CL,,False,False,20.7,0.013266052967346391,0.006870987748289668,0.0066077117338923606,0.0076219823900352986,,False
89210,SKRK1-,,False,False,27.6,0.013266052967346167,0.0068709877482895105,0.006607711733892185,0.007621982390035165,,False
84412,LSMR1B,,False,False,15.0,0.01155344022911893,0.0047953131540477804,0.004611570876920459,0.006805209883131496,,False
77511,DUNG1-,,False,False,17.5,0.011223000677699296,0.004394822741647798,0.004226426077617782,0.006647617956615474,,False
83510,LIMA1-,,False,False,37.7,0.010969298862863124,0.004087337926305643,0.003930723174809343,0.0065266234885228615,,False
75010,COLE1-,,False,False,108.0,0.010598787655999886,0.0036382809493250793,0.003498872738644739,0.00634992074626768,,False
87900,RASHARK1,,False,False,89.819,0.009789384394917779,0.0026572898892777193,0.002555470366848677,0.0059639033379570855,,False
73500,BROCK1,,False,False,47.5,0.00978938439491611,0.002657289889277121,0.0025554703668480994,0.005963903337955887,,False
1831,SCREEB,,False,False,3.0,0.008458884598196456,-0.00881420584079752,-0.008476471432171964,0.008773166656881503,,False
4951,SALTHILL,,False,False,46.1,0.008458884598172406,-0.008814205840800074,-0.008476471432174209,0.008773166656863987,,False
2171,KNOCKALOUGH,,False,False,33.6,0.008458884598154323,-0.008814205840830616,-0.00847647143220362,0.008773166656858117,,False
20900,BUFFY,,False,False,109.2,0.008458884598153464,-0.00881420584082835,-0.008476471432201454,0.008773166656856839,,False
2111,UGGOOL,,False,False,174.0,0.008458884598151447,-0.008814205840823354,-0.008476471432196566,0.008773166656852977,,False
71011,BAME1A,,False,False,55.15,0.008232038201376295,0.0007697972552313023,0.000740300891582342,0.005221179938660557,,False
70311,ANTR1A,,False,False,39.315,0.00823203820137539,0.0007697972552315607,0.0007403008915825848,0.005221179938660023,,False
