rule,generator,bus,station,class,cum_cut_MWh,cum_avail_MWh,r,hours_cut
rule1,13471-1,1341,Binbane,P,127.63281639598603,1822.188456,0.070043697168492,392
rule1,13473-4,1341,Binbane,P,1936.2670415429113,27581.307084,0.07020214943570045,393
rule1,13474-1,1341,Binbane,P,1164.6308487528015,16565.3496,0.07030523815523951,393
rule1,13475-6,1341,Binbane,P,1484.904332159822,21120.82074,0.07030523815523951,393
rule1,13476-3,1341,Binbane,P,2312.504167292356,32854.61004,0.0703859873691064,394
rule1,13478-1,1341,Binbane,P,582.9842438552158,8282.6748,0.07038598736910638,394
rule1,13479-9,1341,Binbane,P,660.7154763692447,9387.031439999999,0.07038598736910641,394
rule1,15771-1,1571,Ardnagappary,P,432.73736411484185,5401.4921928,0.08011441073480872,455
rule1,15772-1,1571,Ardnagappary,P,655.6626729012755,8184.0790799999995,0.08011441073480872,455
rule1,16373-3,1631,Corderry,P,1308.8976881158087,18200.822472,0.07191420553271186,456
rule1,16374-4,1631,Corderry,P,1473.5011875430146,20475.925281000003,0.07196261791941115,456
rule1,16377-1,1631,Corderry,P,1739.4110175981195,24089.32386,0.07220671811741418,457
rule1,16379-2,1631,Corderry,P,56.04768834482829,776.2115465999999,0.07220671811741416,457
rule1,16382-1,1631,Corderry,P,1976.1641838823082,27368.148496499998,0.07220671811741418,457
rule1,16385-1,1631,Corderry,N,3171.048533404849,43762.271679000005,0.0724607844095654,459
rule1,16392-1,1631,Corderry,P,2323.4961119382315,32065.566649200002,0.0724607844095654,459
rule1,17075-7,1341,Binbane,P,445.3484557919552,5466.565368,0.08146769055372892,468
rule1,17077-8,1341,Binbane,P,4.498469250423789,55.217832,0.08146769055372889,468
rule1,17078-1,17010,Cathaleen's Fall,N,8435.279195573889,108568.062,0.07769577019412843,474
rule1,19371-1,1931,Cunghill,P,5138.96278823897,64097.241,0.08017447721718583,546
rule1,19372-2,1931,Cunghill,P,2391.734251259631,29822.084760000005,0.08020010239081725,547
rule1,26732-1,2671,Garvagh,N,8459.20645438239,91004.11236,0.09295411201769553,631
rule1,26771-1,2671,Garvagh,P,6470.907615294441,69591.38004,0.0929843266734338,632
rule1,26773-1,2671,Garvagh,P,5475.383366787604,58885.01387999999,0.09298432667343383,632
rule1,35971-1,3591,Lenalea,P,9014.681727847093,85450.34757,0.10549613880110159,718
rule1,40471-1,4041,Moy,P,1505.7264115524988,16647.58668,0.09044712849349157,718
rule1,40771-1,4071,Meentycat,P,15571.833291802091,146473.745652,0.106311429549965,718
rule1,40772-2,4071,Meentycat,P,5316.206224006537,50005.97063279999,0.10631142954996504,718
rule1,40773-3,4071,Meentycat,P,4121.090096129099,38764.318320000006,0.10631142954996502,718
rule1,40971-1,4091,Mulreavy,P,24531.91784317519,230441.50204,0.10645616187190511,718
rule1,40972-2,4091,Mulreavy,P,1271.4713516279824,11943.614435000001,0.10645616187190508,718
rule1,40973-1,4091,Mulreavy,P,1077.0110272613497,10116.943992,0.10645616187190508,718
rule1,43771-1,4371,Glenree,N,7109.342306807492,76634.28416000001,0.09276973595739908,718
rule1,43774-2,4371,Glenree,P,8670.85856348128,93466.457288,0.0927697359573991,718
rule1,49871-1,4981,Sligo,N,1082.627848422674,11282.189073599999,0.09595902367528944,718
rule1,49971-1,4991,Sorne Hill,P,8626.202611111146,86774.23881,0.09940971801549298,718
rule1,49973-2,4991,Sorne Hill,P,2026.4729943562695,20385.059276,0.09940971801549298,718
rule1,49976-3,4991,Sorne Hill,P,2519.398857848335,25343.587207999997,0.09940971801549299,718
rule1,49977-1,4991,Sorne Hill,P,164.30862116402184,1652.8426439999998,0.09940971801549299,718
rule1,49979-3,4991,Sorne Hill,P,82.15431058201092,826.4213219999999,0.09940971801549299,718
rule1,53673-3,5361,Trillick,P,3833.8678271605095,38566.32836,0.09940971801549298,718
rule1,53674-4,5361,Trillick,P,2735.7385423809637,27519.8300226,0.09940971801549298,718
rule1,67059-1,5241,Tawnaghmore,P,4969.647706616118,52816.255871999994,0.09409314659979005,718
rule1,68087-1,4981,Sligo,P,2029.927215792514,21154.104513,0.09595902367528944,718
