hour,F_FLG_SLIGO_N1,O_FLG_SLIGO_N1,F_T25221_N1,O_T25221_N1,F_T25222_N1,O_T25222_N1,F_FLG_SLIGO_N0,O_FLG_SLIGO_N0,n_rows_over
2030-01-01 00:00:00,-85.20070610255587,0.0,57.26341531779938,0.0,55.0692498923992,0.0,-52.1787492064527,0.0,0
2030-01-01 02:00:00,-96.23516489035205,0.0,71.91004465318706,0.0,69.15466352823424,0.0,-58.208797022411645,0.0,0
2030-01-01 04:00:00,-92.26755172745516,0.0,62.164729090038755,0.0,59.78275975601037,0.0,-56.510715121043944,0.0,0
2030-01-01 06:00:00,-117.46865972781325,0.0,81.11111323470595,0.0,78.00317426027317,0.0,-71.43974482282799,0.0,0
2030-01-01 08:00:00,-58.38503005689067,0.0,20.872693874389306,0.0,20.072913718421034,0.0,-38.61049766733126,0.0,0
2030-01-01 10:00:00,-47.99186366255,0.0,17.285372794943434,0.0,16.623048217526357,0.0,-31.819511658526316,0.0,0
2030-01-01 12:00:00,-36.55273291348713,0.0,13.505264685643478,0.0,12.987782717974302,0.0,-24.344984834434264,0.0,0
2030-01-01 14:00:00,-92.51919078979151,0.0,71.27852608413792,0.0,68.54734289083137,0.0,-55.47874232157002,0.0,0
2030-01-01 16:00:00,-105.63957760830462,0.0,71.15832977459807,0.0,68.43175214987652,0.0,-64.94541436328096,0.0,0
2030-01-01 18:00:00,-118.97330795178462,0.0,84.7359445898961,0.0,81.4891127536191,0.0,-72.91154580731836,0.0,0
2030-01-01 20:00:00,-144.3855597928449,23.3855597928449,114.40008343795799,0.0,110.01660916648098,0.0,-86.8466178271085,0.0,1
2030-01-01 22:00:00,-143.35643581875306,22.356435818753056,102.73983406727683,0.0,98.80314621045412,0.0,-87.62908354814212,0.0,1
2030-01-02 00:00:00,-125.1376377530382,4.137637753038206,97.83799856700736,0.0,94.08913460989442,0.0,-75.42383788989694,0.0,1
2030-01-02 02:00:00,-172.5393912331661,51.5393912331661,155.87964080119337,30.879640801193375,149.90679205524245,24.906792055242448,-100.0715559548218,0.0,3
2030-01-02 04:00:00,-188.16457976890095,67.16457976890095,174.66786497152088,49.667864971520885,167.97510680957683,42.97510680957683,-107.9109169689412,0.0,3
2030-01-02 06:00:00,-181.6714963319363,60.67149633193631,161.54594526695422,36.54594526695422,155.35598042201468,30.35598042201468,-105.15916577854198,0.0,3
2030-01-02 08:00:00,-164.2935772704841,43.29357727048409,152.84724926987846,27.84724926987846,146.9905928365474,21.990592836547393,-94.64665610620717,0.0,3
2030-01-02 10:00:00,-183.0058343176466,62.00583431764659,169.58795815317305,44.58795815317305,163.0898470594003,38.08984705940031,-105.15615085351891,0.0,3
2030-01-02 12:00:00,-203.1136826589527,82.11368265895271,182.75301559452362,57.75301559452362,175.75045827271947,50.75045827271947,-118.33906281087121,0.0,3
2030-01-02 14:00:00,-202.15189270593436,81.15189270593436,167.09958931997284,42.099589319972836,160.6968251912587,35.69682519125871,-118.99842419663689,0.0,3
2030-01-02 16:00:00,-135.03119465497818,14.03119465497818,105.77881589648126,0.0,101.7256832062329,0.0,-80.7691356870516,0.0,1
2030-01-02 18:00:00,-120.52101732986391,0.0,91.46410728832555,0.0,87.95947207292022,0.0,-72.04283169861552,0.0,0
2030-01-02 20:00:00,-150.09324440250072,29.093244402500716,111.67032089259338,0.0,107.39144308228379,0.0,-90.38194237523025,0.0,1
2030-01-02 22:00:00,-137.52006620452562,16.52006620452562,98.36969390083267,0.0,94.60045694445215,0.0,-83.21451130116806,0.0,1
2030-01-03 00:00:00,-160.3970214993425,39.397021499342486,136.30270131506143,11.302701315061427,131.07998323311702,6.079983233117019,-93.63061230777198,0.0,3
2030-01-03 02:00:00,-144.78864808962857,23.788648089628566,139.51970676344536,14.519706763445356,134.17372250729534,9.173722507295338,-82.43916173169993,0.0,3
2030-01-03 04:00:00,-129.02708721953374,8.02708721953374,95.59526252779844,0.0,91.93233361050497,0.0,-77.27698289752102,0.0,1
2030-01-03 06:00:00,-133.1592507423601,12.159250742360086,98.23678457375752,0.0,94.4726403113522,0.0,-79.64559275406563,0.0,1
2030-01-03 08:00:00,-120.96228632006714,0.0,85.31856461298548,0.0,82.04940849332942,0.0,-73.14862799081507,0.0,0
2030-01-03 10:00:00,-109.04348041586684,0.0,78.82975671350388,0.0,75.80923260201726,0.0,-66.4694359838473,0.0,0
2030-01-03 12:00:00,-60.07739420830347,0.0,32.369275382539755,0.0,31.128980082382412,0.0,-38.002883035644075,0.0,0
2030-01-03 14:00:00,-25.379578966911808,0.0,25.793587504927572,0.0,24.805253197826715,0.0,-15.097787924016801,0.0,0
2030-01-03 16:00:00,-84.76841322129658,0.0,73.35057312125957,0.0,70.53999518798832,0.0,-50.23758355321099,0.0,0
2030-01-03 18:00:00,-111.95494798095216,0.0,88.75176797731771,0.0,85.35106161605322,0.0,-67.09663073298393,0.0,0
2030-01-03 20:00:00,-159.8751487898823,38.8751487898823,134.37613557883333,9.376135578833328,129.2272378218684,4.227237821868414,-94.28701923754417,0.0,3
2030-01-03 22:00:00,-148.27292204379737,27.272922043797365,137.60658324944364,12.606583249443645,132.33390425190683,7.33390425190683,-85.64636134347073,0.0,3
2030-01-04 00:00:00,-146.47810897903307,25.478108979033067,130.40683508669963,5.40683508669963,125.41002923439189,0.4100292343918852,-85.34805203586765,0.0,3
2030-01-04 02:00:00,-155.14872440772368,34.14872440772368,112.70035832831684,0.0,108.38201251708914,0.0,-93.264978516985,0.0,1
2030-01-04 04:00:00,-191.08755110703234,70.08755110703234,169.40348796516108,44.40348796516108,162.91244522569997,37.91244522569997,-111.18357100300003,0.0,3
2030-01-04 06:00:00,-186.61393938990963,65.61393938990963,150.76787694662812,25.76787694662812,144.99089593665224,19.990895936652237,-110.59489691523734,0.0,3
2030-01-04 08:00:00,-186.69148041974773,65.69148041974773,139.92712733988753,14.927127339887534,134.56553192716467,9.56553192716467,-111.34616161911093,0.0,3
2030-01-04 10:00:00,-143.55350396723065,22.553503967230654,104.91065655828322,0.0,100.89078917701178,0.0,-86.41301801640012,0.0,1
2030-01-04 12:00:00,-153.3193740899216,32.31937408992161,103.27954834768995,0.0,99.32218022918343,0.0,-93.36172139787354,0.0,1
2030-01-04 14:00:00,-153.87068841497577,32.870688414975774,110.50927854553024,0.0,106.2748884585114,0.0,-92.17082994771152,0.0,1
2030-01-04 16:00:00,-153.9351693963572,32.935169396357196,114.59820729355147,0.0,110.20714149943345,0.0,-91.99004284622447,0.0,1
2030-01-04 18:00:00,-149.1939039447964,28.193903944796403,101.59098333210898,0.0,97.69831605191555,0.0,-89.96770698963826,0.0,1
2030-01-04 20:00:00,-165.36851794644716,44.368517946447156,102.60183284560654,0.0,98.67043278916336,0.0,-101.72495949195729,0.0,1
2030-01-04 22:00:00,-184.9867031109735,63.98670311097351,129.41744962027775,4.4174496202777505,124.45855410515078,0.0,-111.60682791688866,0.0,2
2030-01-05 00:00:00,-192.04333982808726,71.04333982808726,142.13313215323103,17.13313215323103,136.68700913308464,11.687009133084644,-114.27291494083171,0.0,3
2030-01-05 02:00:00,-190.4727335740425,69.47273357404251,144.8578854399089,19.857885439908898,139.3073578986352,14.307357898635189,-112.7921041380281,0.0,3
2030-01-05 04:00:00,-199.1000290252693,78.1000290252693,157.5960992620351,32.596099262035096,151.55748088309917,26.557480883099174,-117.16056316890315,0.0,3
2030-01-05 06:00:00,-189.0025392004335,68.00253920043349,137.41006869275077,12.41006869275077,132.14491955426075,7.144919554260753,-112.86596834028006,0.0,3
2030-01-05 08:00:00,-194.94496017760173,73.94496017760173,149.3631182888974,24.363118288897397,143.63996349345518,18.639963493455184,-115.29735460406685,0.0,3
2030-01-05 10:00:00,-149.44388198798885,28.443881987988846,121.67417622879358,0.0,117.01198014489557,0.0,-87.57308183333502,0.0,1
2030-01-05 12:00:00,-149.40666137056803,28.40666137056803,128.921615120277,3.9216151202770106,123.98171852288121,0.0,-86.98752101227696,0.0,2
2030-01-05 14:00:00,-208.86554058182597,87.86554058182597,173.5932425546481,48.5932425546481,166.9416607587902,41.94166075879019,-122.06548784962624,1.065487849626237,4
2030-01-05 16:00:00,-202.15869304269427,81.15869304269427,159.30364441993,34.30364441993001,153.19959793952722,28.199597939527223,-119.38617879453753,0.0,3
2030-01-05 18:00:00,-111.32992390673796,0.0,59.27274048876148,0.0,57.00158364058208,0.0,-69.61704822341915,0.0,0
2030-01-05 20:00:00,-166.63334710666408,45.633347106664075,108.75285713461832,0.0,104.58576794313421,0.0,-101.24076506906178,0.0,1
2030-01-05 22:00:00,-117.07552458963957,0.0,74.7637929991712,0.0,71.89906464232843,0.0,-71.51058994072662,0.0,0
2030-01-06 00:00:00,-99.18526185847142,0.0,60.856989380833056,0.0,58.52512878096651,0.0,-61.020784980159775,0.0,0
2030-01-06 02:00:00,-88.85197838392554,0.0,46.27902563697048,0.0,44.505749673420205,0.0,-55.79162991867416,0.0,0
2030-01-06 04:00:00,-76.98492292168406,0.0,55.10639972281009,0.0,52.99488478226674,0.0,-46.11788011422424,0.0,0
2030-01-06 06:00:00,-137.70837410307297,16.70837410307297,97.98764983054274,0.0,94.23305167775717,0.0,-82.82370404595417,0.0,1
2030-01-06 08:00:00,-145.5593300043857,24.559330004385714,95.2044114171224,0.0,91.55645876327327,0.0,-88.77373576235075,0.0,1
2030-01-06 10:00:00,-107.42333657540605,0.0,78.87207880047809,0.0,75.84993303126367,0.0,-64.56978073667338,0.0,0
2030-01-06 12:00:00,-92.43530023792935,0.0,69.47174427190797,0.0,66.80979163639529,0.0,-54.82154352994807,0.0,0
2030-01-06 14:00:00,-122.89213409136113,1.8921340913611289,83.26004373110581,0.0,80.06976406898235,0.0,-73.95923948340463,0.0,1
2030-01-06 16:00:00,-112.7317861196976,0.0,61.910766281280736,0.0,59.53852805412422,0.0,-70.07438259380753,0.0,0
2030-01-06 18:00:00,-111.62440926297504,0.0,61.181126183663366,0.0,58.83684561614524,0.0,-69.33795489389803,0.0,0
2030-01-06 20:00:00,-125.2045664054057,4.2045664054057,73.6516349162955,0.0,70.82952118171173,0.0,-76.62362476599752,0.0,1
2030-01-06 22:00:00,-80.49168245564195,0.0,41.91171028598184,0.0,40.305776984265094,0.0,-50.66298957120731,0.0,0
2030-01-07 00:00:00,-74.89164971804232,0.0,43.88113738278479,0.0,42.19974143498469,0.0,-46.183603011616654,0.0,0
2030-01-07 02:00:00,-66.0495040463267,0.0,32.46768928448891,0.0,31.223623053452933,0.0,-41.87564148692155,0.0,0
2030-01-07 04:00:00,-41.00250554543955,0.0,12.563239225099958,0.0,12.08185289866859,0.0,-27.147391554833302,0.0,0
2030-01-07 06:00:00,-30.428268784195506,0.0,-1.110586593084328,0.0,-1.068032185685814,0.0,-22.086345254313173,0.0,0
2030-01-07 08:00:00,-10.691734594975912,0.0,-11.31712061222609,0.0,-10.883481881028816,0.0,-9.519183062373475,0.0,0
2030-01-07 10:00:00,-9.651315273703995,0.0,-20.341818228928016,0.0,-19.562379664183222,0.0,-9.997466250038865,0.0,0
2030-01-07 12:00:00,-17.07028781613147,0.0,-2.559130901427644,0.0,-2.461072542319534,0.0,-12.602419873124507,0.0,0
2030-01-07 14:00:00,-21.837273567786696,0.0,-1.967183548526358,0.0,-1.891806868605305,0.0,-15.915630496244134,0.0,0
2030-01-07 16:00:00,-24.776162739035914,0.0,-1.3091402367738052,0.0,-1.2589778385202521,0.0,-17.88610217803248,0.0,0
2030-01-07 18:00:00,-27.149848278921592,0.0,-8.561679279250784,0.0,-8.233620944733989,0.0,-20.8058597909153,0.0,0
2030-01-07 20:00:00,-41.84234469868618,0.0,12.751140207681058,0.0,12.262554068994582,0.0,-27.661748825556877,0.0,0
2030-01-07 22:00:00,-39.80663105950556,0.0,19.664748892316165,0.0,18.91125363047688,0.0,-25.184512012006724,0.0,0
2030-01-08 00:00:00,-87.16051638521225,0.0,58.71570867640325,0.0,56.46589564672891,0.0,-52.59046950388609,0.0,0
2030-01-08 02:00:00,-52.61775624740162,0.0,21.07343086480776,0.0,20.265959058567987,0.0,-33.593085814515256,0.0,0
2030-01-08 04:00:00,-58.854248285737164,0.0,37.711128646130625,0.0,36.26614926149311,0.0,-35.60462892670704,0.0,0
2030-01-08 06:00:00,-76.78256754436873,0.0,52.977967527541864,0.0,50.948007840160514,0.0,-45.627405283179115,0.0,0
2030-01-08 08:00:00,-125.1579970253654,4.157997025365404,98.88471683548758,0.0,95.0957457170731,0.0,-72.94216201950726,0.0,1
2030-01-08 10:00:00,-129.23809622622207,8.23809622622207,82.54164915003096,0.0,79.37889625247163,0.0,-78.08104397008964,0.0,1
2030-01-08 12:00:00,-128.11654091024016,7.116540910240161,84.40815934011766,0.0,81.17388726923417,0.0,-77.57464410494707,0.0,1
2030-01-08 14:00:00,-118.72078014294199,0.0,74.16699815441544,0.0,71.32513721837107,0.0,-72.20034340801783,0.0,0
2030-01-08 16:00:00,-105.32480744948681,0.0,55.75776053164272,0.0,53.62128736326273,0.0,-65.05346999708426,0.0,0
2030-01-08 18:00:00,-107.16432727694723,0.0,57.192662465748484,0.0,55.00120808126081,0.0,-66.67590900814596,0.0,0
2030-01-08 20:00:00,-121.94496045321812,0.9449604532181155,67.91619779178275,0.0,65.31384911606453,0.0,-75.41194591333463,0.0,1
2030-01-08 22:00:00,-110.14615317367517,0.0,73.9996404024379,0.0,71.16419212255485,0.0,-66.07424818434029,0.0,0
2030-01-09 00:00:00,-58.537284517413596,0.0,25.49317153651151,0.0,24.516348284549053,0.0,-37.331457489373584,0.0,0
2030-01-09 02:00:00,-70.13718324558457,0.0,42.21257762218708,0.0,40.595115970247605,0.0,-42.902789810563014,0.0,0
2030-01-09 04:00:00,-77.87471440007047,0.0,50.69358202045926,0.0,48.75115325784218,0.0,-47.516834806610376,0.0,0
2030-01-09 06:00:00,-52.85514614207694,0.0,9.877670500631801,0.0,9.499187258308623,0.0,-35.38307080650117,0.0,0
2030-01-09 08:00:00,-49.84413309677386,0.0,4.1835771834622015,0.0,4.023274827071095,0.0,-33.928545675349206,0.0,0
2030-01-09 10:00:00,-17.170246360671737,0.0,-8.73795061101514,0.0,-8.403138078211372,0.0,-13.595203952048886,0.0,0
2030-01-09 12:00:00,-78.02661299268007,0.0,39.563588201578405,0.0,38.0476280225548,0.0,-49.16761013884992,0.0,0
2030-01-09 14:00:00,-54.94653175540799,0.0,22.438289365507238,0.0,21.578520201239144,0.0,-35.57635256724298,0.0,0
2030-01-09 16:00:00,-31.043039034240998,0.0,5.406989999546171,0.0,5.199810067181874,0.0,-21.377823121716457,0.0,0
2030-01-09 18:00:00,-74.68871205367732,0.0,26.92732932798389,0.0,25.89555337326783,0.0,-48.18962740678203,0.0,0
2030-01-09 20:00:00,-76.28189513852072,0.0,43.39468710482018,0.0,41.73193049900063,0.0,-47.24423026938234,0.0,0
2030-01-09 22:00:00,-53.762640032550316,0.0,33.11395610110869,0.0,31.845126829015182,0.0,-32.97730660774488,0.0,0
2030-01-10 00:00:00,-20.71198923290136,0.0,6.959031953085723,0.0,6.692382344064472,0.0,-13.99153643875215,0.0,0
2030-01-10 02:00:00,-106.47613392495106,0.0,72.46898708374013,0.0,69.69218893101984,0.0,-64.59235767819604,0.0,0
2030-01-10 04:00:00,-124.30916425209237,3.3091642520923727,91.69279232939863,0.0,88.17939457673202,0.0,-74.1275167429483,0.0,1
2030-01-10 06:00:00,-83.85349476810426,0.0,51.54500319614308,0.0,49.569950481640284,0.0,-51.97275636357652,0.0,0
2030-01-10 08:00:00,-80.6614418470545,0.0,62.48786432312901,0.0,60.09351339865155,0.0,-47.843131117760436,0.0,0
2030-01-10 10:00:00,-92.36333335241994,0.0,76.69215397654185,0.0,73.75353650636639,0.0,-54.20411142531958,0.0,0
