chunk,start,end,n,status,condition,objective
0,2030-01-01 00:00:00,2030-01-07 23:00:00,168,ok,optimal,28981152.56632455
1,2030-01-08 00:00:00,2030-01-14 23:00:00,168,ok,optimal,45569528.32722771
2,2030-01-15 00:00:00,2030-01-21 23:00:00,168,ok,optimal,38584907.21667245
3,2030-01-22 00:00:00,2030-01-28 23:00:00,168,ok,optimal,38862305.28058571
4,2030-01-29 00:00:00,2030-02-04 23:00:00,168,ok,optimal,44504338.904969
5,2030-02-05 00:00:00,2030-02-11 23:00:00,168,ok,optimal,48221250.4431055
6,2030-02-12 00:00:00,2030-02-18 23:00:00,168,ok,optimal,34647920.89837376
7,2030-02-19 00:00:00,2030-02-25 23:00:00,168,ok,optimal,32531454.443523742
8,2030-02-26 00:00:00,2030-03-04 23:00:00,168,ok,optimal,25214441.39130523
9,2030-03-05 00:00:00,2030-03-11 23:00:00,168,ok,optimal,31031566.837635126
10,2030-03-12 00:00:00,2030-03-18 23:00:00,168,ok,optimal,44660384.89835177
11,2030-03-19 00:00:00,2030-03-25 23:00:00,168,ok,optimal,36144511.46652683
12,2030-03-26 00:00:00,2030-04-01 23:00:00,168,ok,optimal,29951064.67604992
13,2030-04-02 00:00:00,2030-04-08 23:00:00,168,ok,optimal,28340954.80340424
14,2030-04-09 00:00:00,2030-04-15 23:00:00,168,ok,optimal,26198362.695681147
15,2030-04-16 00:00:00,2030-04-22 23:00:00,168,ok,optimal,35851471.493612655
16,2030-04-23 00:00:00,2030-04-29 23:00:00,168,ok,optimal,43148218.27989338
17,2030-04-30 00:00:00,2030-05-06 23:00:00,168,ok,optimal,33031669.182213947
18,2030-05-07 00:00:00,2030-05-13 23:00:00,168,ok,optimal,43097626.695576034
19,2030-05-14 00:00:00,2030-05-20 23:00:00,168,ok,optimal,40497771.646618605
20,2030-05-21 00:00:00,2030-05-27 23:00:00,168,ok,optimal,36312225.84797337
21,2030-05-28 00:00:00,2030-06-03 23:00:00,168,ok,optimal,39245280.81104059
22,2030-06-04 00:00:00,2030-06-10 23:00:00,168,ok,optimal,38613577.819591194
23,2030-06-11 00:00:00,2030-06-17 23:00:00,168,ok,optimal,39637379.2964488
24,2030-06-18 00:00:00,2030-06-24 23:00:00,168,ok,optimal,36646029.49109852
25,2030-06-25 00:00:00,2030-07-01 23:00:00,168,ok,optimal,33630003.13964679
26,2030-07-02 00:00:00,2030-07-08 23:00:00,168,ok,optimal,24365275.05614651
27,2030-07-09 00:00:00,2030-07-15 23:00:00,168,ok,optimal,23786214.394525543
28,2030-07-16 00:00:00,2030-07-22 23:00:00,168,ok,optimal,33698191.9668544
29,2030-07-23 00:00:00,2030-07-29 23:00:00,168,ok,optimal,40095776.988734774
30,2030-07-30 00:00:00,2030-08-05 23:00:00,168,ok,optimal,35222409.00745001
31,2030-08-06 00:00:00,2030-08-12 23:00:00,168,ok,optimal,35820536.1845683
32,2030-08-13 00:00:00,2030-08-19 23:00:00,168,ok,optimal,41955645.7096269
33,2030-08-20 00:00:00,2030-08-26 23:00:00,168,ok,optimal,37538679.43922719
34,2030-08-27 00:00:00,2030-09-02 23:00:00,168,ok,optimal,29431688.049546137
35,2030-09-03 00:00:00,2030-09-09 23:00:00,168,ok,optimal,23980724.786266368
36,2030-09-10 00:00:00,2030-09-16 23:00:00,168,ok,optimal,24902172.893526115
37,2030-09-17 00:00:00,2030-09-23 23:00:00,168,ok,optimal,40374139.443894714
38,2030-09-24 00:00:00,2030-09-30 23:00:00,168,ok,optimal,42632988.40713575
39,2030-10-01 00:00:00,2030-10-07 23:00:00,168,ok,optimal,30022578.750603743
40,2030-10-08 00:00:00,2030-10-14 23:00:00,168,ok,optimal,35572157.76160992
41,2030-10-15 00:00:00,2030-10-21 23:00:00,168,ok,optimal,34560542.83478437
42,2030-10-22 00:00:00,2030-10-28 23:00:00,168,ok,optimal,43249084.44541329
43,2030-10-29 00:00:00,2030-11-04 23:00:00,168,ok,optimal,36204310.05876134
44,2030-11-05 00:00:00,2030-11-11 23:00:00,168,ok,optimal,25484425.937696964
45,2030-11-12 00:00:00,2030-11-18 23:00:00,168,ok,optimal,29866041.584506612
46,2030-11-19 00:00:00,2030-11-25 23:00:00,168,ok,optimal,36696184.4110851
47,2030-11-26 00:00:00,2030-12-02 23:00:00,168,ok,optimal,41538677.253019
48,2030-12-03 00:00:00,2030-12-09 23:00:00,168,ok,optimal,25313015.30950002
49,2030-12-10 00:00:00,2030-12-16 23:00:00,168,ok,optimal,34290705.40647117
50,2030-12-17 00:00:00,2030-12-23 23:00:00,168,ok,optimal,37813149.309162244
51,2030-12-24 00:00:00,2030-12-30 23:00:00,168,ok,optimal,33897168.17475639
52,2030-12-31 00:00:00,2030-12-31 23:00:00,24,ok,optimal,4289794.841795313
