station,rule,cut_MWh,avail_MWh,n_farms,r_s
Ardnagappary,rule1,7035.608498251173,64732.298001200004,3,0.10868776044565492
Binbane,rule1,22299.770088459434,239722.020896,15,0.09302345276879621
Cathaleen's Fall,rule1,14419.167875715488,150907.2928,2,0.09554984128451272
Corderry,rule1,12510.278154921678,161427.98005349998,7,0.07749758220833562
Cunghill,rule1,8846.589382450273,96202.90872,2,0.09195760814466018
Garvagh,rule1,23511.74122008257,212490.4786,3,0.11064844587385936
Glenree,rule1,22095.77063088178,212528.47622199997,4,0.10396616502252289
Lenalea,rule1,10181.716640928546,87017.38938000001,1,0.11700783847313054
Meentycat,rule1,28072.187480031178,241958.20250880002,3,0.11602081346678128
Moy,rule1,1666.7974184173456,16387.36008,1,0.10171238138909228
Mulreavy,rule1,31916.14094872978,265044.892185,4,0.12041786840567549
Sligo,rule1,5363.90581679582,47356.4427768,3,0.11326665396041119
Sorne Hill,rule1,14915.19779742558,131261.26664000002,5,0.11362984815872854
Tawnaghmore,rule1,5463.081834189615,53312.198016,1,0.10247339328515474
Trillick,rule1,9402.662448213798,82748.1740104,3,0.11362984815872851
Ardnagappary,rule2,1330.900420663811,64732.298001200004,3,0.020560067566875794
Binbane,rule2,2518.124564906682,239722.020896,15,0.010504352313962573
Cathaleen's Fall,rule2,37836.68752279649,150907.2928,2,0.2507280252713969
Corderry,rule2,3804.647743808547,161427.98005349998,7,0.02356870068341078
Cunghill,rule2,26421.967378003443,96202.90872,2,0.2746483212363669
Garvagh,rule2,6028.633316172189,212490.4786,3,0.028371310356548787
Glenree,rule2,1072.5913644195584,212528.47622199997,4,0.005046812471845731
Lenalea,rule2,2552.4294216322587,87017.38938000001,1,0.02933240631347769
Meentycat,rule2,22209.395885398797,241958.20250880002,3,0.09179021688504667
Moy,rule2,10.59732,16387.36008,1,0.0006466764596778177
Mulreavy,rule2,60889.71790342335,265044.892185,4,0.22973360249071553
Sligo,rule2,19254.419337715703,47356.4427768,3,0.4065850010834951
Sorne Hill,rule2,6054.570963418143,131261.26664000002,5,0.046126104969134114
Tawnaghmore,rule2,13.503450323794615,53312.198016,1,0.00025329006918345354
Trillick,rule2,4963.883174443496,82748.1740104,3,0.05998782733042087
Ardnagappary,rule3,1295.2807971978323,64732.298001200004,3,0.02000980711628406
Binbane,rule3,2412.2478848724527,239722.020896,15,0.010062687924356236
Cathaleen's Fall,rule3,37560.224914049584,150907.2928,2,0.24889602230045163
Corderry,rule3,1402.2677672377463,161427.98005349998,7,0.008686646309846724
Cunghill,rule3,26246.400040555527,96202.90872,2,0.27282335211865644
Garvagh,rule3,11815.888139265946,212490.4786,3,0.05560667102411028
