rule,D_pct,D_ratio,PoF_eff,PoF_nodal,Jain_farm,Jain_station,Gini,worst_over_mean,max_over_min,residual_hours,postcut_violations,monitored_rows_newly_over,cut_MWh,avail_MWh,hours_with_cut,N_farms,r_max,r_min,farm_r_max,farm_r_min,farms_r_zero,cut_MWh_N,cut_MWh_P,label
rule1,8.343417544700966,1.0,0.16831407491322856,0.16831407491322856,0.9918555787541207,0.99737080843889,0.04798002681501075,1.0861989297776535,1.4408289533081653,0,0,0,157180.85082350412,1883890.5038778998,1308,51,0.09062611207742285,0.06289859172342693,40973-1,13471-1,0,23144.8403556927,134036.01046781137,
rule2,7.141416613782246,0.8559342230592152,0.0,0.0,0.20925140775180684,0.2844388098181255,0.8106105565206937,5.44733465335433,inf,0,0,0,134536.4694294024,1883890.5038778998,1308,51,0.3890168619429637,0.0,68087-1,13471-1,27,32241.04193617023,102295.4274932322,
rule3,7.141416613782246,0.8559342230592152,0.0,0.0,0.22715801440310585,0.2844388098181255,0.7958220870932291,5.530234579353541,inf,0,0,0,134536.4694294024,1883890.5038778998,1308,51,0.39493709103108454,0.0,68101-1,13471-1,27,30979.952000318237,103556.51742908417,
rule1N,8.41613049238696,1.0087150076448201,0.1784959410076482,0.1784959410076482,0.3789774385865332,0.5283019210425453,0.4283985120586306,4.1848469081559925,10.617755616873474,0,0,0,158550.68314005027,1883890.5038778998,1308,51,0.3522021766970294,0.033171056992244055,68269-2,13471-1,0,92695.00849471585,65855.67464533445,"SEM-24-044 stated intent, not live"
band0,8.343789187492538,1.0000445432329834,0.16836611539926533,0.16836611539926533,0.9999956025130666,0.9999948798278322,0.0010847182424043597,1.00341136561573,1.0094731469996239,0,0,0,157187.8521667629,1883890.5038778998,1308,51,0.0837225290303165,0.08293685600172553,68308-1,26732-1,0,22814.14424360253,134373.70792316034,
band1,8.19338069124233,0.9820173385001059,0.14730467837850197,0.14730467837850197,0.9589127061210692,0.9589090672032664,0.07580940093254844,1.1255526838412462,3.753321907097769,0,0,0,154354.32078887968,1883890.5038778998,1308,51,0.0922208162676085,0.024570452135537085,69197-1,26732-1,0,18983.416608149302,135370.90418073034,
band2,8.094499228739679,0.9701659044836635,0.13345848120918685,0.13345848120918685,0.8826716954526366,0.8935739352037587,0.17714042716230569,1.2468347346117301,11.019266871341841,0,0,0,152491.50230669667,1883890.5038778998,1308,51,0.10092502797680492,0.009158960315162513,69197-1,26732-1,0,19011.04227023648,133480.4600364602,
band3,8.026362104815897,0.9619993320259471,0.12391735966303823,0.12391735966303823,0.7889139542844967,0.8106304346232371,0.27921840863533937,1.3695756860427288,46.68279896641489,0,0,0,151207.873499481,1883890.5038778998,1308,51,0.10992710386130593,0.0023547667726691156,68312-1,26732-1,0,18650.821502589595,132557.05199689142,
band5,7.935880717732941,0.9511546887370083,0.11124741027115763,0.11124741027115763,0.6091578253195719,0.671054236312108,0.44385006955904677,1.6232173400498355,136.8191333511828,0,0,0,149503.30324044818,1883890.5038778998,1308,51,0.12881659189591244,0.0009415100705635249,68087-1,26732-1,0,18603.59547899055,130899.70776145763,
band10,7.742035121265347,0.9279213319705465,0.08410355255341985,0.08410355255341985,0.3811463768711993,0.4645031110688816,0.6454397183366266,2.2730684057411943,inf,0,0,0,145851.4644564097,1883890.5038778998,1308,51,0.17598175430286955,0.0,68101-1,16373-3,12,22288.66683900459,123562.79761740513,
bandinf,7.141416613782246,0.8559342230592152,0.0,0.0,0.20925140775180684,0.2844388098181255,0.8106105565206937,5.44733465335433,inf,0,0,0,134536.4694294024,1883890.5038778998,1308,51,0.3890168619429637,0.0,68087-1,13471-1,27,32241.04193617023,102295.4274932322,
