station,rule,cut_MWh,avail_MWh,n_farms,r_s
Ardnagappary,rule1,5174.18331703538,61576.194908,3,0.08402895509808692
Binbane,rule1,13204.779904654635,179861.095917,11,0.07341654312363474
Cathaleen's Fall,rule1,4157.4683999900835,47951.9999,1,0.08670062580622594
Corderry,rule1,9615.6491164996,124241.353929,6,0.07739491572181867
Cunghill,rule1,7772.1909004099025,93788.511168,2,0.08286932806181192
Garvagh,rule1,19259.590578797477,221738.8404,3,0.08685709072914173
Glenree,rule1,18154.060075877795,222097.855231,4,0.08173901570096696
Lenalea,rule1,7215.679720631647,83960.75898500001,1,0.0859410968631282
Meentycat,rule1,20303.050577221144,235276.69322880002,3,0.08629435537619101
Moy,rule1,1373.5838757317592,17036.26302,1,0.08062706440486497
Mulreavy,rule1,22806.61450493364,251656.106415,4,0.09062611207742285
Sligo,rule1,3194.969433521041,36555.9504765,2,0.08739943543732853
Sorne Hill,rule1,11081.855132403089,138320.80836,5,0.08011705009387272
Tawnaghmore,rule1,6881.083346206451,82629.5052,2,0.08327634698466585
Trillick,rule1,6986.091939590437,87198.5667396,3,0.08011705009387271
Ardnagappary,rule2,0.0,61576.194908,3,0.0
Binbane,rule2,0.0,179861.095917,11,0.0
Cathaleen's Fall,rule2,9058.734883704587,47951.9999,1,0.18891255636044046
Corderry,rule2,0.0,124241.353929,6,0.0
Cunghill,rule2,31270.05959229041,93788.511168,2,0.33341034208632947
Garvagh,rule2,0.0,221738.8404,3,0.0
Glenree,rule2,57757.4169563374,222097.855231,4,0.2600539158573366
Lenalea,rule2,0.0,83960.75898500001,1,0.0
Meentycat,rule2,1049.0528824650557,235276.69322880002,3,0.004458804941826011
Moy,rule2,0.0,17036.26302,1,0.0
Mulreavy,rule2,20977.754983653576,251656.106415,4,0.08335881565718763
Sligo,rule2,14220.881139710418,36555.9504765,2,0.38901686194296364
Sorne Hill,rule2,89.65852000640274,138320.80836,5,0.000648192568200248
Tawnaghmore,rule2,0.0,82629.5052,2,0.0
Trillick,rule2,112.91047123457057,87198.5667396,3,0.0012948661366390768
Ardnagappary,rule3,0.0,61576.194908,3,0.0
Binbane,rule3,0.0,179861.095917,11,0.0
Cathaleen's Fall,rule3,9058.734883704587,47951.9999,1,0.18891255636044046
Corderry,rule3,0.0,124241.353929,6,0.0
Cunghill,rule3,31270.05959229041,93788.511168,2,0.33341034208632947
Garvagh,rule3,0.0,221738.8404,3,0.0
Glenree,rule3,57757.4169563374,222097.855231,4,0.2600539158573366
Lenalea,rule3,0.0,83960.75898500001,1,0.0
Meentycat,rule3,1049.0528824650555,235276.69322880002,3,0.004458804941826009
Moy,rule3,0.0,17036.26302,1,0.0
Mulreavy,rule3,20977.754983653576,251656.106415,4,0.08335881565718763
Sligo,rule3,14220.881139710418,36555.9504765,2,0.38901686194296364
Sorne Hill,rule3,89.65852000640263,138320.80836,5,0.0006481925682002473
Tawnaghmore,rule3,0.0,82629.5052,2,0.0
Trillick,rule3,112.91047123457044,87198.5667396,3,0.0012948661366390755
Ardnagappary,rule1N,17187.538112764792,61576.194908,3,0.2791263431987705
Binbane,rule1N,9760.840217440493,179861.095917,11,0.05426876872775645
Cathaleen's Fall,rule1N,2011.020499109296,47951.9999,1,0.04193819868416574
Corderry,rule1N,4976.061057786211,124241.353929,6,0.040051568180992876
Cunghill,rule1N,3873.4749439727425,93788.511168,2,0.041300100574518404
Garvagh,rule1N,37450.07400239639,221738.8404,3,0.1688927115107092
Glenree,rule1N,44450.417255485736,222097.855231,4,0.2001388856693535
Lenalea,rule1N,3511.2019263682546,83960.75898500001,1,0.041819559146619285
Meentycat,rule1N,9865.861107945782,235276.69322880002,3,0.04193301500693699
Moy,rule1N,666.5496274274171,17036.26302,1,0.03912534260858208
Mulreavy,rule1N,11075.334161655315,251656.106415,4,0.04400979701796407
Sligo,rule1N,1550.5727046411357,36555.9504765,2,0.042416424260064624
Sorne Hill,rule1N,5417.636793967196,138320.80836,5,0.03916718574884995
Tawnaghmore,rule1N,3338.7782685661396,82629.5052,2,0.04040661093739842
Trillick,rule1N,3415.322460523402,87198.5667396,3,0.03916718574884994
Ardnagappary,band0,5143.367061642333,61576.194908,3,0.08352849781197028
Binbane,band0,15019.253476556101,179861.095917,11,0.08350473680804767
Cathaleen's Fall,band0,4007.589151882298,47951.9999,1,0.08357501585418334
Corderry,band0,10370.733097963212,124241.353929,6,0.08347247329492044
Cunghill,band0,7829.246595893052,93788.511168,2,0.08347767224781726
Garvagh,band0,18417.834165414508,221738.8404,3,0.08306092938968264
Glenree,band0,18514.465867261788,222097.855231,4,0.08336174992777497
Lenalea,band0,7003.092375788072,83960.75898500001,1,0.08340911230970659
Meentycat,band0,19687.976847946684,235276.69322880002,3,0.08368009843117216
Moy,band0,1426.0831891549367,17036.26302,1,0.08370868584740462
Mulreavy,band0,21002.95656588723,251656.106415,4,0.0834589585966643
Sligo,band0,3055.740938112538,36555.9504765,2,0.08359079433803593
Sorne Hill,band0,11564.73278561371,138320.80836,5,0.08360804800615981
Tawnaghmore,band0,6860.388069508072,82629.5052,2,0.08302588830591318
Trillick,band0,7284.391978138343,87198.5667396,3,0.08353797832356158
Ardnagappary,band1,5657.515287401345,61576.194908,3,0.09187828666344433
Binbane,band1,16542.82816029047,179861.095917,11,0.09197557746409177
Cathaleen's Fall,band1,4422.172572442281,47951.9999,1,0.0922208162676085
Corderry,band1,7914.21882268973,124241.353929,6,0.0637003587968983
Cunghill,band1,8598.180914421,93788.511168,2,0.09167627044446187
Garvagh,band1,5448.223564637697,221738.8404,3,0.024570452135537085
Glenree,band1,20399.444051802166,222097.855231,4,0.09184890160503832
Lenalea,band1,7713.659474741087,83960.75898500001,1,0.09187219801239731
Meentycat,band1,21624.491480362554,235276.69322880002,3,0.0919108951405286
Moy,band1,1539.8752030286742,17036.26302,1,0.09038808576862851
Mulreavy,band1,23115.3962113286,251656.106415,4,0.09185311074156714
Sligo,band1,3354.748351618334,36555.9504765,2,0.0917702400810214
Sorne Hill,band1,12682.975662170864,138320.80836,5,0.09169246343009779
Tawnaghmore,band1,7352.343142620575,82629.5052,2,0.08897963414914138
Trillick,band1,7988.247889324279,87198.5667396,3,0.09160985309746528
