band_pp,claimed_bound_pp,realised_max_divergence_pp,delta_pp,bound_holds,slack_pp,feasibility_escapes,escape_share
0.0,0.4229237747455719,1.386743585973204,0.4229237747455719,False,-0.9638198112276322,101,0.15074626865671642
1.0,1.431237836646381,1.776306762931664,0.43123783664638093,False,-0.3450689262852831,23,0.034328358208955224
2.0,2.426573298660757,2.328730305420194,0.4265732986607568,True,0.09784299324056267,6,0.008955223880597015
3.0,3.421987270499613,3.3155706138907033,0.42198727049961304,True,0.10641665660890975,3,0.004477611940298508
4.0,4.424717259876519,4.33200326574802,0.42471725987651837,True,0.09271399412849846,0,0.0
5.0,5.426573298660757,5.286379338533495,0.4265732986607568,True,0.14019396012726215,0,0.0
6.0,6.426573298660757,6.322450589193209,0.4265732986607568,True,0.10412270946754809,0,0.0
7.0,7.426573298660757,7.287009731586578,0.4265732986607568,True,0.1395635670741786,0,0.0
8.0,8.426573298660756,8.29799604709117,0.4265732986607568,True,0.12857725156958644,0,0.0
10.0,10.426573298660756,10.298302421315492,0.4265732986607568,True,0.12827087734526366,0,0.0
inf,inf,32.958121378562076,0.426573298660754,True,inf,0,0.0
