chunk,start,end,n,status,condition,objective
0,2030-01-01 00:00:00,2030-01-14 22:00:00,168,ok,optimal,36246640.93707521
1,2030-01-15 00:00:00,2030-01-28 22:00:00,168,ok,optimal,29629888.657268155
2,2030-01-29 00:00:00,2030-02-11 22:00:00,168,ok,optimal,29626658.063472766
3,2030-02-12 00:00:00,2030-02-25 22:00:00,168,ok,optimal,44615391.52664446
4,2030-02-26 00:00:00,2030-03-11 22:00:00,168,ok,optimal,14241861.900125315
5,2030-03-12 00:00:00,2030-03-25 22:00:00,168,ok,optimal,24187103.35099003
6,2030-03-26 00:00:00,2030-04-08 22:00:00,168,ok,optimal,21286088.250630938
7,2030-04-09 00:00:00,2030-04-22 22:00:00,168,ok,optimal,27371199.469541922
8,2030-04-23 00:00:00,2030-05-06 22:00:00,168,ok,optimal,30718415.702629395
9,2030-05-07 00:00:00,2030-05-20 22:00:00,168,ok,optimal,37227098.68257721
10,2030-05-21 00:00:00,2030-06-03 22:00:00,168,ok,optimal,27502894.0556133
11,2030-06-04 00:00:00,2030-06-17 22:00:00,168,ok,optimal,33611489.51291224
12,2030-06-18 00:00:00,2030-07-01 22:00:00,168,ok,optimal,41202264.84910197
13,2030-07-02 00:00:00,2030-07-15 22:00:00,168,ok,optimal,26931202.970122125
14,2030-07-16 00:00:00,2030-07-29 22:00:00,168,ok,optimal,35071368.532662295
15,2030-07-30 00:00:00,2030-08-12 22:00:00,168,ok,optimal,26902994.249544505
16,2030-08-13 00:00:00,2030-08-26 22:00:00,168,ok,optimal,36125242.69313533
17,2030-08-27 00:00:00,2030-09-09 22:00:00,168,ok,optimal,33101540.89680632
18,2030-09-10 00:00:00,2030-09-23 22:00:00,168,ok,optimal,30579708.93487716
19,2030-09-24 00:00:00,2030-10-07 22:00:00,168,ok,optimal,30667561.360384714
20,2030-10-08 00:00:00,2030-10-21 22:00:00,168,ok,optimal,35565726.966686316
21,2030-10-22 00:00:00,2030-11-04 22:00:00,168,ok,optimal,31714154.860896137
22,2030-11-05 00:00:00,2030-11-18 22:00:00,168,ok,optimal,32060667.87563452
23,2030-11-19 00:00:00,2030-12-02 22:00:00,168,ok,optimal,36019688.25555875
24,2030-12-03 00:00:00,2030-12-16 22:00:00,168,ok,optimal,20877024.000277236
25,2030-12-17 00:00:00,2030-12-30 22:00:00,168,ok,optimal,25746317.861287255
26,2030-12-31 00:00:00,2030-12-31 22:00:00,12,ok,optimal,2888935.7747319024
