warmup_days,band_pp,realised_max_divergence_pp,delta_pp,observed_pro_rata_max_divergence_pp
0.0,0.0,21.227645340059965,22.40573758295391,33.71498926812935
0.0,1.0,21.227645340059965,22.107806477593048,33.71498926812935
0.0,2.0,21.227645340059965,22.107806477593048,33.71498926812935
0.0,3.0,21.227645340059965,22.107806477593048,33.71498926812935
0.0,4.0,21.227645340059965,22.107806477593048,33.71498926812935
0.0,5.0,21.227645340059965,22.107806477593048,33.71498926812935
0.0,6.0,21.227645340059965,22.107806477593048,33.71498926812935
0.0,7.0,21.227645340059965,22.107806477593048,33.71498926812935
0.0,8.0,21.227645340059965,22.107806477593048,33.71498926812935
0.0,10.0,21.227645340059965,22.107806477593048,33.71498926812935
0.0,inf,71.77101744530516,22.107806477593048,33.71498926812935
3.0,0.0,1.386743585973204,1.4924339267384985,10.191530337598087
3.0,1.0,2.2132041091348755,1.3989287456723356,10.191530337598087
3.0,2.0,3.318074188764808,1.7263358504894883,10.191530337598087
3.0,3.0,4.206016883019934,1.4424054699979871,10.191530337598087
3.0,4.0,4.873443678380992,1.347502410393936,10.191530337598087
3.0,5.0,6.21966526874313,1.4005434269159815,10.191530337598087
3.0,6.0,7.064003775384446,1.2718550190606166,10.191530337598087
3.0,7.0,8.19301009557109,1.4005434269159815,10.191530337598087
3.0,8.0,9.132163804169602,1.7263358504894883,10.191530337598087
3.0,10.0,11.013887824596374,1.2718550190606166,10.191530337598087
3.0,inf,48.791692121260596,1.2980958458640113,10.191530337598087
7.0,0.0,1.386743585973204,0.4229237747455719,7.413715075409222
7.0,1.0,1.776306762931664,0.43123783664638093,7.413715075409222
7.0,2.0,2.328730305420194,0.4265732986607568,7.413715075409222
7.0,3.0,3.3155706138907033,0.42198727049961304,7.413715075409222
7.0,4.0,4.33200326574802,0.42471725987651837,7.413715075409222
7.0,5.0,5.286379338533495,0.4265732986607568,7.413715075409222
7.0,6.0,6.322450589193209,0.4265732986607568,7.413715075409222
7.0,7.0,7.287009731586578,0.4265732986607568,7.413715075409222
7.0,8.0,8.29799604709117,0.4265732986607568,7.413715075409222
7.0,10.0,10.298302421315492,0.4265732986607568,7.413715075409222
7.0,inf,32.958121378562076,0.426573298660754,7.413715075409222
14.0,0.0,1.386743585973204,0.4229237747455719,7.413715075409222
14.0,1.0,1.776306762931664,0.43123783664638093,7.413715075409222
14.0,2.0,2.2700038330791963,0.4209005911826949,7.413715075409222
14.0,3.0,3.3155706138907033,0.4209005911826949,7.413715075409222
14.0,4.0,4.271156355704331,0.4209005911826949,7.413715075409222
14.0,5.0,5.285314662022876,0.4209005911826949,7.413715075409222
14.0,6.0,6.322450589193209,0.4209005911826949,7.413715075409222
14.0,7.0,7.287009731586578,0.4209005911826949,7.413715075409222
14.0,8.0,8.29799604709117,0.4209005911826949,7.413715075409222
14.0,10.0,10.298302421315492,0.4209005911826935,7.413715075409222
14.0,inf,32.958121378562076,0.42090059118269907,7.413715075409222
