hour,rule1,rule2,rule3,rule1N,band0,band1,band2,band3,band5,band10,bandinf
2030-01-01 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2030-01-01 02:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2030-01-01 04:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2030-01-01 06:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2030-01-01 08:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2030-01-01 10:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2030-01-01 12:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2030-01-01 14:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2030-01-01 16:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2030-01-01 18:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2030-01-01 20:00:00,117.11643853013089,103.66628997858868,103.66628997858868,121.65068611077639,103.66628997858868,103.66628997858868,103.66628997858868,103.66628997858868,103.66628997858868,103.66628997858868,103.66628997858868
2030-01-01 22:00:00,112.93585970156497,98.01366538049322,98.01366538049322,118.07536695773976,106.66242927611653,106.66242927611653,106.66242927611653,106.66242927611653,106.66242927611653,106.66023702469109,98.01366538049322
2030-01-02 00:00:00,20.935501797501338,14.574434978755225,14.574434978755226,22.305951083603855,19.740677737132398,19.740677737132398,19.740677737132398,19.740677737132398,19.738792043474213,17.49646486182751,14.574434978755225
2030-01-02 02:00:00,259.6856633631891,233.2622768622067,233.26227686220668,265.1025006047388,270.2275398312838,270.2275398312838,270.2275398312838,257.3915502584009,253.38925115437544,245.89415269922452,233.2622768622067
2030-01-02 04:00:00,338.17543216186624,320.0355439942462,317.99414054922755,342.8907395544011,335.15859253548405,337.49823320416874,337.49823320416874,330.82084624686246,320.25773832898363,327.5127051407274,320.0355439942462
2030-01-02 06:00:00,306.47832482919415,277.45303194601786,277.45303194601786,311.00609830523564,298.3496513914039,310.791241472824,310.791241472824,315.58413921814827,318.52831510035264,289.4666010474259,277.45303194601786
2030-01-02 08:00:00,218.64163584510516,193.40869892562833,193.40869892562827,224.98785027469722,209.74756807040313,210.5566658092405,201.64670172240756,201.64494155197914,193.40874823367568,193.4094802475071,193.40869892562833
2030-01-02 10:00:00,312.50850257330956,293.2549622488799,289.2253850737223,317.6939686473251,290.9828861514657,292.10241032227333,300.02781645486135,305.6603886952328,301.65451110715793,304.2237888407915,293.2549622488799
2030-01-02 12:00:00,414.21824068276743,387.2939054595353,383.79471136878294,417.80574659314976,431.19985000460207,440.33331864923235,426.9963852877264,409.32345742053553,400.3401599807021,385.92892149937035,387.2939054595353
2030-01-02 14:00:00,407.650363577752,374.9755288238435,374.97552882384366,411.3950925578825,406.07040913330326,382.1702308351162,393.46582195821605,374.98251420381064,389.1754609607251,395.62184261433737,374.9755288238435
2030-01-02 16:00:00,70.24993577947562,60.501823148043954,60.50182314804395,75.32714258180407,66.94077085976689,66.94215111707803,65.16980275210207,65.17003315615766,60.501823148043954,60.5021092548826,60.501823148043954
2030-01-02 18:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2030-01-02 20:00:00,146.27288906503057,130.49842194029503,130.49842194029506,152.1699530784053,140.58937120385573,140.58937120385573,138.80527961180073,138.8055990556964,138.8030449915549,132.41851713140508,130.49842194029503
2030-01-02 22:00:00,82.69429497137368,71.51656384014578,71.51656384014578,87.898957988402,86.07376105002947,71.52058862728663,72.97709787327811,72.97738196820146,78.81736703998078,77.35675256565722,71.51656384014578
2030-01-03 00:00:00,198.0371226792209,177.2921070903195,177.29210709031946,204.63662288340845,206.89767030400077,188.80147392337258,187.96449414965167,192.39411817283423,177.29440387466676,187.95870331091163,177.2921070903195
2030-01-03 02:00:00,121.48915864078387,105.25704896585778,105.25704896585776,128.15126776790703,113.49304922610129,131.90980838003614,113.4953527385631,113.49459302681649,113.49459302681649,105.25864758365995,105.25704896585778
2030-01-03 04:00:00,40.084617550283006,28.754664760464756,28.75466476046476,42.37391575458108,36.00004837144065,36.00004837144065,28.754664760464756,28.754664760464756,38.297318727704145,36.0023713226834,28.754664760464756
2030-01-03 06:00:00,60.58678155674529,48.930011435318924,48.93001143531893,63.603177770666846,58.01173793925479,51.162033134103915,58.007455608958,58.006855708130004,58.011660877009156,58.0069920707619,48.930011435318924
2030-01-03 08:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2030-01-03 10:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2030-01-03 12:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2030-01-03 14:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2030-01-03 16:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2030-01-03 18:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2030-01-03 20:00:00,195.9593692454363,172.84572444272905,172.84572444272908,202.19068062309253,189.25356808434248,219.46098516292187,208.63915555168643,185.32528222329768,172.84838860489577,172.85048642441987,172.84572444272905
2030-01-03 22:00:00,137.35059173666144,116.93710959368111,116.93710959368111,144.867760395678,140.14045637894415,116.93710959368111,116.93937728300656,133.6690230709654,130.1198532174318,130.11824365908873,116.93710959368111
2030-01-04 00:00:00,128.26018711642087,108.41061009155936,108.41061009155938,135.91493646991705,140.32242892888303,121.55593713895784,121.5535391094506,121.55337614733503,113.30480202669956,108.41267912424475,108.41061009155936
2030-01-04 02:00:00,171.21711885447175,151.82009540432617,151.82009540432617,177.37138993190177,162.92576824408098,167.72473982734687,162.9234716471591,167.20122749326367,159.5136306657193,162.9207705135227,151.82009540432617
2030-01-04 04:00:00,353.26909715291515,321.2229065332424,321.22290653324245,357.8608472346389,374.9814959632588,383.67990750902305,370.5297713934073,337.6705946071651,383.68970286736675,346.50071361240697,321.2229065332424
2030-01-04 06:00:00,330.6527605341303,300.1514666396341,300.1514666396342,335.5149231317617,327.81368470913236,300.7135073241273,313.40768105540093,325.6420765580882,300.15186780495213,300.4274585039117,300.1514666396341
2030-01-04 08:00:00,330.70737902079827,302.43669914828666,302.43669914828666,334.60571760945874,329.5013873602975,356.78716911910107,345.8228038412517,312.33679376630005,356.7958074069644,305.2435795486575,302.43669914828666
2030-01-04 10:00:00,113.26291375119503,99.50055982882544,99.50055982882546,117.75271060408703,106.07855846612316,99.50349823138488,107.6002682798337,107.59957355445326,99.50055982882544,106.07894633231622,99.50055982882544
2030-01-04 12:00:00,160.6480339888725,146.49095168774664,146.49095168774667,163.7664554280688,179.67623763827862,161.4196325864627,163.8189515044518,180.56064829078198,154.196158814719,154.1937308786837,146.49095168774664
2030-01-04 14:00:00,162.7280015446329,147.46171667589925,147.46171667589925,165.9778699443282,149.1812132827969,155.10674031826153,156.8241531814066,147.46254458826957,156.8219258538108,147.465200677513,147.46171667589925
2030-01-04 16:00:00,162.9356186073221,147.09806840364953,147.0980684036495,165.87248513615637,155.65917519921095,149.260372752018,149.26006408910524,157.13365762526635,147.1050374625804,159.67545327224627,147.09806840364953
2030-01-04 18:00:00,137.97275794058964,125.46247789620585,125.46247789620584,140.2604855937529,140.87374670508714,140.41694962219702,142.15411686114984,139.2487160335119,134.51212411360765,125.46737791749246,125.46247789620585
2030-01-04 20:00:00,218.0643587914241,202.66710778491122,202.66710778491122,220.0077965553732,223.2959623149987,217.68659259547476,215.82621890314255,204.1199509437943,222.58193710972995,214.40105917005977,202.66710778491122
2030-01-04 22:00:00,315.827309650373,296.0072455607628,296.0072455607628,317.44772044059476,311.9974355249111,316.9821602100572,308.1029736968612,331.7086121132291,309.7713779137899,313.44716564084985,296.0072455607628
2030-01-05 00:00:00,350.05142510648113,329.3168381823937,329.31683818239367,351.62589142243826,354.4602125092093,359.20826348489936,363.4914913611208,337.5960079876695,349.0070628905324,330.92233733958545,329.3168381823937
2030-01-05 02:00:00,340.5357892309891,322.76495520109165,322.7649552010917,341.5318906531221,347.7828191980474,342.8081728392205,347.435942027511,347.7817457387794,335.77902484680953,333.51686326527965,322.76495520109165
2030-01-05 04:00:00,382.7016629630802,363.61438990092114,363.61438990092125,383.64074420427465,381.5729947411551,377.08758438353397,381.34479466682177,386.7799313854205,368.19717626739896,377.5708501952807,363.61438990092114
2030-01-05 06:00:00,333.3981361392216,316.51306095407386,316.5130609540738,334.601427522832,343.5985126829298,344.4166511163979,337.1544967036618,328.7366548330035,329.67455353861504,319.27084299234576,316.51306095407386
2030-01-05 08:00:00,363.1147239907581,343.9482785033827,343.94827850338265,364.35996762146317,362.56390772238234,364.7901234861546,350.2279300240766,361.08922307146537,354.4958758554914,355.92677247213516,343.9482785033827
2030-01-05 10:00:00,139.7965337352592,126.70939976942226,126.70939976942229,142.3289124824393,134.83819916484055,134.83449783419223,134.8356221952409,126.70993529361392,126.70939976942226,126.71089266419175,126.70939976942226
2030-01-05 12:00:00,140.13804645970518,125.15246530496597,125.152465304966,143.1748401419205,126.73236616813617,125.15757916835453,125.15718512358562,133.40879329237498,133.40863059347325,133.40764061940783,125.15246530496597
2030-01-05 14:00:00,433.9016468638877,408.660278469443,408.66027846944286,435.0095581685969,447.6641311604803,447.66106265439834,447.66355212415823,444.02356890334255,447.66294265891753,418.753589514569,408.660278469443
2030-01-05 16:00:00,398.99842643511715,377.2753405285751,377.2753405285751,400.02395873000694,398.6119066711679,403.27713888998045,404.3253171731896,409.60548385640317,380.19274272298463,404.3284991541266,377.2753405285751
2030-01-05 18:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2030-01-05 20:00:00,220.24037843825738,210.71881245384378,210.71881245384378,221.18676263047766,224.69577111190756,216.98851174517227,217.71552925581992,210.7209154386865,210.71881245384378,210.71887141097667,210.71881245384378
2030-01-05 22:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2030-01-06 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2030-01-06 02:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2030-01-06 04:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
