case,check,max_abs_diff,total_diff_MWh,passed,max_violation,hours_violating,tol,hours,hours_rule2_gt_rule3,max_c_minus_p0,min_c,max_residual_MW,cut_MW_in_hours_without_overload
WP2033s43,bandinf_equals_rule2_elementwise,0.0,0.0,True,,,,,,,,,
WP2033s43,per_hour_rule3_le_rule2,,,True,4.888534022029489e-12,0.0,1e-06,,,,,,
WP2033s43,per_hour_rule2_le_rule1,,,True,0.0,0.0,1e-06,,,,,,
WP2033s43,hours_rule2_equals_rule3_within_1e-9,,,True,,,,4274.0,106.0,,,,
WP2033s43,rule1_cuts_valid,,,True,,,,,,0.0,0.0,0.0,0.0
WP2033s43,rule2_cuts_valid,,,True,,,,,,0.0,0.0,1.4210854715202004e-14,0.0
WP2033s43,rule3_cuts_valid,,,True,,,,,,0.0,0.0,4.263256414560601e-14,0.0
WP2033s43,rule1N_cuts_valid,,,True,,,,,,0.0,0.0,0.0,0.0
WP2033s43,band0_cuts_valid,,,True,,,,,,0.0,0.0,1.4210854715202004e-14,0.0
WP2033s43,band1_cuts_valid,,,True,,,,,,0.0,0.0,1.4210854715202004e-14,0.0
WP2033s43,band2_cuts_valid,,,True,,,,,,0.0,0.0,1.4210854715202004e-14,0.0
WP2033s43,band3_cuts_valid,,,True,,,,,,0.0,0.0,1.4210854715202004e-14,0.0
WP2033s43,band5_cuts_valid,,,True,,,,,,0.0,0.0,1.4210854715202004e-14,0.0
WP2033s43,band10_cuts_valid,,,True,,,,,,0.0,0.0,1.4210854715202004e-14,0.0
WP2033s43,bandinf_cuts_valid,,,True,,,,,,0.0,0.0,1.4210854715202004e-14,0.0
