case,rule,metric,recomputed,in_summary,verdict
WP2024s42,rule1,max_over_min,1.44082895331,1.44082895331,OK
WP2024s42,rule1,r_max,0.0906261120774,0.0906261120774,OK
WP2024s42,rule1,r_min,0.0628985917234,0.0628985917234,OK
WP2024s42,rule1,Jain_station,0.997370808439,0.997370808439,OK
WP2024s42,rule1N,D_pct,8.41613049239,8.41613049239,OK
WP2024s42,rule1N,D_ratio,1.00871500764,1.00871500764,OK
WP2024s42,rule1N,PoF_eff,0.178495941008,0.178495941008,OK
WP2024s42,rule1N,PoF_nodal,0.178495941008,0.178495941008,OK
WP2024s42,rule1N,Jain_farm,0.378977438587,0.378977438587,OK
WP2024s42,rule1N,Gini,0.428398512059,0.428398512059,OK
WP2024s42,rule1N,worst_over_mean,4.18484690816,4.18484690816,OK
WP2024s42,rule1N,max_over_min,10.6177556169,10.6177556169,OK
WP2024s42,rule1N,r_max,0.352202176697,0.352202176697,OK
WP2024s42,rule1N,r_min,0.0331710569922,0.0331710569922,OK
WP2024s42,rule1N,Jain_station,0.528301921043,0.528301921043,OK
WP2024s42,rule2,D_pct,7.14141661378,7.14141661378,OK
WP2024s42,rule2,D_ratio,0.855934223059,0.855934223059,OK
WP2024s42,rule2,PoF_eff,0,0,OK
WP2024s42,rule2,PoF_nodal,0,0,OK
WP2024s42,rule2,Jain_farm,0.209251407752,0.209251407752,OK
WP2024s42,rule2,Gini,0.810610556521,0.810610556521,OK
WP2024s42,rule2,worst_over_mean,5.44733465335,5.44733465335,OK
WP2024s42,rule2,max_over_min,inf,inf,OK
WP2024s42,rule2,r_max,0.389016861943,0.389016861943,OK
WP2024s42,rule2,r_min,0,0,OK
WP2024s42,rule2,Jain_station,0.284438809818,0.284438809818,OK
WP2024s42,rule3,D_pct,7.14141661378,7.14141661378,OK
WP2024s42,rule3,D_ratio,0.855934223059,0.855934223059,OK
WP2024s42,rule3,PoF_eff,0,0,OK
WP2024s42,rule3,PoF_nodal,0,0,OK
WP2024s42,rule3,Jain_farm,0.227158014403,0.227158014403,OK
WP2024s42,rule3,Gini,0.795822087093,0.795822087093,OK
WP2024s42,rule3,worst_over_mean,5.53023457935,5.53023457935,OK
