unit,committed,independent_fresh_pull,pipeline_fresh_pull,indep_vs_pipeline,committed_vs_fresh,avail_committed,avail_fresh
GU_404630,0.098054021469016,0.09897580936852796,0.0989758093685279,5.551115123125783e-17,0.0009217878995119583,4629.8815,4524.4995
GU_403750,0.0894958181430629,0.08567961314543669,0.0856796131454366,9.71445146547012e-17,0.0038162049976262075,8615.8495,8442.655999999999
GU_402200,0.0844929637096209,0.0861572374740474,0.0861572374740474,0.0,0.001664273764426502,4993.1140000000005,4896.6635
GU_400550,0.0818173379343022,0.0827837551549514,0.0827837551549514,0.0,0.0009664172206492044,14144.557,13942.663
GU_401280,0.0799108946358841,0.0761395621335996,0.0761395621335996,0.0,0.003771332502284508,14510.462,14256.5175
GU_402160,0.0780156041955082,0.07930440701419238,0.0793044070141923,8.326672684688674e-17,0.0012888028186841816,3629.024,3570.0475
GU_405930,0.0752820118609548,0.0765417896347326,0.0765417896347326,0.0,0.0012597777737777954,15202.0645,14951.375
GU_403990,0.074290867841371,0.07139394602402722,0.0713939460240272,2.7755575615628914e-17,0.0028969218173437727,8669.188,8501.19
GU_406560,0.0742343328523621,0.07337026088453923,0.0733702608845392,2.7755575615628914e-17,0.0008640719678228714,11121.249,10888.4375
GU_400021,0.0711827070972716,0.06984024630305728,0.0698402463030572,8.326672684688674e-17,0.001342460794214323,3945.4105,3880.098
GU_403760,0.0707132924352214,0.07026362263176333,0.0702636226317633,2.7755575615628914e-17,0.00044966980345806373,62676.243,61214.58499999999
GU_401720,0.0702425712885774,0.07285580964809786,0.0728558096480978,5.551115123125783e-17,0.002613238359520459,3554.2335000000003,3426.748
GU_400070,0.0612996835796154,0.06176549782855123,0.0617654978285512,2.7755575615628914e-17,0.0004658142489358322,41891.8965,41270.2575
GU_405130,0.0580952860995597,0.05752637332441973,0.0575263733244197,3.469446951953614e-17,0.0005689127751399639,66253.9555,64724.965
GU_400950,0.0574460422280062,0.05879308304781774,0.0587930830478177,4.163336342344337e-17,0.0013470408198115388,13065.286499999998,12765.9405
GU_403400,0.0557929242274084,0.053760974397889016,0.053760974397889,1.3877787807814457e-17,0.002031949829519382,28911.5425,28291.358500000002
GU_405870,0.0536492854533911,0.054133354888149555,0.0541333548881495,5.551115123125783e-17,0.0004840694347584551,2755.6285,2703.1854999999996
GU_404480,0.0515152550777575,0.052982656135493855,0.0529826561354938,5.551115123125783e-17,0.0014674010577363575,3789.2465,3684.3
GU_400940,0.050334129976011,0.05156769740203229,0.0515676974020322,9.020562075079397e-17,0.0012335674260212925,9142.3255,8923.628999999999
GU_403880,0.0481304119206781,0.04779571001349835,0.0477957100134983,5.551115123125783e-17,0.00033470190717974774,14460.1505,13990.230499999998
GU_401730,0.0462587922049177,0.04767613679942286,0.0476761367994228,6.245004513516506e-17,0.0014173445945051613,5462.367,5299.978499999999
GU_404560,0.0431481360695979,0.04343143907420194,0.0434314390742019,4.163336342344337e-17,0.000283303004604038,3089.3455,3026.2755
GU_403800,0.0286610357288729,0.029453937962449647,0.0294539379624496,4.85722573273506e-17,0.0007929022335767463,12529.2925,12192.003
GU_403840,0.0159754419764972,0.016250093283960324,0.0162500932839603,2.42861286636753e-17,0.00027465130746312516,9318.991,9125.363
GU_407660,0.0,0.0,0.0,0.0,0.0,7974.6065,7704.6005000000005
