Area,Subgroup,Node,Year,Generation Scenario,Grandfathering / Pro-rata,Generation Type,Installed (MW),Available Energy (GWh),Generation (GWh),Surplus (GWh),Curtailment (GWh),Constraint (GWh),Total Dispatch Down (GWh)
D,D and E North,ardnacrusha,2030,33% ECP,Grandfathering,IE wind not priority,98.7332346,306.70518501216,247.584066677559,51.4559424273299,5.17859576617999,2.48658014109042,59.1211183346003
C,C,dallow,2030,33% ECP Maintenance Sensitivity,Grandfathering,IE wind not priority,22.36331097,71.77189267929,53.1866482624679,11.22114563461,1.23588266755,6.12821611466203,18.585244416822
J,J Country,craddanstown,2035,66% ECP Maintenance Sensitivity,Grandfathering,IE wind not priority,121.333212,374.1894219742,228.452483679294,69.22884117721,1.31263207912996,75.1954650385651,145.736938294905
J,"J City, G South",griffinrath,2030,100% ECP,Grandfathering,IE Solar not priority,70.7,90.5869909000001,56.3855245969609,28.5868906024801,1.99580412763,3.61877157292903,34.2014663030391
C,C,dallow,2030,33% ECP + 2.6 GW Offshore andReduced BESS Sensitivity,Grandfathering,IE wind priority,9.99,32.06149611892,30.81240273971,0,1.24909337920999,0,1.24909337920999
J,J Country,athy,2030,33% ECP Maintenance Sensitivity,Grandfathering,IE Solar not priority,4.99,6.39362213,4.4351152489296,0.868807158870009,0.118403744269989,0.971295977930398,1.95850688107039
C,C,stonestown,2030,100% ECP,Grandfathering,IE wind not priority,105,336.982691938901,230.009415324368,87.4702206182709,5.75490959191,13.7481464043512,106.973276614532
J,"J City, G South",griffinrath,2035,66% ECP Maintenance Sensitivity,Grandfathering,IE Solar not priority,52.2999632,67.01126294861,56.2486971107376,10.2648344420799,0.483141337310002,0.0145900584824,10.7625658378723
C,C,dallow,2035,66% ECP Maintenance Sensitivity,Grandfathering,IE wind priority,9.99,32.06149611892,31.79548435939,0,0.266011759529998,0,0.266011759529996
J,J Country,athy,2030,33% ECP + 2.6 GW Offshore andReduced BESS Sensitivity,Grandfathering,IE Solar not priority,4.99,6.39362213,3.43490949981691,1.44125468289999,0.13389579809,1.38356214919308,2.95871263018308
J,J Country,curraghdoo,2030,33% ECP,Grandfathering,IE Solar not priority,1.333332,1.70838095825,1.13252570275699,0.23214596929,0.03163757539,0.312071710813001,0.575855255493001
D,D and E North,ardnacrusha,2030,33% ECP,Grandfathering,IE Solar not priority,39.67296033,46.4494986804999,38.8939431215487,6.43612355199989,0.86343007608,0.25600193087122,7.55555555895111
D,D and E North,ennis,2030,Initial,Grandfathering,IE Solar not priority,18.3,21.425823,19.1228112794565,1.77203453615999,0.27607309779,0.254904086593444,2.30301172054344
C,C,dallow,2030,Initial,Grandfathering,IE wind priority,9.99,32.06149611892,31.18969950363,0,0.871796615289998,0,0.871796615289997
J,"J City, G South",griffinrath,2030,33% ECP + 2.6 GW Offshore,Grandfathering,IE Solar not priority,33.8999816,43.4356057244399,34.0641276554905,8.4172513075699,0.803785219119994,0.150441542259464,9.37147806894936
D,D and E North,drumline,2030,Initial,Grandfathering,IE Solar not priority,4,4.68324,4.17984946000099,0.387329953259999,0.0603438465000003,0.0557167402390041,0.503390539999003
J,J Country,craddanstown,2030,33% ECP + 2.6 GW Offshore andReduced BESS Sensitivity,Grandfathering,IE wind not priority,60.666606,187.094710987,109.059667276186,64.93307209375,3.46395954333999,9.63801207372325,78.0350437108132
C,C,dallow,2035,66% ECP + 4.7 GW Offshore,Grandfathering,IE wind not priority,44.72662194,143.5437853587,100.352686350269,41.23404945315,0.857449184770004,1.09960037051016,43.1910990084301
D,D and E North,drumline,2030,33% ECP,Grandfathering,IE Solar not priority,39.39663127,46.1259698572599,38.6230400546063,6.39129483401,0.8574161356699,0.254218832973617,7.50292980265351
C,C,stonestown,2030,33% ECP Maintenance Sensitivity,Grandfathering,IE wind not priority,105,336.982691938901,249.721433246422,52.6854137664909,5.80270427147002,28.7731406545177,87.2612586924787
J,J Country,curraghdoo,2030,33% ECP + 1.3 GW Offshore,Grandfathering,IE Solar not priority,1.333332,1.70838095825,1.12302209952286,0.28316261056,0.0318757949699999,0.270320453197137,0.585358858727137
