Area,Subgroup,Node,Year,Generation Scenario,Grandfathering / Pro-rata,Generation Type,Installed (MW),Available Energy (GWh),Generation (GWh),Surplus (GWh),Curtailment (GWh),Constraint (GWh),Total Dispatch Down (GWh)
I,"E,F & I",trabeg,2030,33% ECP Maintenance Sensitivity,Pro-rata,IE Solar not priority,4.95,5.7955095,4.72312270614018,0.803035904569999,0.107730273659999,0.161620615629813,1.07238679385981
J,J Country,thornsberry,2030,33% ECP + 1.3 GW Offshore,Pro-rata,IE Solar not priority,85.133254,109.08013161795,71.704965943596,18.07993391449,2.03526964697989,17.259962112884,37.375165674354
J,J Country,portlaoise,2030,33% ECP Maintenance Sensitivity,Pro-rata,IE Solar not priority,1.333332,1.70838095825,1.18506634967819,0.23214596929,0.03163757539,0.259531063891807,0.523314608571807
H2,H2 & K,carlow,2030,33% ECP,Pro-rata,IE wind priority,30.49,86.24783645923,81.2825756888004,0,2.73648658915999,2.2287741812696,4.96526077042959
H2,H2 & K,banoge,2030,100% ECP Maintenance Sensitivity,Pro-rata,IE Solar not priority,8,9.36647999999999,6.17931144481564,2.97249998359999,0.20559516416,0.0090734074243554,3.18716855518434
J,"J City, G South",arodstown,2030,33% ECP Maintenance Sensitivity,Pro-rata,IE Solar not priority,155.1998448,198.85554354429,167.096903293283,27.0217908262099,3.68261377159001,1.05423565320643,31.7586402510064
J,"J City, G South",arodstown,2035,66% ECP Maintenance Sensitivity,Pro-rata,IE Solar not priority,310.3996896,397.71108708848,333.835380664164,60.92167622423,2.86743836813997,0.0865918319457819,63.8757064243157
J,"J City, G South",arodstown,2030,100% ECP,Pro-rata,IE Solar not priority,465.6,596.5672272,371.330979524083,188.26105041772,13.1435134624999,23.8316837956967,225.236247675916
H2,H2 & K,carlow,2030,100% ECP Maintenance Sensitivity,Pro-rata,IE wind priority,30.49,86.24783645923,82.5625522362646,0,3.32055114023999,0.364733082725322,3.68528422296532
J,J Country,portlaoise,2030,33% ECP Maintenance Sensitivity,Pro-rata,IE wind not priority,45.001,138.78226662511,100.181639977414,25.90513198396,2.60894774821998,10.0865469155158,38.6006266476958
