unit,avail_MWh,dd_MWh,dd_ratio,constraint_only_ratio,locl_any_ratio,curl_only_ratio,h_locl,h_curl,halfhours,name,station
GU_404630,4630,897,0.19371813295869456,0.098054021469016,0.16279423134263804,0.02670543511750787,341.0,246.5,4274,Cloghervaddy 2 Windfarm,BINBANE
GU_403750,8616,1813,0.2103899331110647,0.08949581814306297,0.18217118346832775,0.023059594994086188,401.0,270.5,4274,Killala Windfarm,TAWNAGHMORE
GU_402200,4993,917,0.1836362037798456,0.0844929637096209,0.14332568813770322,0.036512484994334196,310.5,251.0,4274,Tullynamoyle Windfarm 3,CORDERRY
GU_400550,14145,2947,0.2083215472920078,0.08181733793430221,0.1716482884547038,0.03357287895266002,329.0,278.0,4274,Sorne Hill Generator Unit,TRILLICK
GU_401280,14510,2856,0.1968072071033989,0.0799108946358841,0.1707126899198661,0.022096780929511412,404.5,248.5,4274,Carrowleagh Windfarm,GLENREE
GU_402160,3629,705,0.19416818406271222,0.07801560419550821,0.14648167110495822,0.04359271253097252,289.0,266.0,4274,Tullynamoyle 2 Windfarm,CORDERRY
GU_405930,15202,3174,0.20878108364821105,0.0752820118609548,0.16748179170006813,0.03780276027640851,337.5,345.5,4274,Lenalea Windfarm,LENALEA
GU_403990,8669,1357,0.15652100288977466,0.07429086784137108,0.13013756305665536,0.02233242605881889,414.5,252.0,4274,Black Lough WFPS,GLENREE
GU_406560,11121,1906,0.17134959391701415,0.07423433285236218,0.1479409821684597,0.019801822619024176,396.5,266.0,4274,Sheskin Windfarm,BELLACORICK
GU_400021,3945,718,0.18196370187588842,0.07118270709727162,0.15872315440940812,0.0190152583615824,403.5,270.5,4274,Dunneil Windfarm (Kingsmountain Phase 2),CUNGHILL
GU_403760,62676,9947,0.15871220136790906,0.07071329243522143,0.1372792558737128,0.018181777424023327,391.5,266.5,4274,Oweninney Windfarm 1,SRAHNAKILLY
GU_401720,3554,596,0.1675921123358946,0.07024257128857742,0.1040816536111091,0.05988126553868787,217.0,267.5,4274,Booltiagh Windfarm,BOOLTIAGH
GU_400070,41892,7099,0.1694565439404253,0.06129968357961545,0.13007497762723633,0.036700713704856974,326.0,345.0,4274,Meentycat Generator Unit,MEENTYCAT
GU_405130,66254,9669,0.14594115818488756,0.058095286099559766,0.12675382830539078,0.016051381264323157,412.5,266.5,4274,Oweninney Windfarm 2,SRAHNAKILLY
GU_400950,13065,1953,0.14947617107363087,0.057446042228006255,0.11190053122830489,0.03429147918034557,289.0,272.0,4274,Garvagh Glebe Generator Unit,GARVAGH
GU_403400,28912,4256,0.1472149574862704,0.05579292422740849,0.11851868505459368,0.025846355309475443,358.0,271.5,4274,Magheramore Windfarm,DALTON_A1
GU_405870,2756,390,0.14163320636290416,0.05364928545339112,0.11775643922974376,0.020838621751807257,327.0,274.5,4274,Airoshin Windfarm,BINBANE
GU_404480,3789,498,0.13134167967167085,0.051515255077757546,0.07487649589436844,0.05225418826671741,218.0,269.5,4274,Sorrell Island 2 Windfarm,BOOLTIAGH
GU_400940,9142,1466,0.16035351180615917,0.050334129976011034,0.1169172438675477,0.03996023768788368,251.0,263.0,4274,Tullynahaw Generator Unit,GARVAGH
GU_403880,14460,1738,0.12019096896674761,0.04813041192067813,0.10306649298013876,0.01449068597176772,356.5,237.0,4274,Bunnyconnellan Windfarm,GLENREE
GU_401730,5462,619,0.11334655836929301,0.04625879220491775,0.06675183121163407,0.043164163081682354,213.5,270.0,4274,Booltiagh 2 Windfarm,BOOLTIAGH
GU_404560,3089,200,0.06488089467494006,0.04314813606959792,0.04939250077403127,0.011172754876396957,93.0,88.5,4274,Beam Hill Windfarm,TRILLICK
GU_403800,12529,964,0.0769640823693756,0.028661035728872963,0.03896508920994541,0.033849676667696914,120.0,203.0,4274,Sorrell Island 1 Windfarm,BOOLTIAGH
GU_403840,9319,441,0.04735501944362861,0.01597544197649724,0.03957268549781838,0.005701207351740118,202.5,106.5,4274,Cronalaght 2 Windfarm,TIEVEBRACK
GU_407660,7975,575,0.07215772966352633,0.0,0.0,0.06776114909243484,0.0,257.5,4274,Crossmore Wind Farm,BOOLTIAGH
