name,area,node,gen_type,system_operator,connection_status,processing,mec_mw,controllability,priority,battery_mwh
Gardnershill FGS,J,Stephenstown,battery,DSO,connected,ECP-1,8.5,N,battery,9.350000000000001
Garryndruig,F,Bandon,solar,DSO,due to connected,ECP-1,4.95,Y,solar not priority,N/A
Gaskinstown Solar Farm,G,Deenes,solar,TSO,connected,ECP-1,85,Y,solar not priority,N/A
Gillinstown Solar,G,Garballagh,solar,TSO,connected,ECP-1,95,Y,solar not priority,N/A
Glen Solar,A,Garvagh,solar,TSO,due to connected,ECP-1,40,Y,solar not priority,N/A
Gorey Battery Energy Storage,H2,Banoge,battery,DSO,connected,ECP-1,9,N,battery,4.5
Gorey Solar,H2,Banoge,solar,DSO,connected,ECP-1,4,Y,solar not priority,N/A
Gorman (Graigs)  Energy Storage Station,G,Gorman,battery,TSO,connected,ECP-1,30,N,battery,15
Gorman Energy Storage Station - Extension,G,Gorman,battery,TSO,connected,ECP-1,20,N,battery,10
Horsepasture Solar Farm (Grian PV),H1,Doon,solar,DSO,due to connected,ECP-1,8,Y,solar not priority,N/A
Keiloge Solar (Prev Coolnagapogue Solar Farm Phase 1),K,Butlerstown,solar,DSO,due to connected,ECP-1,3.95,Y,solar not priority,N/A
Kilcarrig Solar PV Farm,H2,Carlow,solar,DSO,due to connected,ECP-1,4,Y,solar not priority,N/A
Kilmannock Battery Storage Facility,H2,Great Island,battery,DSO,due to connected,ECP-1,30,N,battery,*
Knockeenbui (1),F,Dunmanway,wind,DSO,due to connected,ECP-1,13.8,Y,wind not priority,N/A
Lenalea Wind Farm,A,Lenalea,wind,TSO,connected,ECP-1,30.1,Y,wind not priority,N/A
Lisdrumdoagh Energy Storage Facility,G,Lisdrum,battery,TSO,connected,ECP-1,60,N,battery,30
Lisheen 3,H1,Lisheen,wind,TSO,connected,ECP-1,28.8,Y,wind not priority,N/A
Lurrig Solar Farm,I,Midleton,solar,DSO,connected,ECP-1,3.6,Y,solar not priority,N/A
Macallian Solar,H2,Crane,solar,DSO,connected,ECP-1,9,Y,solar not priority,N/A
Monroe East solar from merge Ballyfowloo Lawclon,H1,Cahir,solar,DSO,connected,ECP-1,8,Y,solar not priority,N/A
Mully Graffy Windfarm (Kilgorman),A,Tievebrack,wind,TSO,due to connected,ECP-1,29.9,Y,wind not priority,N/A
Porterstown Battery Storage Facility,J,Kilteel,battery,TSO,connected,ECP-1,30,N,battery,30
Rathnaskilloge,K,Rathnaskilloge,solar,TSO,connected,ECP-1,95,Y,solar not priority,N/A
Rhode 37.5MW ESS,J,Derryiron,battery,DSO,due to connected,ECP-1,37.5,N,battery,*
Rooaun Solar,C,Athlone,solar,DSO,due to connected,ECP-1,4,Y,solar not priority,N/A
Roxborough,C,Lanesboro,wind,DSO,due to connected,ECP-1,4.95,Y,wind not priority,N/A
Sorrell Island (Glenmore) WF Ext,D,Booltiagh,wind,DSO,connected,ECP-1,8,Y,wind not priority,N/A
Stamullen Solar Park,G,Drybridge,solar,DSO,due to connected,ECP-1,3.99,Y,solar not priority,N/A
Taghart (1),G,Meath Hill,wind,DSO,connected,ECP-1,23.06,Y,wind not priority,N/A
Tead More Solar (Meelshane),I,Midleton,solar,DSO,due to connected,ECP-1,3.95,Y,solar not priority,N/A
Templerainey East Solar Farm (Ballycooleen),H2,Arklow,solar,DSO,due to connected,ECP-1,4,Y,solar not priority,N/A
Tullynally Estate,C,Mullingar,solar,DSO,due to connected,ECP-1,4,Y,solar not priority,N/A
Willville Solar Park,G,Dundalk,solar,DSO,due to connected,ECP-1,3.99,Y,solar not priority,N/A
Ardderoo wind extension,B,Knockranny,wind,TSO,due to connected,ECP-2.1,18,Y,wind not priority,N/A
Ballinalard Solar Farm,H1,Tipperary,solar,DSO,due to connected,ECP-2.1,4,Y,solar not priority,N/A
Ballinrea Solar Park,I,Raffeen,solar,TSO,due to connected,ECP-2.1,55,Y,solar not priority,N/A
Ballylongford Windfarm,E,Drombeg,wind,DSO,due to connected,ECP-2.1,25.2,Y,wind not priority,N/A
Ballymanus Wind Farm,H2,Arklow,wind,DSO,due to connected,ECP-2.1,39.99,Y,wind not priority,N/A
Bilboa Wind farm Ext,H2,Carlow,wind,DSO,due to connected,ECP-2.1,6,Y,wind not priority,N/A
Bradán Wind Farm (Killybegs Community Wind Turbine),A,Binbane,wind,DSO,due to connected,ECP-2.1,4.2,Y,wind not priority,N/A
Claremorris 2 Solar Farm,B,Dalton,solar,DSO,due to connected,ECP-2.1,4,Y,solar not priority,N/A
Clogheravaddy Wind Farm (Phase 3),A,Binbane,wind,DSO,connected,ECP-2.1,3.6,Y,wind not priority,N/A
Clondardis Solar,C,Shanonagh,solar,TSO,due to connected,ECP-2.1,58.6,Y,solar not priority,N/A
Clonin North solar,J,Derryiron,solar,TSO,due to connected,ECP-2.1,47,Y,solar not priority,N/A
Clooninagh Wind Farm,B,Cloon,wind,DSO,due to connected,ECP-2.1,4.5,Y,wind not priority,N/A
Coole wind,C,Mullingar,wind,TSO,due to connected,ECP-2.1,88,Y,wind not priority,N/A
Coolnagloose Community Solar Farm,H2,Arklow,solar,DSO,due to connected,ECP-2.1,0.85,N,solar uncontrolled,N/A
Cooltubbrid West Solar,K,Dungarvan,solar,DSO,connected,ECP-2.1,4,Y,solar not priority,N/A
Coppenagh solar,H2,Carlow,solar,DSO,due to connected,ECP-2.1,4.6,Y,solar not priority,N/A
Coumaclovane Solar Extension,E,Coomagearlahy,solar,TSO,due to connected,ECP-2.1,7,Y,solar not priority,N/A
Crossmore (2),D,Booltiagh,wind,DSO,connected,ECP-2.1,10.2,Y,wind not priority,N/A
Cushaling wind (loop into Cushaling - Newbridge),J,Philipstown,wind,TSO,connected,ECP-2.1,50,Y,wind not priority,N/A
Derryadd battery,C,Lanesboro,battery,TSO,due to connected,ECP-2.1,16,N,battery,*
Derryadd wind,C,Lanesboro,wind,TSO,due to connected,ECP-2.1,90,Y,wind not priority,N/A
Dooleeg More Ext.,B,Bellacorick,wind,DSO,due to connected,ECP-2.1,1.3,Y,wind not priority,N/A
Drehid wind,J,Mulgeeth,wind,TSO,connected,ECP-2.1,60,Y,wind not priority,N/A
Dromsallagh Solar,D,Ardnacrusha,solar,DSO,due to connected,ECP-2.1,4,Y,solar not priority,N/A
Drumlins Park wind,G,Lislea,wind,TSO,connected,ECP-2.1,48.8,Y,wind not priority,N/A
Dysart PV,J,Dunfirth,solar,DSO,due to connected,ECP-2.1,17.5,Y,solar not priority,N/A
Erkina solar,H1,Timoney,solar,TSO,due to connected,ECP-2.1,66.56,Y,solar not priority,N/A
Farran South,H1,Barrymore,solar,DSO,due to connected,ECP-2.1,15,Y,solar not priority,N/A
Farrangalway Solar PV Farm,F,Bandon,solar,DSO,due to connected,ECP-2.1,4.95,Y,solar not priority,N/A
Firlough Wind Farm,B,Firlough,wind,TSO,due to connected,ECP-2.1,27.3,Y,wind not priority,N/A
Friarspark Solar 2,G,Navan,solar,DSO,due to connected,ECP-2.1,2.1,Y,solar not priority,N/A
Gortaheera CM2 Windfarm,D,Booltiagh,wind,DSO,due to connected,ECP-2.1,3,Y,wind not priority,N/A
Harlockstown Solar (Gallanstown Solar Extension),J,Gallanstown,solar,TSO,connected,ECP-2.1,31.6,Y,solar not priority,N/A
Keatingstown Solar Farm,H2,Kilkenny,solar,DSO,due to connected,ECP-2.1,6,Y,solar not priority,N/A
Kilcannon,K,Dungarvan,solar,DSO,due to connected,ECP-2.1,4.95,Y,solar not priority,N/A
Kilkeelan Phase 2 Solar Farm,G,Navan,solar,DSO,due to connected,ECP-2.1,1.35,Y,solar not priority,N/A
Knocknamork solar,E,Ballyvouskil 220,solar,TSO,due to connected,ECP-2.1,12.5,Y,solar not priority,N/A
Knocknamork wind,E,Ballyvouskil 220,wind,TSO,due to connected,ECP-2.1,42,Y,wind not priority,N/A
Knockranny wind,B,Knockranny,wind,TSO,due to connected,ECP-2.1,47.3,Y,wind not priority,N/A
Loan PV,H2,Ballyragget,solar,DSO,due to connected,ECP-2.1,4.99,Y,solar not priority,N/A
Lysaghtstown Solar,I,Lysaghtstown,solar,TSO,connected,ECP-2.1,87,Y,solar not priority,N/A
Mainscourt,J,Grange,solar,DSO,due to connected,ECP-2.1,39.99,Y,solar not priority,N/A
Middleton solar (Longford),C,Lanesboro,solar,TSO,due to connected,ECP-2.1,56.6,Y,solar not priority,N/A
Moanvane wind,J,Mount Lucas,wind,TSO,connected,ECP-2.1,56.4,Y,wind not priority,N/A
Muinagh Solar Farm phase 2,J,Thornsberry,solar,DSO,due to connected,ECP-2.1,1.8,Y,solar not priority,N/A
North Arklow battery,H2,Arklow,battery,TSO,due to connected,ECP-2.1,30,N,battery,*
North Arklow Solar,H2,Arklow,solar,TSO,due to connected,ECP-2.1,47,Y,solar not priority,N/A
Parksgrove solar,H2,Ballyragget,solar,DSO,due to connected,ECP-2.1,35,Y,solar not priority,N/A
Pinewoods wind,H2,Garrintaggart,wind,TSO,due to connected,ECP-2.1,49.5,Y,wind not priority,N/A
Porterstown BS Facility Ph.2,J,Kilteel,battery,TSO,due to connected,ECP-2.1,60,N,battery,*
Rathlockstown Solar,J,Gallanstown,solar,TSO,connected,ECP-2.1,18.9,Y,solar not priority,N/A
Templehouse Community Wind Turbine,B,Sligo,wind,DSO,due to connected,ECP-2.1,4.08,Y,wind not priority,N/A
The Dell Solar,H2,Crory,solar,DSO,due to connected,ECP-2.1,20,Y,solar not priority,N/A
Tracystown Solar,H2,Wexford,solar,TSO,due to connected,ECP-2.1,101.1,Y,solar not priority,N/A
Tullyhaw Community Wind Turbine,A,Gortawee,wind,DSO,due to connected,ECP-2.1,4.2,Y,wind not priority,N/A
Tullynamoyle Wind Farm 5,A,Corderry,wind,DSO,due to connected,ECP-2.1,16.35,Y,wind not priority,N/A
WEP Solar Slanemore Mullingar,C,Mullingar,solar,DSO,due to connected,ECP-2.1,16.85,Y,solar not priority,N/A
Willville Extension Solar Park,G,Dundalk,solar,DSO,due to connected,ECP-2.1,1,Y,solar not priority,N/A
Yellow River Wind Farm,J,Derryiron,wind,TSO,connected,ECP-2.1,101,Y,wind not priority,N/A
Ardagh South Energy Storage Facility,G,Meath Hill,battery,TSO,due to connected,ECP-2.2,60,N,battery,*
Ardnadoman Solar Farm,C,Somerset,solar,DSO,due to connected,ECP-2.2,4,Y,solar not priority,N/A
Ballinaclough Solar Farm,H2,Ballybeg,solar,DSO,due to connected,ECP-2.2,8.5,Y,solar not priority,N/A
Ballyboughlin Solar Farm,J,Thornsberry,solar,DSO,due to connected,ECP-2.2,14,Y,solar not priority,N/A
Ballyduff PV,I,Midleton,solar,DSO,due to connected,ECP-2.2,7,Y,solar not priority,N/A
Ballyenaghty Solar Park,E,Tralee,solar,DSO,due to connected,ECP-2.2,9.9,Y,solar not priority,N/A
Ballymoneen Solar Park,B,Cashla,solar,TSO,due to connected,ECP-2.2,100,Y,solar not priority,N/A
Ballyroe Solar,E,Charleville,solar,TSO,due to connected,ECP-2.2,120,Y,solar not priority,N/A
Ballyvatta Solar Extension,I,Knockraha,solar,TSO,due to connected,ECP-2.2,16.3,Y,solar not priority,N/A
Barnacurragh Solar Park,B,Cloon,solar,TSO,due to connected,ECP-2.2,50,Y,solar not priority,N/A
Barnesmore Windfarm Repowering,A,Golagh,wind,TSO,due to connected,ECP-2.2,48,Y,wind not priority,N/A
Berrings Solar Farm,F,Macroom,solar,DSO,due to connected,ECP-2.2,13.8,Y,solar not priority,N/A
Carriglong Solar Park,K,Butlerstown,solar,DSO,due to connected,ECP-2.2,32.7,Y,solar not priority,N/A
Clashwilliam Solar,H2,Kilkenny,solar,DSO,due to connected,ECP-2.2,44,Y,solar not priority,N/A
Coldwinters Energy Hub battery,J,Finglas,battery,DSO,due to connected,ECP-2.2,15,N,battery,*
Coolboy Solar Farm,H2,Arklow,solar,DSO,due to connected,ECP-2.2,5.99,Y,solar not priority,N/A
Coole Wind Farm - Extension,C,Mullingar,wind,TSO,due to connected,ECP-2.2,9.5,Y,wind not priority,N/A
Coppenagh Solar Park Extension,H2,Carlow,solar,DSO,due to connected,ECP-2.2,4.7,Y,solar not priority,N/A
Darthogue Solar Farm,J,Crakenstown,solar,TSO,due to connected,ECP-2.2,47,Y,solar not priority,N/A
Derrinlough Wind Farm,C,Stonestown,wind,TSO,connected,ECP-2.2,105,Y,wind not priority,N/A
Derrykillew Wind Farm,A,Cathaleen's Fall,wind,DSO,due to connected,ECP-2.2,37.5,Y,wind not priority,N/A
Drumman Solar Farm,G,Shankill,solar,DSO,due to connected,ECP-2.2,7,Y,solar not priority,N/A
East Laois Solar Farm Extension,J,Coolnabacky,solar,TSO,due to connected,ECP-2.2,25,Y,solar not priority,N/A
Erkina Solar Park Extension,H1,Timoney,solar,TSO,due to connected,ECP-2.2,90,Y,solar not priority,N/A
Farranmacedmond Solar Farm,H2,Waterford,solar,DSO,due to connected,ECP-2.2,6,Y,solar not priority,N/A
Farranrory Wind Farm,H2,Ballyragget,wind,DSO,due to connected,ECP-2.2,45,Y,wind not priority,N/A
Fieldstown Solar,J,Finglas,solar,TSO,due to connected,ECP-2.2,75,Y,solar not priority,N/A
Finnis PV,F,Bandon,solar,DSO,connected,ECP-2.2,8.5,Y,solar not priority,N/A
Garballagh2 Solar Farm,G,Garballagh,solar,TSO,due to connected,ECP-2.2,48,Y,solar not priority,N/A
Garr Solar & Storage,J,Derryiron,solar,TSO,due to connected,ECP-2.2,85,Y,solar not priority,N/A
Garr Solar & Storage,J,Derryiron,battery,TSO,due to connected,ECP-2.2,50,N,battery,*
Garreenleen Solar Farm,H2,Kellis,solar,TSO,due to connected,ECP-2.2,81,Y,solar not priority,N/A
Islanduane Solar Farm,E,Limerick,solar,DSO,due to connected,ECP-2.2,4.95,Y,solar not priority,N/A
Johnstown North PV,H2,Arklow,solar,DSO,due to connected,ECP-2.2,22,Y,solar not priority,N/A
Kilmannock Battery Storage Facility Phase 2,H2,Great Island,battery,TSO,due to connected,ECP-2.2,90,N,battery,*
Leacht Cross Solar Phase 2,I,Barnahely,solar,DSO,due to connected,ECP-2.2,5,Y,solar not priority,N/A
Leamór Community Wind Turbine,C,Dallow,wind,DSO,due to connected,ECP-2.2,4.99,Y,wind not priority,N/A
Lissane West Solar Farm,D,Ennis,solar,DSO,due to connected,ECP-2.2,18.3,Y,solar not priority,N/A
Magherareagh Solar PV Farm,H1,Cahir,solar,DSO,due to connected,ECP-2.2,3.3,Y,solar not priority,N/A
Manusmore Solar Park,D,Ennis,solar,TSO,due to connected,ECP-2.2,60,Y,solar not priority,N/A
Milltown Community Solar Farm,B,Cloon,solar,DSO,due to connected,ECP-2.2,4.99,Y,solar not priority,N/A
Monvallet Hybrid Solar & Battery Farm,G,Louth,solar,TSO,due to connected,ECP-2.2,50,Y,solar not priority,N/A
Monvallet Hybrid Solar & Battery Farm (battery),G,Louth,battery,TSO,due to connected,ECP-2.2,134.4,N,battery,*
Poulbautia Solar Farm,K,Dungarvan,solar,DSO,due to connected,ECP-2.2,19,Y,solar not priority,N/A
Rosspile2 Solar plus Storage Facility,H2,Rosspile,battery,TSO,due to connected,ECP-2.2,100,N,battery,*
Smithstown,J,Griffinrath,solar,DSO,due to connected,ECP-2.2,25.3,Y,solar not priority,N/A
Thomastown Road Solar,H2,Kilkenny,solar,DSO,due to connected,ECP-2.2,4,Y,solar not priority,N/A
Timahoe North ph2 battery,J,Timahoe,battery,TSO,due to connected,ECP-2.2,20,N,battery,*
Timahoe North Phase 2 Solar Farm,J,Timahoe,solar,TSO,due to connected,ECP-2.2,60,Y,solar not priority,N/A
Tomsallagh Solar,H2,Effernoge,solar,TSO,due to connected,ECP-2.2,50,Y,solar not priority,N/A
Altcor Wind Farm,A,Binbane,wind,DSO,due to connected,ECP-2.3,9,Y,wind not priority,N/A
Ballingaddy Solar,D,Ennis,solar,DSO,due to connected,ECP-2.3,4.99,Y,solar not priority,N/A
Ballykenny Solar,C,Richmond,solar,DSO,due to connected,ECP-2.3,9,Y,solar not priority,N/A
Ballymoney PV,H2,Arklow,solar,DSO,due to connected,ECP-2.3,7.6,Y,solar not priority,N/A
Ballyteige Solar Park,J,Thornsberry,solar,TSO,due to connected,ECP-2.3,90,Y,solar not priority,N/A
Ballyvouskil Battery Storage,E,Ballyvouskil 220,battery,TSO,due to connected,ECP-2.3,70,N,battery,*
Barnaleen Solar Farm,H1,Cauteen,solar,TSO,due to connected,ECP-2.3,55,Y,solar not priority,N/A
Barryscourt Solar Farm (Battery),I,Cow Cross,battery,DSO,due to connected,ECP-2.3,2,N,battery,*
Barryscourt Solar Farm (Solar),I,Cow Cross,solar,DSO,due to connected,ECP-2.3,8,Y,solar not priority,N/A
Booltiagh Energy Storage,D,Booltiagh,battery,TSO,due to connected,ECP-2.3,30,N,battery,*
Bracklyn Wind Farm (Battery),J,Bracklyn,battery,TSO,due to connected,ECP-2.3,25,N,battery,*
Bracklyn Wind Farm (Wind),J,Bracklyn,wind,TSO,due to connected,ECP-2.3,64.8,Y,wind not priority,N/A
Cahershaughnessy Solar,D,Ennis,solar,DSO,due to connected,ECP-2.3,8.8,Y,solar not priority,N/A
Carrigogna Solar,I,Midleton,solar,DSO,due to connected,ECP-2.3,10,Y,solar not priority,N/A
Carrigraigue Solar Extension,E,Boggeragh,solar,TSO,due to connected,ECP-2.3,11.5,Y,solar not priority,N/A
Carrownagowan Wind Farm,D,Ardnacrusha,wind,TSO,due to connected,ECP-2.3,91.2,Y,wind not priority,N/A
Castlebanny Wind Farm,H2,Kilvinoge,wind,TSO,due to connected,ECP-2.3,138.6,Y,wind not priority,N/A
Chafhill Wind Farm (prev. Glenree),B,Glenree,wind,DSO,due to connected,ECP-2.3,4.95,Y,wind not priority,N/A
Clonymeath Solar (Battery),J,Fosterstown,battery,TSO,due to connected,ECP-2.3,10,N,battery,*
Clonymeath Solar (Solar),J,Fosterstown,solar,TSO,due to connected,ECP-2.3,78.8,Y,solar not priority,N/A
Cuilmore Solar Park,C,Athlone,solar,DSO,due to connected,ECP-2.3,40,Y,solar not priority,N/A
Darthogue Solar Farm Extension,J,Crakenstown,solar,TSO,due to connected,ECP-2.3,70,Y,solar not priority,N/A
Drombeg Solar Park Phase II (Ballydonohoe),E,Drombeg,solar,TSO,due to connected,ECP-2.3,44,Y,solar not priority,N/A
Drumnahough Wind Farm,A,Lenalea,wind,TSO,due to connected,ECP-2.3,72,Y,wind not priority,N/A
Farran South Solar Phase 2,H1,Barrymore,solar,DSO,due to connected,ECP-2.3,5.49,Y,solar not priority,N/A
Fieldstown Solar Farm Ext,J,Finglas,solar,TSO,due to connected,ECP-2.3,18.27,Y,solar not priority,N/A
Gorman Solar Farm,G,Gorman,solar,TSO,due to connected,ECP-2.3,46,Y,solar not priority,N/A
Gortawee Battery Storage Facility ,A,Gortawee,battery,TSO,due to connected,ECP-2.3,75,N,battery,*
Gortdrum Solar PV,H1,Cauteen,solar,DSO,due to connected,ECP-2.3,48,Y,solar not priority,N/A
Grangeford Solar PV,H2,Kellis,solar,TSO,due to connected,ECP-2.3,48,Y,solar not priority,N/A
Grian PV Ballyboe,H1,Ballydine,solar,DSO,due to connected,ECP-2.3,12,Y,solar not priority,N/A
Kilcurly Solar,G,Dundalk,solar,DSO,due to connected,ECP-2.3,44.9,Y,solar not priority,N/A
Kilcush Solar Farm,J,Philipstown,solar,TSO,due to connected,ECP-2.3,50,Y,solar not priority,N/A
Kiloran Solar PV Farm,H1,Lisheen,solar,TSO,due to connected,ECP-2.3,76,Y,solar not priority,N/A
Loughdenee Solar,K,Butlerstown,solar,DSO,due to connected,ECP-2.3,9,Y,solar not priority,N/A
Lysaghtstown Phase 2,I,Lysaghtstown,solar,TSO,due to connected,ECP-2.3,45,Y,solar not priority,N/A
Midleton Battery Storage Facility ,I,Midleton,battery,TSO,due to connected,ECP-2.3,80,N,battery,*
Milltown Solar,G,Balruntagh,solar,TSO,due to connected,ECP-2.3,115,Y,solar not priority,N/A
Monart Spa Ground Mount 3,H2,Crane,solar,DSO,due to connected,ECP-2.3,1.3,Y,solar not priority,N/A
Old Court Solar Farm,J,Timahoe,solar,TSO,due to connected,ECP-2.3,90,Y,solar not priority,N/A
Pickardstown PV,K,Butlerstown,solar,DSO,due to connected,ECP-2.3,8.8,Y,solar not priority,N/A
Reask Solar  Farm,J,Crakenstown,solar,TSO,due to connected,ECP-2.3,55,Y,solar not priority,N/A
Shrownowen Windfarm,E,Pollagh,wind,TSO,due to connected,ECP-2.3,50,Y,wind not priority,N/A
Stacks Mountain Wind Farm 2,E,Reamore,wind,DSO,due to connected,ECP-2.3,4.5,Y,wind not priority,N/A
Taduff Solar Park,C,Athlone,solar,TSO,due to connected,ECP-2.3,80,Y,solar not priority,N/A
Tawnaghmore BESS ,B,Tawnaghmore,battery,TSO,due to connected,ECP-2.3,80,N,battery,*
Thornsberry Battery Storage Facility,J,Thornsberry,battery,TSO,due to connected,ECP-2.3,150,N,battery,*
Toolestown Solar,J,Maynooth,solar,TSO,due to connected,ECP-2.3,50,Y,solar not priority,N/A
Treascon Solar Farm,J,Bracklone,solar,TSO,due to connected,ECP-2.3,60,Y,solar not priority,N/A
Tullabeg Phase 2,H2,Tullabeg,solar,TSO,due to connected,ECP-2.3,105,Y,solar not priority,N/A
Ballina Beverages Energy Centre (battery),B,Moy,battery,DSO,due to connected,ECP-2.3 (Cat B),2,N,battery,*
College Export AutoProducer (solar),G,Meath Hill,solar,DSO,due to connected,ECP-2.3 (Cat B),0.4,Y,solar not priority,N/A
Amberhill Community Solar Farm,K,Butlerstown,solar,DSO,due to connected,ECP-2.3 (Cat C),4.99,Y,solar not priority,N/A
Carrowgarve Solar,B,Moy,solar,DSO,due to connected,ECP-2.3 (Cat C),4,Y,solar not priority,N/A
Clonmel Renewable Energy Community A,H1,Doon,solar,DSO,due to connected,ECP-2.3 (Cat C),4.99,Y,solar not priority,N/A
Cloonbar WF,B,Cloon,wind,DSO,due to connected,ECP-2.3 (Cat C),4.99,Y,wind not priority,N/A
Knockreagh Community Solar ,E,Oughtragh,solar,DSO,due to connected,ECP-2.3 (Cat C),4.4,Y,solar not priority,N/A
Lissavilla Polecat Solar,C,Carrick on Shannon,solar,DSO,due to connected,ECP-2.3 (Cat C),0.14,N,solar uncontrolled,N/A
LT SolarFruit,J,Finglas,solar,DSO,due to connected,ECP-2.3 (Cat C),2.8,Y,solar not priority,N/A
Polecat Community PV,C,Carrick on Shannon,solar,DSO,due to connected,ECP-2.3 (Cat C),4.99,Y,solar not priority,N/A
AMS battery,I,Castleview,Battery,DSO,due to connected,ECP-2.4,1,N,battery,*
AMS solar,I,Castleview,solar,DSO,due to connected,ECP-2.4,3.49,Y,solar not priority,N/A
Ardass Solar,C,Carrick on Shannon,solar,DSO,due to connected,ECP-2.4,4.99,Y,solar not priority,N/A
Aught Wind Farm,A,Letterkenny,wind,TSO,due to connected,ECP-2.4,57.4,Y,wind not priority,N/A
Ballycunneen PV,D,Drumline,solar,DSO,due to connected,ECP-2.4,12,Y,solar not priority,N/A
Ballyglasheen West BESS Facility,H1,Tipperary,Battery,TSO,due to connected,ECP-2.4,60,N,battery,*
Ballyglass Solar Farm,D,Ardnacrusha,solar,TSO,due to connected,ECP-2.4,80.019,Y,solar not priority,N/A
Ballykenny Solar Extension,C,Richmond,solar,DSO,due to connected,ECP-2.4,6,Y,solar not priority,N/A
Ballylongford Solar,E,Pollagh,solar,TSO,due to connected,ECP-2.4,128,Y,solar not priority,N/A
Ballymac Phase 1 and 2,K,Dungarvan,Battery,TSO,due to connected,ECP-2.4,55,N,battery,*
Ballymac Solar,K,Dungarvan,solar,TSO,due to connected,ECP-2.4,5,Y,solar not priority,N/A
Ballymoneen Phase 2,B,Cashla,solar,TSO,due to connected,ECP-2.4,5,Y,solar not priority,N/A
Ballymoneen Phase 2 Battery,B,Cashla,Battery,TSO,due to connected,ECP-2.4,75,N,battery,*
Ballyroe Solar Extension,E,Charleville,solar,TSO,due to connected,ECP-2.4,45,Y,solar not priority,N/A
Ballysumaghan BESS & SC,B,Srananagh,Battery,TSO,due to connected,ECP-2.4,200,N,battery,*
Ballyvalode Solar,H1,Cauteen,solar,TSO,due to connected,ECP-2.4,113,Y,solar not priority,N/A
Barnaleen Solar Phase 2,H1,Cauteen,solar,TSO,due to connected,ECP-2.4,35,Y,solar not priority,N/A
Clondardis Solar Extension,C,Shanonagh,solar,TSO,due to connected,ECP-2.4,11.4,Y,solar not priority,N/A
Cloondara Solar Park ,C,Richmond,solar,DSO,due to connected,ECP-2.4,4,Y,solar not priority,N/A
Coolcarrigan Solar P2,J,Timahoe,solar,TSO,due to connected,ECP-2.4,120,Y,solar not priority,N/A
Coolcarrigan Solar P2 Battery,J,Timahoe,Battery,TSO,due to connected,ECP-2.4,80,N,battery,*
Coom Green Energy Park,H1,Barrymore,wind,TSO,due to connected,ECP-2.4,105.6,Y,wind not priority,N/A
Coom Green Energy Park Battery,H1,Barrymore,Battery,TSO,due to connected,ECP-2.4,50,N,battery,*
Cronalaght 3 Wind Farm,A,Ardnagappary,wind,DSO,due to connected,ECP-2.4,9,Y,wind not priority,N/A
Culmullin Solar Farm,J,Arodstown,solar,TSO,due to connected,ECP-2.4,70,Y,solar not priority,N/A
Darthogue Solar Farm Ext 2,J,Gallanstown,solar,TSO,due to connected,ECP-2.4,13.5,Y,solar not priority,N/A
Dernacart Windfarm,J,Bracklone,wind,TSO,due to connected,ECP-2.4,57.6,Y,wind not priority,N/A
Drumgoolan Solar and Battery Farm,G,Louth,solar,TSO,due to connected,ECP-2.4,75,Y,solar not priority,N/A
Drumgoolan Solar and Battery Farm Battery,G,Louth,Battery,TSO,due to connected,ECP-2.4,40.5,N,battery,*
Drummin Solar,D,Ardnacrusha,solar,DSO,due to connected,ECP-2.4,35,Y,solar not priority,N/A
Fieldstown Extension No.2,J,Finglas,solar,TSO,due to connected,ECP-2.4,60,Y,solar not priority,N/A
Flagford Battery Storage,C,Flagford,Battery,TSO,due to connected,ECP-2.4,100,N,battery,*
Friarstown Solar Farm,H2,Carlow,solar,TSO,due to connected,ECP-2.4,50,Y,solar not priority,N/A
Friarstown Solar Farm Battery,H2,Carlow,Battery,TSO,due to connected,ECP-2.4,30,N,battery,*
Garreenleen Solar Farm Phase 2,H2,Kellis,solar,TSO,due to connected,ECP-2.4,82,Y,solar not priority,N/A
Golden Forth Solar Park,H2,Stratford,solar,DSO,due to connected,ECP-2.4,0.999,Y,solar not priority,N/A
JOHNSTOWN SOLAR PARK,H2,Carlow,solar,DSO,due to connected,ECP-2.4,9.99,Y,solar not priority,N/A
Kilcormac Solar,C,Derrycarney,solar,TSO,due to connected,ECP-2.4,125,Y,solar not priority,N/A
Kilmorna Energy Storage Facility,E,Knockanure,Battery,TSO,due to connected,ECP-2.4,170,N,battery,*
Kilrue Solar,J,Crakenstown,solar,TSO,due to connected,ECP-2.4,195,Y,solar not priority,N/A
Knockroe Wind Farm,H1,Doon,wind,DSO,due to connected,ECP-2.4,33.6,Y,wind not priority,N/A
Leam Windfarm,C,Carrick on Shannon,wind,DSO,due to connected,ECP-2.4,6.9,Y,wind not priority,N/A
Lyrenacarriga Windfarm and BESS,K,Woodhouse,wind,TSO,due to connected,ECP-2.4,85,Y,wind not priority,N/A
Lyrenacarriga Windfarm and BESS Battery,K,Woodhouse,Battery,TSO,due to connected,ECP-2.4,60,N,battery,*
Maine Solar Extension,E,Oughtragh,solar,DSO,due to connected,ECP-2.4,1,Y,solar not priority,N/A
Mill Farm Solar,G,Ricetown,solar,TSO,due to connected,ECP-2.4,63,Y,solar not priority,N/A
Modelligo Solar Farm,K,Dungarvan,solar,TSO,due to connected,ECP-2.4,80,Y,solar not priority,N/A
