name,area,node,gen_type,system_operator,connection_status,processing,mec_mw,controllability,priority,battery_mwh
Beale Hill (1),E,Trien,wind,DSO,connected,Pre-Gate,1.65,N,wind uncontrolled,N/A
Beale Hill (2),E,Trien,wind,DSO,connected,Pre-Gate,2.55,N,wind uncontrolled,N/A
Beallough (1),K,Butlerstown,wind,DSO,connected,Pre-Gate,1.7,N,wind uncontrolled,N/A
Beam Hill (1),A,Trillick,wind,DSO,connected,Pre-Gate,14,Y,wind priority,N/A
Beenageeha (1),E,Tralee,wind,DSO,connected,Pre-Gate,3.96,N,wind uncontrolled,N/A
Bellacorick (1),B,Bellacorick,wind,DSO,connected,Pre-Gate,6.45,Y,wind priority,N/A
Black Banks (1),A,Corderry,wind,DSO,connected,Pre-Gate,3.4,N,wind uncontrolled,N/A
Black Banks (2),A,Corderry,wind,DSO,connected,Pre-Gate,6.8,Y,wind priority,N/A
Booltiagh (1),D,Booltiagh,wind,TSO,connected,Pre-Gate,19.45,Y,wind priority,N/A
Cark (1),A,Letterkenny,wind,DSO,connected,Pre-Gate,15,N,wind uncontrolled,N/A
Carnsore (1),H2,Wexford,wind,DSO,connected,Pre-Gate,11.9,N,wind uncontrolled,N/A
Carrane Hill (1),A,Corderry,wind,DSO,connected,Pre-Gate,3.4,N,wind uncontrolled,N/A
Carrickallen Wind Farm,G,Shankill,wind,DSO,connected,Pre-Gate,22,Y,wind priority,N/A
Carrig (1),C,Dallow,wind,DSO,connected,Pre-Gate,2.55,N,wind uncontrolled,N/A
Carrigcannon (1),E,Boggeragh,wind,DSO,connected,Pre-Gate,20,Y,wind priority,N/A
Coomagearlahy (1),E,Coomagearlahy,wind,TSO,connected,Pre-Gate,42.5,Y,wind priority,N/A
Coomatallin (1),F,Dunmanway,wind,DSO,connected,Pre-Gate,5.95,Y,wind priority,N/A
Coreen (1),A,Gortawee,wind,DSO,connected,Pre-Gate,3,N,wind uncontrolled,N/A
Corrie Mountain (1),A,Arigna,wind,DSO,connected,Pre-Gate,4.8,N,wind uncontrolled,N/A
Crockahenny (1),A,Trillick,wind,DSO,connected,Pre-Gate,5,N,wind uncontrolled,N/A
Cronalaght (1),A,Ardnagappary,wind,DSO,connected,Pre-Gate,4.98,N,wind uncontrolled,N/A
Cronelea Upper (1),H2,Carlow,wind,DSO,connected,Pre-Gate,2.55,N,wind uncontrolled,N/A
Cuillalea (1),B,Castlebar,wind,DSO,connected,Pre-Gate,3.4,N,wind uncontrolled,N/A
Culliagh (1),A,Letterkenny,wind,DSO,connected,Pre-Gate,11.88,N,wind uncontrolled,N/A
Currabwee (1),F,Dunmanway,wind,DSO,connected,Pre-Gate,4.62,N,wind uncontrolled,N/A
Curraghgraigue (1),H1,Nenagh,wind,DSO,connected,Pre-Gate,2.55,N,wind uncontrolled,N/A
Dromdeeveen (1),E,Glenlara 220kV side,wind,DSO,connected,Pre-Gate,10.5,Y,wind priority,N/A
Drumlough Hill (1),A,Trillick,wind,DSO,connected,Pre-Gate,4.8,N,wind uncontrolled,N/A
Drumlough Hill (2),A,Trillick,wind,DSO,connected,Pre-Gate,9.99,Y,wind priority,N/A
Gartnaneane (1),G,Meath Hill,wind,DSO,connected,Pre-Gate,10.5,N,wind uncontrolled,N/A
Gartnaneane (2),G,Meath Hill,wind,DSO,connected,Pre-Gate,4.5,N,wind uncontrolled,N/A
Geevagh (1),A,Corderry,wind,DSO,connected,Pre-Gate,4.95,N,wind uncontrolled,N/A
Gneeves (1),E,Knockearagh,wind,DSO,connected,Pre-Gate,9.35,Y,wind priority,N/A
Golagh (1),A,Golagh,wind,TSO,connected,Pre-Gate,12,N,wind uncontrolled,N/A
Golagh (1) (battery),A,Golagh,battery,TSO,connected,Pre-Gate,3,N,battery,3
Greenoge (1),H2,Crane,wind,DSO,connected,Pre-Gate,4.99,N,wind uncontrolled,N/A
Inverin (Knock South) (1),B,Screebe,wind,DSO,connected,Pre-Gate,2.64,N,wind uncontrolled,N/A
Kealkil (Curraglass) (1),F,Ballylickey,wind,DSO,connected,Pre-Gate,8.5,N,wind uncontrolled,N/A
Kilronan (1),A,Arigna,wind,DSO,connected,Pre-Gate,5,N,wind uncontrolled,N/A
Kilvinane (1),F,Bandon,wind,DSO,connected,Pre-Gate,4.5,N,wind uncontrolled,N/A
Kingsmountain (1),B,Cunghill,wind,TSO,connected,Pre-Gate,23.75,Y,wind priority,N/A
Knockastanna (1),D,Ardnacrusha,wind,DSO,connected,Pre-Gate,7.5,Y,wind priority,N/A
Lahanaght Hill (1),F,Dunmanway,wind,DSO,connected,Pre-Gate,4.25,N,wind uncontrolled,N/A
Largan Hill (1),B,Tonroe,wind,DSO,connected,Pre-Gate,5.94,N,wind uncontrolled,N/A
Meenadreen (1),A,Cathaleen's Fall,wind,DSO,connected,Pre-Gate,3.4,N,wind uncontrolled,N/A
